0000001 | T.0x00007f8c919f9700 | 2019-06-21, 02:10:36.359272 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 153) Open heap path: /lfs/spark_global0 
0000002 | T.0x00007f8c919f9700 | 2019-06-21, 02:10:36.359690 [info] - (/home/ghosdebd/sparkle/alps/src/pegasus/lfs_region_file.cc, 64) Open LFS region file path: "/lfs/spark_global0" flags: O_RDWR
0000004 | T.0x00007f8c919f9700 | 2019-06-21, 02:10:36.368684 [info] - (/home/ghosdebd/sparkle/alps/src/pegasus/segmap.cc, 39) map region  base_addr: 0x7f0b24000000 size: 549755813888 addr_range: 0x7f0b24000000--7f8b24000000
0000005 | T.0x00007f8c919f9700 | 2019-06-21, 02:10:36.368727 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 158) Opened heap path: /lfs/spark_global0  size: 549755813888
0000006 | T.0x00007f8c917f7700 | 2019-06-21, 02:10:37.650535 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 4012
0000007 | T.0x00007f8c917f7700 | 2019-06-21, 02:10:37.650586 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 4012 ig: 0
0000008 | T.0x00007f8c917f7700 | 2019-06-21, 02:10:37.650886 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 4012
0000009 | T.0x00007f8c917f7700 | 2019-06-21, 02:10:37.650897 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/process_slab_heap.cc, 30) acquire_slab
0000010 | T.0x00007f8c917f7700 | 2019-06-21, 02:10:37.650902 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/process_slab_heap.cc, 33) acquire_slab: locked
0000011 | T.0x00007f8c917f7700 | 2019-06-21, 02:10:37.650908 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000012 | T.0x00007f8c917f7700 | 2019-06-21, 02:10:37.651232 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.hh, 40) NVZONE: 0x7f7524000400
0000013 | T.0x00007f8c917f7700 | 2019-06-21, 02:10:37.651243 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.hh, 41) NVZONE: ID: 53
0000014 | T.0x00007f8c917f7700 | 2019-06-21, 02:10:37.653087 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (0, 32766)
0000015 | T.0x00007f8c917f7700 | 2019-06-21, 02:10:37.653104 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone_heap.hh, 153) Acquired zone: 53
0000016 | T.0x00007f8c917f7700 | 2019-06-21, 02:10:37.653109 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.hh, 72) Enumerate zone: 53
0000017 | T.0x00007f8c917f7700 | 2019-06-21, 02:10:37.654584 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000018 | T.0x00007f8c917f7700 | 2019-06-21, 02:10:37.654601 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (1, 32765)
0000019 | T.0x00007f8c917f7700 | 2019-06-21, 02:10:37.654606 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.cc, 48) Allocated zone_id: 53 extent: (0, 1) 0x7f75240404c8
0000020 | T.0x00007f8c917f7700 | 2019-06-21, 02:10:37.654621 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/process_slab_heap.cc, 50) acquire_slab: unlock 2
0000021 | T.0x00007f8c917f7700 | 2019-06-21, 02:10:37.654631 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab.cc, 56) Allocate block: nvslab: (0xbeef, 0x6a000404c8) block: 0
0000022 | T.0x00007f8c917f7700 | 2019-06-21, 02:10:37.654638 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab_heap.cc, 40) Allocate block: new_fullness: 0 old_fullness: 0
0000023 | T.0x00007f8c917f7700 | 2019-06-21, 02:10:37.654643 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x6a00040508) size: 4012
0000024 | T.0x00007f8c917f7700 | 2019-06-21, 02:10:37.663135 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 209706
0000025 | T.0x00007f8c917f7700 | 2019-06-21, 02:10:37.663184 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 209706 ig: 0
0000026 | T.0x00007f8c917f7700 | 2019-06-21, 02:10:37.663189 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 209706
0000027 | T.0x00007f8c917f7700 | 2019-06-21, 02:10:37.663209 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000028 | T.0x00007f8c917f7700 | 2019-06-21, 02:10:37.663217 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (2, 32764)
0000029 | T.0x00007f8c917f7700 | 2019-06-21, 02:10:37.663225 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.cc, 48) Allocated zone_id: 53 extent: (1, 1) 0x7f75240804c8
0000030 | T.0x00007f8c917f7700 | 2019-06-21, 02:10:37.663232 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x6a000804c8) size: 209706
0000031 | T.0x00007f8c917f7700 | 2019-06-21, 02:10:37.663238 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 211533
0000032 | T.0x00007f8c917f7700 | 2019-06-21, 02:10:37.663242 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 211533 ig: 0
0000033 | T.0x00007f8c917f7700 | 2019-06-21, 02:10:37.663245 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 211533
0000034 | T.0x00007f8c917f7700 | 2019-06-21, 02:10:37.663248 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000035 | T.0x00007f8c917f7700 | 2019-06-21, 02:10:37.663251 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (3, 32763)
0000036 | T.0x00007f8c917f7700 | 2019-06-21, 02:10:37.663255 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.cc, 48) Allocated zone_id: 53 extent: (2, 1) 0x7f75240c04c8
0000037 | T.0x00007f8c917f7700 | 2019-06-21, 02:10:37.663258 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x6a000c04c8) size: 211533
0000038 | T.0x00007f8c917f7700 | 2019-06-21, 02:10:37.663261 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 212562
0000039 | T.0x00007f8c917f7700 | 2019-06-21, 02:10:37.663265 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 212562 ig: 0
0000040 | T.0x00007f8c917f7700 | 2019-06-21, 02:10:37.663268 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 212562
0000041 | T.0x00007f8c917f7700 | 2019-06-21, 02:10:37.663272 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000042 | T.0x00007f8c917f7700 | 2019-06-21, 02:10:37.663276 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (4, 32762)
0000043 | T.0x00007f8c917f7700 | 2019-06-21, 02:10:37.663279 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.cc, 48) Allocated zone_id: 53 extent: (3, 1) 0x7f75241004c8
0000044 | T.0x00007f8c917f7700 | 2019-06-21, 02:10:37.663282 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x6a001004c8) size: 212562
0000045 | T.0x00007f8c917f7700 | 2019-06-21, 02:10:37.663286 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 210063
0000046 | T.0x00007f8c917f7700 | 2019-06-21, 02:10:37.663289 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 210063 ig: 0
0000047 | T.0x00007f8c917f7700 | 2019-06-21, 02:10:37.663292 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 210063
0000048 | T.0x00007f8c917f7700 | 2019-06-21, 02:10:37.663295 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000049 | T.0x00007f8c917f7700 | 2019-06-21, 02:10:37.663298 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (5, 32761)
0000050 | T.0x00007f8c917f7700 | 2019-06-21, 02:10:37.663302 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.cc, 48) Allocated zone_id: 53 extent: (4, 1) 0x7f75241404c8
0000051 | T.0x00007f8c917f7700 | 2019-06-21, 02:10:37.663350 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x6a001404c8) size: 210063
0000052 | T.0x00007f8c917f7700 | 2019-06-21, 02:10:37.663354 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 212877
0000053 | T.0x00007f8c917f7700 | 2019-06-21, 02:10:37.663357 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 212877 ig: 0
0000054 | T.0x00007f8c917f7700 | 2019-06-21, 02:10:37.663360 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 212877
0000055 | T.0x00007f8c917f7700 | 2019-06-21, 02:10:37.663364 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000056 | T.0x00007f8c917f7700 | 2019-06-21, 02:10:37.663367 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (6, 32760)
0000057 | T.0x00007f8c917f7700 | 2019-06-21, 02:10:37.663370 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.cc, 48) Allocated zone_id: 53 extent: (5, 1) 0x7f75241804c8
0000058 | T.0x00007f8c917f7700 | 2019-06-21, 02:10:37.663374 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x6a001804c8) size: 212877
0000059 | T.0x00007f8c917f7700 | 2019-06-21, 02:10:37.663377 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 207711
0000060 | T.0x00007f8c917f7700 | 2019-06-21, 02:10:37.663380 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 207711 ig: 0
0000061 | T.0x00007f8c917f7700 | 2019-06-21, 02:10:37.663383 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 207711
0000062 | T.0x00007f8c917f7700 | 2019-06-21, 02:10:37.663386 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000063 | T.0x00007f8c917f7700 | 2019-06-21, 02:10:37.663389 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (7, 32759)
0000064 | T.0x00007f8c917f7700 | 2019-06-21, 02:10:37.663392 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.cc, 48) Allocated zone_id: 53 extent: (6, 1) 0x7f75241c04c8
0000065 | T.0x00007f8c917f7700 | 2019-06-21, 02:10:37.663396 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x6a001c04c8) size: 207711
0000066 | T.0x00007f8c917f7700 | 2019-06-21, 02:10:37.663399 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 209769
