0000001 | T.0x00007fe8349f8700 | 2019-06-21, 02:16:20.722951 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 153) Open heap path: /lfs/spark_global0 
0000002 | T.0x00007fe8349f8700 | 2019-06-21, 02:16:20.724221 [info] - (/home/ghosdebd/sparkle/alps/src/pegasus/lfs_region_file.cc, 64) Open LFS region file path: "/lfs/spark_global0" flags: O_RDWR
0000004 | T.0x00007fe8349f8700 | 2019-06-21, 02:16:20.739393 [info] - (/home/ghosdebd/sparkle/alps/src/pegasus/segmap.cc, 39) map region  base_addr: 0x7f66d8000000 size: 549755813888 addr_range: 0x7f66d8000000--7fe6d8000000
0000005 | T.0x00007fe8349f8700 | 2019-06-21, 02:16:20.739464 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 158) Opened heap path: /lfs/spark_global0  size: 549755813888
0000006 | T.0x00007fe8342f1700 | 2019-06-21, 02:16:21.798644 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 4012
0000007 | T.0x00007fe8342f1700 | 2019-06-21, 02:16:21.798702 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 4012 ig: 0
0000008 | T.0x00007fe8342f1700 | 2019-06-21, 02:16:21.798944 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 4012
0000009 | T.0x00007fe8342f1700 | 2019-06-21, 02:16:21.798956 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/process_slab_heap.cc, 30) acquire_slab
0000010 | T.0x00007fe8342f1700 | 2019-06-21, 02:16:21.798962 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/process_slab_heap.cc, 33) acquire_slab: locked
0000011 | T.0x00007fe8342f1700 | 2019-06-21, 02:16:21.798968 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000012 | T.0x00007fe8342f1700 | 2019-06-21, 02:16:21.799127 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.hh, 40) NVZONE: 0x7f8cd8000400
0000013 | T.0x00007fe8342f1700 | 2019-06-21, 02:16:21.799136 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.hh, 41) NVZONE: ID: 19
0000014 | T.0x00007fe8342f1700 | 2019-06-21, 02:16:21.801466 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (0, 32766)
0000015 | T.0x00007fe8342f1700 | 2019-06-21, 02:16:21.801489 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone_heap.hh, 153) Acquired zone: 19
0000016 | T.0x00007fe8342f1700 | 2019-06-21, 02:16:21.801494 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.hh, 72) Enumerate zone: 19
0000017 | T.0x00007fe8345f4700 | 2019-06-21, 02:16:21.801743 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 4012
0000018 | T.0x00007fe8345f4700 | 2019-06-21, 02:16:21.801776 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 4012 ig: 0
0000019 | T.0x00007fe8345f4700 | 2019-06-21, 02:16:21.801782 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 4012
0000020 | T.0x00007fe8346f5700 | 2019-06-21, 02:16:21.802649 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 4012
0000021 | T.0x00007fe8346f5700 | 2019-06-21, 02:16:21.802672 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 4012 ig: 0
