0000001 | T.0x00007fd71c2f3700 | 2019-06-21, 02:17:18.321547 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 153) Open heap path: /lfs/spark_global0 
0000002 | T.0x00007fd71c2f3700 | 2019-06-21, 02:17:18.322398 [info] - (/home/ghosdebd/sparkle/alps/src/pegasus/lfs_region_file.cc, 64) Open LFS region file path: "/lfs/spark_global0" flags: O_RDWR
0000004 | T.0x00007fd71c2f3700 | 2019-06-21, 02:17:18.338637 [info] - (/home/ghosdebd/sparkle/alps/src/pegasus/segmap.cc, 39) map region  base_addr: 0x7f55ccf2b000 size: 549755813888 addr_range: 0x7f55ccf2b000--7fd5ccf2b000
0000005 | T.0x00007fd71c2f3700 | 2019-06-21, 02:17:18.338707 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 158) Opened heap path: /lfs/spark_global0  size: 549755813888
0000006 | T.0x00007fd5e7efe700 | 2019-06-21, 02:17:20.876163 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 4012
0000007 | T.0x00007fd5e7efe700 | 2019-06-21, 02:17:20.876285 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 4012 ig: 0
0000008 | T.0x00007fd5e7efe700 | 2019-06-21, 02:17:20.876745 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 4012
0000009 | T.0x00007fd5e7efe700 | 2019-06-21, 02:17:20.876779 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/process_slab_heap.cc, 30) acquire_slab
0000010 | T.0x00007fd5e7efe700 | 2019-06-21, 02:17:20.876789 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/process_slab_heap.cc, 33) acquire_slab: locked
0000011 | T.0x00007fd5e7efe700 | 2019-06-21, 02:17:20.876798 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000012 | T.0x00007fd5e7efe700 | 2019-06-21, 02:17:20.881711 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.hh, 40) NVZONE: 0x7fbbccf2b400
0000013 | T.0x00007fd5e7efe700 | 2019-06-21, 02:17:20.881790 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.hh, 41) NVZONE: ID: 51
0000014 | T.0x00007fd5e7efe700 | 2019-06-21, 02:17:20.887301 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (0, 32766)
0000015 | T.0x00007fd5e7efe700 | 2019-06-21, 02:17:20.887329 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone_heap.hh, 153) Acquired zone: 51
0000016 | T.0x00007fd5e7efe700 | 2019-06-21, 02:17:20.887335 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.hh, 72) Enumerate zone: 51
0000017 | T.0x00007fd5e7efe700 | 2019-06-21, 02:17:20.888831 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000018 | T.0x00007fd5e7efe700 | 2019-06-21, 02:17:20.888846 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (1, 32765)
0000019 | T.0x00007fd5e7efe700 | 2019-06-21, 02:17:20.888850 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.cc, 48) Allocated zone_id: 51 extent: (0, 1) 0x7fbbccf6b4c8
0000020 | T.0x00007fd5e7efe700 | 2019-06-21, 02:17:20.888873 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/process_slab_heap.cc, 50) acquire_slab: unlock 2
