0000001 | T.0x00007f076c7ef700 | 2019-06-21, 02:20:16.453941 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 153) Open heap path: /lfs/spark_global0 
0000002 | T.0x00007f076c7ef700 | 2019-06-21, 02:20:16.454762 [info] - (/home/ghosdebd/sparkle/alps/src/pegasus/lfs_region_file.cc, 64) Open LFS region file path: "/lfs/spark_global0" flags: O_RDWR
0000004 | T.0x00007f076c7ef700 | 2019-06-21, 02:20:16.458384 [info] - (/home/ghosdebd/sparkle/alps/src/pegasus/segmap.cc, 39) map region  base_addr: 0x7e8618000000 size: 549755813888 addr_range: 0x7e8618000000--7f0618000000
0000005 | T.0x00007f076c7ef700 | 2019-06-21, 02:20:16.458448 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 158) Opened heap path: /lfs/spark_global0  size: 549755813888
0000006 | T.0x00007f076c7ef700 | 2019-06-21, 02:20:17.272686 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 412
0000007 | T.0x00007f0764bfa700 | 2019-06-21, 02:20:17.272728 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 412
0000008 | T.0x00007f076c7ef700 | 2019-06-21, 02:20:17.272776 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 412 ig: 0
0000009 | T.0x00007f0764bfa700 | 2019-06-21, 02:20:17.272829 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 412 ig: 0
0000010 | T.0x00007f076c7ef700 | 2019-06-21, 02:20:17.273106 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 412
0000011 | T.0x00007f0764bfa700 | 2019-06-21, 02:20:17.273113 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 412
0000012 | T.0x00007f076c7ef700 | 2019-06-21, 02:20:17.273147 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/process_slab_heap.cc, 30) acquire_slab
0000013 | T.0x00007f076c7ef700 | 2019-06-21, 02:20:17.273180 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/process_slab_heap.cc, 33) acquire_slab: locked
0000014 | T.0x00007f076c7ef700 | 2019-06-21, 02:20:17.273186 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000015 | T.0x00007f076c7ef700 | 2019-06-21, 02:20:17.273422 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.hh, 40) NVZONE: 0x7ecc18000400
0000016 | T.0x00007f076c7ef700 | 2019-06-21, 02:20:17.273438 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.hh, 41) NVZONE: ID: 35
0000017 | T.0x00007f076c7ef700 | 2019-06-21, 02:20:17.275116 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (0, 32766)
