0000001 | T.0x00007f2145ffd700 | 2019-06-21, 02:20:33.973666 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 153) Open heap path: /lfs/spark_global0 
0000002 | T.0x00007f2145ffd700 | 2019-06-21, 02:20:33.974020 [info] - (/home/ghosdebd/sparkle/alps/src/pegasus/lfs_region_file.cc, 64) Open LFS region file path: "/lfs/spark_global0" flags: O_RDWR
0000004 | T.0x00007f2145ffd700 | 2019-06-21, 02:20:33.984693 [info] - (/home/ghosdebd/sparkle/alps/src/pegasus/segmap.cc, 39) map region  base_addr: 0x7e9ff4000000 size: 549755813888 addr_range: 0x7e9ff4000000--7f1ff4000000
0000005 | T.0x00007f2145ffd700 | 2019-06-21, 02:20:33.984737 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 158) Opened heap path: /lfs/spark_global0  size: 549755813888
0000006 | T.0x00007f2145ffd700 | 2019-06-21, 02:20:34.331601 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 412
0000008 | T.0x00007f2145ffd700 | 2019-06-21, 02:20:34.331636 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 412 ig: 0
0000007 | T.0x00007f214cbfa700 | 2019-06-21, 02:20:34.331610 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 412
0000009 | T.0x00007f214cbfa700 | 2019-06-21, 02:20:34.331657 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 412 ig: 0
0000011 | T.0x00007f214cbfa700 | 2019-06-21, 02:20:34.331919 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 412
0000010 | T.0x00007f2145ffd700 | 2019-06-21, 02:20:34.331917 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 412
0000012 | T.0x00007f214cbfa700 | 2019-06-21, 02:20:34.331935 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/process_slab_heap.cc, 30) acquire_slab
0000013 | T.0x00007f214cbfa700 | 2019-06-21, 02:20:34.331952 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/process_slab_heap.cc, 33) acquire_slab: locked
0000014 | T.0x00007f214cbfa700 | 2019-06-21, 02:20:34.331957 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000015 | T.0x00007f214cbfa700 | 2019-06-21, 02:20:34.332245 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.hh, 40) NVZONE: 0x7efbf4000400
0000016 | T.0x00007f214cbfa700 | 2019-06-21, 02:20:34.332255 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.hh, 41) NVZONE: ID: 46
0000017 | T.0x00007f214cbfa700 | 2019-06-21, 02:20:34.334005 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (0, 32766)
0000018 | T.0x00007f214cbfa700 | 2019-06-21, 02:20:34.334029 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone_heap.hh, 153) Acquired zone: 46
0000019 | T.0x00007f214cbfa700 | 2019-06-21, 02:20:34.334035 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.hh, 72) Enumerate zone: 46
0000020 | T.0x00007f214cbfa700 | 2019-06-21, 02:20:34.335539 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000021 | T.0x00007f214cbfa700 | 2019-06-21, 02:20:34.335555 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (1, 32765)
0000022 | T.0x00007f214cbfa700 | 2019-06-21, 02:20:34.335559 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.cc, 48) Allocated zone_id: 46 extent: (0, 1) 0x7efbf40404c8
0000023 | T.0x00007f214cbfa700 | 2019-06-21, 02:20:34.335590 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/process_slab_heap.cc, 50) acquire_slab: unlock 2
0000024 | T.0x00007f214cbfa700 | 2019-06-21, 02:20:34.335601 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab.cc, 56) Allocate block: nvslab: (0xbeef, 0x5c000404c8) block: 0
0000025 | T.0x00007f214cbfa700 | 2019-06-21, 02:20:34.335607 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab_heap.cc, 40) Allocate block: new_fullness: 0 old_fullness: 0
0000026 | T.0x00007f214cbfa700 | 2019-06-21, 02:20:34.335616 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x5c00040548) size: 412
0000028 | T.0x00007f214cbfa700 | 2019-06-21, 02:20:34.335646 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 30
