0000001 | T.0x00007f4d6fdfd700 | 2019-06-21, 02:23:09.304717 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 153) Open heap path: /lfs/spark_global0 
0000002 | T.0x00007f4d6fdfd700 | 2019-06-21, 02:23:09.305163 [info] - (/home/ghosdebd/sparkle/alps/src/pegasus/lfs_region_file.cc, 64) Open LFS region file path: "/lfs/spark_global0" flags: O_RDWR
0000004 | T.0x00007f4d6fdfd700 | 2019-06-21, 02:23:09.314647 [info] - (/home/ghosdebd/sparkle/alps/src/pegasus/segmap.cc, 39) map region  base_addr: 0x7ecc1c4a7000 size: 549755813888 addr_range: 0x7ecc1c4a7000--7f4c1c4a7000
0000005 | T.0x00007f4d6fdfd700 | 2019-06-21, 02:23:09.314684 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 158) Opened heap path: /lfs/spark_global0  size: 549755813888
0000006 | T.0x00007f4d6f8f8700 | 2019-06-21, 02:23:11.101661 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 4012
0000007 | T.0x00007f4d6f8f8700 | 2019-06-21, 02:23:11.101751 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 4012 ig: 0
0000008 | T.0x00007f4d6f8f8700 | 2019-06-21, 02:23:11.102129 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 4012
0000009 | T.0x00007f4d6f8f8700 | 2019-06-21, 02:23:11.102155 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/process_slab_heap.cc, 30) acquire_slab
0000010 | T.0x00007f4d6f8f8700 | 2019-06-21, 02:23:11.102165 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/process_slab_heap.cc, 33) acquire_slab: locked
0000011 | T.0x00007f4d6f8f8700 | 2019-06-21, 02:23:11.102177 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000012 | T.0x00007f4d6f8f8700 | 2019-06-21, 02:23:11.103544 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.hh, 40) NVZONE: 0x7ee21c4a7400
0000013 | T.0x00007f4d6f8f8700 | 2019-06-21, 02:23:11.103563 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.hh, 41) NVZONE: ID: 11
0000014 | T.0x00007f4d6f8f8700 | 2019-06-21, 02:23:11.113686 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (0, 32766)
0000015 | T.0x00007f4d6f8f8700 | 2019-06-21, 02:23:11.113741 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone_heap.hh, 153) Acquired zone: 11
0000016 | T.0x00007f4d6f8f8700 | 2019-06-21, 02:23:11.113753 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.hh, 72) Enumerate zone: 11
0000017 | T.0x00007f4d6f8f8700 | 2019-06-21, 02:23:11.115363 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000018 | T.0x00007f4d6f8f8700 | 2019-06-21, 02:23:11.115392 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (1, 32765)
0000019 | T.0x00007f4d6f8f8700 | 2019-06-21, 02:23:11.115400 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.cc, 48) Allocated zone_id: 11 extent: (0, 1) 0x7ee21c4e74c8
0000020 | T.0x00007f4d6f8f8700 | 2019-06-21, 02:23:11.115426 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/process_slab_heap.cc, 50) acquire_slab: unlock 2
0000021 | T.0x00007f4d6f8f8700 | 2019-06-21, 02:23:11.115447 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab.cc, 56) Allocate block: nvslab: (0xbeef, 0x16000404c8) block: 0
0000022 | T.0x00007f4d6f8f8700 | 2019-06-21, 02:23:11.115459 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab_heap.cc, 40) Allocate block: new_fullness: 0 old_fullness: 0
0000023 | T.0x00007f4d6f8f8700 | 2019-06-21, 02:23:11.115472 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x1600040508) size: 4012
0000024 | T.0x00007f4d6f8f8700 | 2019-06-21, 02:23:11.126290 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 303180
0000025 | T.0x00007f4d6f8f8700 | 2019-06-21, 02:23:11.126357 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 303180 ig: 0
0000026 | T.0x00007f4d6f8f8700 | 2019-06-21, 02:23:11.126366 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 303180
0000027 | T.0x00007f4d6f8f8700 | 2019-06-21, 02:23:11.126383 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000028 | T.0x00007f4d6f8f8700 | 2019-06-21, 02:23:11.126396 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (3, 32763)
0000029 | T.0x00007f4d6f8f8700 | 2019-06-21, 02:23:11.126412 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.cc, 48) Allocated zone_id: 11 extent: (1, 2) 0x7ee21c5274c8
0000030 | T.0x00007f4d6f8f8700 | 2019-06-21, 02:23:11.126425 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x16000804c8) size: 303180
0000031 | T.0x00007f4d6f8f8700 | 2019-06-21, 02:23:11.126438 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 299280
0000032 | T.0x00007f4d6f8f8700 | 2019-06-21, 02:23:11.126446 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 299280 ig: 0
0000033 | T.0x00007f4d6f8f8700 | 2019-06-21, 02:23:11.126453 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 299280
0000034 | T.0x00007f4d6f8f8700 | 2019-06-21, 02:23:11.126460 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000035 | T.0x00007f4d6f8f8700 | 2019-06-21, 02:23:11.126465 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (5, 32761)
0000036 | T.0x00007f4d6f8f8700 | 2019-06-21, 02:23:11.126469 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.cc, 48) Allocated zone_id: 11 extent: (3, 2) 0x7ee21c5a74c8
0000037 | T.0x00007f4d6f8f8700 | 2019-06-21, 02:23:11.126473 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x16001004c8) size: 299280
0000038 | T.0x00007f4d6f8f8700 | 2019-06-21, 02:23:11.126477 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 302430
0000039 | T.0x00007f4d6f8f8700 | 2019-06-21, 02:23:11.126480 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 302430 ig: 0
0000040 | T.0x00007f4d6f8f8700 | 2019-06-21, 02:23:11.126487 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 302430
0000041 | T.0x00007f4d6f8f8700 | 2019-06-21, 02:23:11.126495 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000042 | T.0x00007f4d6f8f8700 | 2019-06-21, 02:23:11.126502 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (7, 32759)
