0000001 | T.0x00007f6086dfc700 | 2019-06-21, 02:27:08.205964 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 153) Open heap path: /lfs/spark_global0 
0000002 | T.0x00007f6086dfc700 | 2019-06-21, 02:27:08.206384 [info] - (/home/ghosdebd/sparkle/alps/src/pegasus/lfs_region_file.cc, 64) Open LFS region file path: "/lfs/spark_global0" flags: O_RDWR
0000004 | T.0x00007f6086dfc700 | 2019-06-21, 02:27:08.216048 [info] - (/home/ghosdebd/sparkle/alps/src/pegasus/segmap.cc, 39) map region  base_addr: 0x7edf30000000 size: 549755813888 addr_range: 0x7edf30000000--7f5f30000000
0000005 | T.0x00007f6086dfc700 | 2019-06-21, 02:27:08.216093 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 158) Opened heap path: /lfs/spark_global0  size: 549755813888
0000006 | T.0x00007f6086cfb700 | 2019-06-21, 02:27:10.418229 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 4012
0000007 | T.0x00007f6086cfb700 | 2019-06-21, 02:27:10.418316 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 4012 ig: 0
0000008 | T.0x00007f6086cfb700 | 2019-06-21, 02:27:10.418594 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 4012
0000009 | T.0x00007f6086cfb700 | 2019-06-21, 02:27:10.418608 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/process_slab_heap.cc, 30) acquire_slab
0000010 | T.0x00007f6086cfb700 | 2019-06-21, 02:27:10.418614 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/process_slab_heap.cc, 33) acquire_slab: locked
0000011 | T.0x00007f6086cfb700 | 2019-06-21, 02:27:10.418620 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000012 | T.0x00007f6086cfb700 | 2019-06-21, 02:27:10.418888 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.hh, 40) NVZONE: 0x7f2d30000400
0000013 | T.0x00007f6086cfb700 | 2019-06-21, 02:27:10.418906 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.hh, 41) NVZONE: ID: 39
0000014 | T.0x00007f6086ffe700 | 2019-06-21, 02:27:10.419337 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 4012
0000015 | T.0x00007f6086ffe700 | 2019-06-21, 02:27:10.419412 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 4012 ig: 0
0000016 | T.0x00007f6086ffe700 | 2019-06-21, 02:27:10.419419 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 4012
0000017 | T.0x00007f6086cfb700 | 2019-06-21, 02:27:10.420618 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (0, 32766)
0000018 | T.0x00007f6086cfb700 | 2019-06-21, 02:27:10.420667 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone_heap.hh, 153) Acquired zone: 39
0000019 | T.0x00007f6086cfb700 | 2019-06-21, 02:27:10.420673 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.hh, 72) Enumerate zone: 39
0000020 | T.0x00007f6086cfb700 | 2019-06-21, 02:27:10.422185 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000021 | T.0x00007f6086cfb700 | 2019-06-21, 02:27:10.422202 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (1, 32765)
0000022 | T.0x00007f6086cfb700 | 2019-06-21, 02:27:10.422207 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.cc, 48) Allocated zone_id: 39 extent: (0, 1) 0x7f2d300404c8
0000023 | T.0x00007f6086cfb700 | 2019-06-21, 02:27:10.422222 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/process_slab_heap.cc, 50) acquire_slab: unlock 2
0000024 | T.0x00007f6086cfb700 | 2019-06-21, 02:27:10.422233 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab.cc, 56) Allocate block: nvslab: (0xbeef, 0x4e000404c8) block: 0
0000025 | T.0x00007f6086cfb700 | 2019-06-21, 02:27:10.422239 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab_heap.cc, 40) Allocate block: new_fullness: 0 old_fullness: 0
0000026 | T.0x00007f6086cfb700 | 2019-06-21, 02:27:10.422249 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x4e00040508) size: 4012
0000027 | T.0x00007f6086ffe700 | 2019-06-21, 02:27:10.422259 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab.cc, 56) Allocate block: nvslab: (0xbeef, 0x4e000404c8) block: 1
0000028 | T.0x00007f6086ffe700 | 2019-06-21, 02:27:10.422278 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab_heap.cc, 40) Allocate block: new_fullness: 0 old_fullness: 0
0000029 | T.0x00007f6086ffe700 | 2019-06-21, 02:27:10.422284 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x4e00041508) size: 4012
0000030 | T.0x00007f60866f5700 | 2019-06-21, 02:27:10.426419 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 4012
0000031 | T.0x00007f60866f5700 | 2019-06-21, 02:27:10.426474 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 4012 ig: 0
0000032 | T.0x00007f60866f5700 | 2019-06-21, 02:27:10.426480 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 4012
0000033 | T.0x00007f60866f5700 | 2019-06-21, 02:27:10.426488 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab.cc, 56) Allocate block: nvslab: (0xbeef, 0x4e000404c8) block: 2
0000034 | T.0x00007f60866f5700 | 2019-06-21, 02:27:10.426494 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab_heap.cc, 40) Allocate block: new_fullness: 0 old_fullness: 0
0000035 | T.0x00007f60866f5700 | 2019-06-21, 02:27:10.426499 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x4e00042508) size: 4012
0000036 | T.0x00007f60867f6700 | 2019-06-21, 02:27:10.426793 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 4012
