0000001 | T.0x00007f16b07eb700 | 2019-06-21, 02:36:33.424191 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 153) Open heap path: /lfs/spark_global0 
0000002 | T.0x00007f16b07eb700 | 2019-06-21, 02:36:33.425487 [info] - (/home/ghosdebd/sparkle/alps/src/pegasus/lfs_region_file.cc, 64) Open LFS region file path: "/lfs/spark_global0" flags: O_RDWR
0000004 | T.0x00007f16b07eb700 | 2019-06-21, 02:36:33.434228 [info] - (/home/ghosdebd/sparkle/alps/src/pegasus/segmap.cc, 39) map region  base_addr: 0x7e9544000000 size: 549755813888 addr_range: 0x7e9544000000--7f1544000000
0000005 | T.0x00007f16b07eb700 | 2019-06-21, 02:36:33.434269 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 158) Opened heap path: /lfs/spark_global0  size: 549755813888
0000006 | T.0x00007f16b03e7700 | 2019-06-21, 02:36:35.564216 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 4012
0000007 | T.0x00007f16b03e7700 | 2019-06-21, 02:36:35.564382 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 4012 ig: 0
0000008 | T.0x00007f16b03e7700 | 2019-06-21, 02:36:35.564718 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 4012
0000009 | T.0x00007f16b03e7700 | 2019-06-21, 02:36:35.564742 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/process_slab_heap.cc, 30) acquire_slab
0000010 | T.0x00007f16b03e7700 | 2019-06-21, 02:36:35.564748 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/process_slab_heap.cc, 33) acquire_slab: locked
0000011 | T.0x00007f16b03e7700 | 2019-06-21, 02:36:35.564762 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000012 | T.0x00007f16b03e7700 | 2019-06-21, 02:36:35.564892 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.hh, 40) NVZONE: 0x7e9d44000400
0000013 | T.0x00007f16b03e7700 | 2019-06-21, 02:36:35.564913 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.hh, 41) NVZONE: ID: 4
0000014 | T.0x00007f16b03e7700 | 2019-06-21, 02:36:35.571084 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (0, 32766)
0000015 | T.0x00007f16b03e7700 | 2019-06-21, 02:36:35.571130 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone_heap.hh, 153) Acquired zone: 4
0000016 | T.0x00007f16b03e7700 | 2019-06-21, 02:36:35.571139 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.hh, 72) Enumerate zone: 4
0000017 | T.0x00007f16b03e7700 | 2019-06-21, 02:36:35.572634 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000018 | T.0x00007f16b03e7700 | 2019-06-21, 02:36:35.572678 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (1, 32765)
0000019 | T.0x00007f16b03e7700 | 2019-06-21, 02:36:35.572688 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.cc, 48) Allocated zone_id: 4 extent: (0, 1) 0x7e9d440404c8
0000020 | T.0x00007f16b03e7700 | 2019-06-21, 02:36:35.572718 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/process_slab_heap.cc, 50) acquire_slab: unlock 2
0000021 | T.0x00007f16b03e7700 | 2019-06-21, 02:36:35.572745 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab.cc, 56) Allocate block: nvslab: (0xbeef, 0x8000404c8) block: 0
0000022 | T.0x00007f16b03e7700 | 2019-06-21, 02:36:35.572758 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab_heap.cc, 40) Allocate block: new_fullness: 0 old_fullness: 0
0000023 | T.0x00007f16b03e7700 | 2019-06-21, 02:36:35.572771 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x800040508) size: 4012
0000024 | T.0x00007f16b0aee700 | 2019-06-21, 02:36:35.577983 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 4012
0000025 | T.0x00007f16b0aee700 | 2019-06-21, 02:36:35.578119 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 4012 ig: 0
0000026 | T.0x00007f16b0aee700 | 2019-06-21, 02:36:35.578130 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 4012
