0000001 | T.0x00007fd59f9f9700 | 2019-06-21, 02:46:06.294388 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 153) Open heap path: /lfs/spark_global0 
0000002 | T.0x00007fd59f9f9700 | 2019-06-21, 02:46:06.295037 [info] - (/home/ghosdebd/sparkle/alps/src/pegasus/lfs_region_file.cc, 64) Open LFS region file path: "/lfs/spark_global0" flags: O_RDWR
0000004 | T.0x00007fd59f9f9700 | 2019-06-21, 02:46:06.312836 [info] - (/home/ghosdebd/sparkle/alps/src/pegasus/segmap.cc, 39) map region  base_addr: 0x7f5438000000 size: 549755813888 addr_range: 0x7f5438000000--7fd438000000
0000005 | T.0x00007fd59f9f9700 | 2019-06-21, 02:46:06.312868 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 158) Opened heap path: /lfs/spark_global0  size: 549755813888
0000006 | T.0x00007fd59fbfb700 | 2019-06-21, 02:46:09.135081 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 4012
0000007 | T.0x00007fd59fbfb700 | 2019-06-21, 02:46:09.135197 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 4012 ig: 0
0000008 | T.0x00007fd59fbfb700 | 2019-06-21, 02:46:09.135604 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 4012
0000009 | T.0x00007fd59fbfb700 | 2019-06-21, 02:46:09.135619 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/process_slab_heap.cc, 30) acquire_slab
0000010 | T.0x00007fd59fbfb700 | 2019-06-21, 02:46:09.135624 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/process_slab_heap.cc, 33) acquire_slab: locked
0000011 | T.0x00007fd59fbfb700 | 2019-06-21, 02:46:09.135629 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000012 | T.0x00007fd59fbfb700 | 2019-06-21, 02:46:09.136147 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.hh, 40) NVZONE: 0x7f7238000400
0000013 | T.0x00007fd59fbfb700 | 2019-06-21, 02:46:09.136168 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.hh, 41) NVZONE: ID: 15
