0000001 | T.0x00007f6de85e9700 | 2019-09-12, 02:18:22.105082 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 153) Open heap path: /lfs/spark_global0 
0000002 | T.0x00007f6de85e9700 | 2019-09-12, 02:18:22.105841 [info] - (/home/ghosdebd/sparkle/alps/src/pegasus/lfs_region_file.cc, 64) Open LFS region file path: "/lfs/spark_global0" flags: O_RDWR
0000004 | T.0x00007f6de85e9700 | 2019-09-12, 02:18:22.110916 [info] - (/home/ghosdebd/sparkle/alps/src/pegasus/segmap.cc, 39) map region  base_addr: 0x7e6c6b584000 size: 1099511627776 addr_range: 0x7e6c6b584000--7f6c6b584000
0000005 | T.0x00007f6de85e9700 | 2019-09-12, 02:18:22.110942 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 158) Opened heap path: /lfs/spark_global0  size: 1099511627776
0000006 | T.0x00007f6ca3efe700 | 2019-09-12, 02:18:22.433518 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 412
0000007 | T.0x00007f6de84e8700 | 2019-09-12, 02:18:22.433548 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 412
0000008 | T.0x00007f6ca3efe700 | 2019-09-12, 02:18:22.433585 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 412 ig: 0
0000009 | T.0x00007f6de84e8700 | 2019-09-12, 02:18:22.433588 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 412 ig: 0
0000010 | T.0x00007f6ca3dfd700 | 2019-09-12, 02:18:22.433712 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 412
0000011 | T.0x00007f6ca3dfd700 | 2019-09-12, 02:18:22.433732 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 412 ig: 0
0000012 | T.0x00007f6ca3efe700 | 2019-09-12, 02:18:22.433899 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 412
0000014 | T.0x00007f6ca3dfd700 | 2019-09-12, 02:18:22.433903 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 412
0000013 | T.0x00007f6de84e8700 | 2019-09-12, 02:18:22.433901 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 412
0000015 | T.0x00007f6ca3efe700 | 2019-09-12, 02:18:22.433914 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/process_slab_heap.cc, 30) acquire_slab
0000016 | T.0x00007f6ca3efe700 | 2019-09-12, 02:18:22.433921 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/process_slab_heap.cc, 33) acquire_slab: locked
0000017 | T.0x00007f6ca3efe700 | 2019-09-12, 02:18:22.433926 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000018 | T.0x00007f6ca3efe700 | 2019-09-12, 02:18:22.433982 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.hh, 40) NVZONE: 0x7e6e6b584400
0000019 | T.0x00007f6ca3efe700 | 2019-09-12, 02:18:22.433989 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.hh, 41) NVZONE: ID: 1
0000020 | T.0x00007f6ca3efe700 | 2019-09-12, 02:18:22.435706 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (0, 32766)
0000021 | T.0x00007f6ca3efe700 | 2019-09-12, 02:18:22.435726 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone_heap.hh, 153) Acquired zone: 1
0000022 | T.0x00007f6ca3efe700 | 2019-09-12, 02:18:22.435732 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.hh, 72) Enumerate zone: 1
0000023 | T.0x00007f6ca3efe700 | 2019-09-12, 02:18:22.437219 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000024 | T.0x00007f6ca3efe700 | 2019-09-12, 02:18:22.437231 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (1, 32765)
0000025 | T.0x00007f6ca3efe700 | 2019-09-12, 02:18:22.437236 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.cc, 48) Allocated zone_id: 1 extent: (0, 1) 0x7e6e6b5c44c8
0000026 | T.0x00007f6ca3efe700 | 2019-09-12, 02:18:22.437263 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/process_slab_heap.cc, 50) acquire_slab: unlock 2
0000027 | T.0x00007f6ca3efe700 | 2019-09-12, 02:18:22.437276 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab.cc, 56) Allocate block: nvslab: (0xbeef, 0x2000404c8) block: 0
0000028 | T.0x00007f6ca3efe700 | 2019-09-12, 02:18:22.437281 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab_heap.cc, 40) Allocate block: new_fullness: 0 old_fullness: 0
0000029 | T.0x00007f6ca3efe700 | 2019-09-12, 02:18:22.437288 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x200040548) size: 412
0000030 | T.0x00007f6ca3dfd700 | 2019-09-12, 02:18:22.437293 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab.cc, 56) Allocate block: nvslab: (0xbeef, 0x2000404c8) block: 1
0000031 | T.0x00007f6ca3dfd700 | 2019-09-12, 02:18:22.437301 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab_heap.cc, 40) Allocate block: new_fullness: 0 old_fullness: 0
0000032 | T.0x00007f6ca3dfd700 | 2019-09-12, 02:18:22.437307 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x2000406e8) size: 412
0000034 | T.0x00007f6ca3efe700 | 2019-09-12, 02:18:22.437310 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 30
0000035 | T.0x00007f6ca3dfd700 | 2019-09-12, 02:18:22.437317 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 30
0000033 | T.0x00007f6de84e8700 | 2019-09-12, 02:18:22.437310 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab.cc, 56) Allocate block: nvslab: (0xbeef, 0x2000404c8) block: 2
