0000001 | T.0x00007fa69d7f7700 | 2019-06-21, 01:50:05.089271 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 153) Open heap path: /lfs/spark_global0 
0000002 | T.0x00007fa69d7f7700 | 2019-06-21, 01:50:05.090411 [info] - (/home/ghosdebd/sparkle/alps/src/pegasus/lfs_region_file.cc, 64) Open LFS region file path: "/lfs/spark_global0" flags: O_RDWR
0000004 | T.0x00007fa69d7f7700 | 2019-06-21, 01:50:05.098815 [info] - (/home/ghosdebd/sparkle/alps/src/pegasus/segmap.cc, 39) map region  base_addr: 0x7f255a2a2000 size: 549755813888 addr_range: 0x7f255a2a2000--7fa55a2a2000
0000005 | T.0x00007fa69d7f7700 | 2019-06-21, 01:50:05.098892 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 158) Opened heap path: /lfs/spark_global0  size: 549755813888
0000006 | T.0x00007fa69d5f5700 | 2019-06-21, 01:50:07.007392 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 4012
0000007 | T.0x00007fa69d6f6700 | 2019-06-21, 01:50:07.007404 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 4012
0000008 | T.0x00007fa69d5f5700 | 2019-06-21, 01:50:07.007451 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 4012 ig: 0
0000009 | T.0x00007fa69d6f6700 | 2019-06-21, 01:50:07.007457 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 4012 ig: 0
0000010 | T.0x00007fa69d5f5700 | 2019-06-21, 01:50:07.007690 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 4012
0000011 | T.0x00007fa69d6f6700 | 2019-06-21, 01:50:07.007691 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 4012
0000012 | T.0x00007fa69d5f5700 | 2019-06-21, 01:50:07.007706 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/process_slab_heap.cc, 30) acquire_slab
