0000001 | T.0x00007f027c2c2700 | 2019-06-21, 02:15:05.412654 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 153) Open heap path: /lfs/spark_global0 
0000002 | T.0x00007f027c2c2700 | 2019-06-21, 02:15:05.413355 [info] - (/home/ghosdebd/sparkle/alps/src/pegasus/lfs_region_file.cc, 64) Open LFS region file path: "/lfs/spark_global0" flags: O_RDWR
0000004 | T.0x00007f027c2c2700 | 2019-06-21, 02:15:05.417142 [info] - (/home/ghosdebd/sparkle/alps/src/pegasus/segmap.cc, 39) map region  base_addr: 0x7e7ee0000000 size: 549755813888 addr_range: 0x7e7ee0000000--7efee0000000
0000005 | T.0x00007f027c2c2700 | 2019-06-21, 02:15:05.417179 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 158) Opened heap path: /lfs/spark_global0  size: 549755813888
0000006 | T.0x00007f027cbcb700 | 2019-06-21, 02:15:07.842069 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 4012
0000007 | T.0x00007f027cbcb700 | 2019-06-21, 02:15:07.842169 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 4012 ig: 0
0000008 | T.0x00007f027cbcb700 | 2019-06-21, 02:15:07.842476 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 4012
0000009 | T.0x00007f027cbcb700 | 2019-06-21, 02:15:07.842490 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/process_slab_heap.cc, 30) acquire_slab
0000010 | T.0x00007f027cbcb700 | 2019-06-21, 02:15:07.842496 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/process_slab_heap.cc, 33) acquire_slab: locked
0000011 | T.0x00007f027cbcb700 | 2019-06-21, 02:15:07.842502 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000012 | T.0x00007f027c2c2700 | 2019-06-21, 02:15:07.842683 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 4012
0000013 | T.0x00007f027c2c2700 | 2019-06-21, 02:15:07.842802 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 4012 ig: 0
0000014 | T.0x00007f027c2c2700 | 2019-06-21, 02:15:07.842817 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 4012
0000015 | T.0x00007f027cbcb700 | 2019-06-21, 02:15:07.844092 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.hh, 40) NVZONE: 0x7ea0e0000400
0000016 | T.0x00007f027cbcb700 | 2019-06-21, 02:15:07.844119 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.hh, 41) NVZONE: ID: 17
0000017 | T.0x00007f027f3f3700 | 2019-06-21, 02:15:07.847540 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 4012
0000018 | T.0x00007f027f3f3700 | 2019-06-21, 02:15:07.847612 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 4012 ig: 0
0000019 | T.0x00007f027f3f3700 | 2019-06-21, 02:15:07.847619 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 4012
0000020 | T.0x00007f02771f1700 | 2019-06-21, 02:15:07.850642 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 4012
0000021 | T.0x00007f02771f1700 | 2019-06-21, 02:15:07.850700 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 4012 ig: 0
0000022 | T.0x00007f02771f1700 | 2019-06-21, 02:15:07.850709 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 4012
0000023 | T.0x00007f027cbcb700 | 2019-06-21, 02:15:07.854811 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (0, 32766)
0000024 | T.0x00007f027cbcb700 | 2019-06-21, 02:15:07.854866 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone_heap.hh, 153) Acquired zone: 17
0000025 | T.0x00007f027cbcb700 | 2019-06-21, 02:15:07.854880 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.hh, 72) Enumerate zone: 17
0000026 | T.0x00007f0276eee700 | 2019-06-21, 02:15:07.855269 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 4012
0000027 | T.0x00007f0276eee700 | 2019-06-21, 02:15:07.855325 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 4012 ig: 0
0000028 | T.0x00007f0276eee700 | 2019-06-21, 02:15:07.855339 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 4012
0000029 | T.0x00007f0275a91700 | 2019-06-21, 02:15:07.855432 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 4012
0000030 | T.0x00007f0275a91700 | 2019-06-21, 02:15:07.855459 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 4012 ig: 0
0000031 | T.0x00007f0275a91700 | 2019-06-21, 02:15:07.855466 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 4012
0000032 | T.0x00007f027cbcb700 | 2019-06-21, 02:15:07.856664 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000033 | T.0x00007f027cbcb700 | 2019-06-21, 02:15:07.856683 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (1, 32765)
0000034 | T.0x00007f027cbcb700 | 2019-06-21, 02:15:07.856687 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.cc, 48) Allocated zone_id: 17 extent: (0, 1) 0x7ea0e00404c8
0000035 | T.0x00007f027cbcb700 | 2019-06-21, 02:15:07.856706 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/process_slab_heap.cc, 50) acquire_slab: unlock 2
0000036 | T.0x00007f027cbcb700 | 2019-06-21, 02:15:07.856717 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab.cc, 56) Allocate block: nvslab: (0xbeef, 0x22000404c8) block: 0
0000037 | T.0x00007f027cbcb700 | 2019-06-21, 02:15:07.856726 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab_heap.cc, 40) Allocate block: new_fullness: 0 old_fullness: 0
0000038 | T.0x00007f027cbcb700 | 2019-06-21, 02:15:07.856740 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x2200040508) size: 4012
0000039 | T.0x00007f027c2c2700 | 2019-06-21, 02:15:07.856765 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab.cc, 56) Allocate block: nvslab: (0xbeef, 0x22000404c8) block: 1
0000040 | T.0x00007f027c2c2700 | 2019-06-21, 02:15:07.856798 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab_heap.cc, 40) Allocate block: new_fullness: 0 old_fullness: 0
0000041 | T.0x00007f027c2c2700 | 2019-06-21, 02:15:07.856816 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x2200041508) size: 4012
0000042 | T.0x00007f027f3f3700 | 2019-06-21, 02:15:07.856883 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab.cc, 56) Allocate block: nvslab: (0xbeef, 0x22000404c8) block: 2
0000043 | T.0x00007f027f3f3700 | 2019-06-21, 02:15:07.856915 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab_heap.cc, 40) Allocate block: new_fullness: 0 old_fullness: 0
0000044 | T.0x00007f027f3f3700 | 2019-06-21, 02:15:07.856930 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x2200042508) size: 4012
0000045 | T.0x00007f02771f1700 | 2019-06-21, 02:15:07.856933 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab.cc, 56) Allocate block: nvslab: (0xbeef, 0x22000404c8) block: 3
0000046 | T.0x00007f02771f1700 | 2019-06-21, 02:15:07.856955 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab_heap.cc, 40) Allocate block: new_fullness: 0 old_fullness: 0
0000047 | T.0x00007f02771f1700 | 2019-06-21, 02:15:07.856968 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x2200043508) size: 4012
0000048 | T.0x00007f0276eee700 | 2019-06-21, 02:15:07.856972 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab.cc, 56) Allocate block: nvslab: (0xbeef, 0x22000404c8) block: 4
0000049 | T.0x00007f0276eee700 | 2019-06-21, 02:15:07.856984 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab_heap.cc, 40) Allocate block: new_fullness: 0 old_fullness: 0
0000050 | T.0x00007f0276eee700 | 2019-06-21, 02:15:07.857115 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x2200044508) size: 4012
0000051 | T.0x00007f0275a91700 | 2019-06-21, 02:15:07.857118 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab.cc, 56) Allocate block: nvslab: (0xbeef, 0x22000404c8) block: 5
0000052 | T.0x00007f0275a91700 | 2019-06-21, 02:15:07.857130 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab_heap.cc, 40) Allocate block: new_fullness: 0 old_fullness: 0
0000053 | T.0x00007f0275a91700 | 2019-06-21, 02:15:07.857136 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x2200045508) size: 4012
0000054 | T.0x00007f027cbcb700 | 2019-06-21, 02:15:07.865200 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 300780
0000055 | T.0x00007f027cbcb700 | 2019-06-21, 02:15:07.865246 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 300780 ig: 0
0000056 | T.0x00007f027cbcb700 | 2019-06-21, 02:15:07.865252 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 300780
0000057 | T.0x00007f027cbcb700 | 2019-06-21, 02:15:07.865262 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000058 | T.0x00007f027cbcb700 | 2019-06-21, 02:15:07.865271 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (3, 32763)
0000059 | T.0x00007f027cbcb700 | 2019-06-21, 02:15:07.865282 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.cc, 48) Allocated zone_id: 17 extent: (1, 2) 0x7ea0e00804c8
0000060 | T.0x00007f027cbcb700 | 2019-06-21, 02:15:07.865291 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x22000804c8) size: 300780
0000061 | T.0x00007f027cbcb700 | 2019-06-21, 02:15:07.865299 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 301140
0000062 | T.0x00007f027cbcb700 | 2019-06-21, 02:15:07.865303 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 301140 ig: 0
0000063 | T.0x00007f027cbcb700 | 2019-06-21, 02:15:07.865307 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 301140
0000064 | T.0x00007f027cbcb700 | 2019-06-21, 02:15:07.865311 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000065 | T.0x00007f027cbcb700 | 2019-06-21, 02:15:07.865315 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (5, 32761)
0000066 | T.0x00007f027cbcb700 | 2019-06-21, 02:15:07.865318 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.cc, 48) Allocated zone_id: 17 extent: (3, 2) 0x7ea0e01004c8
0000067 | T.0x00007f027cbcb700 | 2019-06-21, 02:15:07.865322 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x22001004c8) size: 301140
0000068 | T.0x00007f027cbcb700 | 2019-06-21, 02:15:07.865326 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 301560
0000069 | T.0x00007f027cbcb700 | 2019-06-21, 02:15:07.865329 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 301560 ig: 0
0000070 | T.0x00007f027cbcb700 | 2019-06-21, 02:15:07.865332 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 301560
0000071 | T.0x00007f027cbcb700 | 2019-06-21, 02:15:07.865336 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000072 | T.0x00007f027cbcb700 | 2019-06-21, 02:15:07.865339 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (7, 32759)
0000073 | T.0x00007f027cbcb700 | 2019-06-21, 02:15:07.865342 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.cc, 48) Allocated zone_id: 17 extent: (5, 2) 0x7ea0e01804c8
0000074 | T.0x00007f027cbcb700 | 2019-06-21, 02:15:07.865346 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x22001804c8) size: 301560
0000075 | T.0x00007f027cbcb700 | 2019-06-21, 02:15:07.865351 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 299580
0000076 | T.0x00007f027cbcb700 | 2019-06-21, 02:15:07.865355 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 299580 ig: 0
0000077 | T.0x00007f027cbcb700 | 2019-06-21, 02:15:07.865358 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 299580
0000078 | T.0x00007f027cbcb700 | 2019-06-21, 02:15:07.865362 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000079 | T.0x00007f027cbcb700 | 2019-06-21, 02:15:07.865365 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (9, 32757)
0000080 | T.0x00007f027cbcb700 | 2019-06-21, 02:15:07.865370 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.cc, 48) Allocated zone_id: 17 extent: (7, 2) 0x7ea0e02004c8
0000081 | T.0x00007f027cbcb700 | 2019-06-21, 02:15:07.865374 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x22002004c8) size: 299580
0000082 | T.0x00007f027cbcb700 | 2019-06-21, 02:15:07.865378 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 302430
0000083 | T.0x00007f027cbcb700 | 2019-06-21, 02:15:07.865381 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 302430 ig: 0
0000084 | T.0x00007f027cbcb700 | 2019-06-21, 02:15:07.865384 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 302430
0000085 | T.0x00007f027cbcb700 | 2019-06-21, 02:15:07.865387 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000086 | T.0x00007f027cbcb700 | 2019-06-21, 02:15:07.865390 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (11, 32755)
0000087 | T.0x00007f027cbcb700 | 2019-06-21, 02:15:07.865394 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.cc, 48) Allocated zone_id: 17 extent: (9, 2) 0x7ea0e02804c8
0000088 | T.0x00007f027cbcb700 | 2019-06-21, 02:15:07.865397 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x22002804c8) size: 302430
0000089 | T.0x00007f027cbcb700 | 2019-06-21, 02:15:07.865401 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 298800
0000090 | T.0x00007f027cbcb700 | 2019-06-21, 02:15:07.865404 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 298800 ig: 0
0000091 | T.0x00007f027cbcb700 | 2019-06-21, 02:15:07.865407 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 298800
0000092 | T.0x00007f027cbcb700 | 2019-06-21, 02:15:07.865410 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000093 | T.0x00007f027cbcb700 | 2019-06-21, 02:15:07.865413 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (13, 32753)
0000094 | T.0x00007f027cbcb700 | 2019-06-21, 02:15:07.865417 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.cc, 48) Allocated zone_id: 17 extent: (11, 2) 0x7ea0e03004c8
0000095 | T.0x00007f027cbcb700 | 2019-06-21, 02:15:07.865420 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x22003004c8) size: 298800
0000096 | T.0x00007f027cbcb700 | 2019-06-21, 02:15:07.865424 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 302550
0000097 | T.0x00007f027cbcb700 | 2019-06-21, 02:15:07.865427 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 302550 ig: 0
0000098 | T.0x00007f027cbcb700 | 2019-06-21, 02:15:07.865461 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 302550
0000099 | T.0x00007f027cbcb700 | 2019-06-21, 02:15:07.865465 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000100 | T.0x00007f027cbcb700 | 2019-06-21, 02:15:07.865469 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (15, 32751)
0000101 | T.0x00007f027cbcb700 | 2019-06-21, 02:15:07.865474 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.cc, 48) Allocated zone_id: 17 extent: (13, 2) 0x7ea0e03804c8
0000102 | T.0x00007f027cbcb700 | 2019-06-21, 02:15:07.865477 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x22003804c8) size: 302550
0000103 | T.0x00007f027cbcb700 | 2019-06-21, 02:15:07.865480 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 301170
0000104 | T.0x00007f027cbcb700 | 2019-06-21, 02:15:07.865484 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 301170 ig: 0
0000105 | T.0x00007f027cbcb700 | 2019-06-21, 02:15:07.865487 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 301170
0000106 | T.0x00007f027cbcb700 | 2019-06-21, 02:15:07.865490 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000107 | T.0x00007f027cbcb700 | 2019-06-21, 02:15:07.865494 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (17, 32749)
0000108 | T.0x00007f027cbcb700 | 2019-06-21, 02:15:07.865498 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.cc, 48) Allocated zone_id: 17 extent: (15, 2) 0x7ea0e04004c8
0000109 | T.0x00007f027cbcb700 | 2019-06-21, 02:15:07.865501 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x22004004c8) size: 301170
0000110 | T.0x00007f027cbcb700 | 2019-06-21, 02:15:07.865505 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 294840
0000111 | T.0x00007f027cbcb700 | 2019-06-21, 02:15:07.865508 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 294840 ig: 0
0000112 | T.0x00007f027cbcb700 | 2019-06-21, 02:15:07.865511 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 294840
0000113 | T.0x00007f027cbcb700 | 2019-06-21, 02:15:07.865514 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000114 | T.0x00007f027cbcb700 | 2019-06-21, 02:15:07.865517 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (19, 32747)
0000115 | T.0x00007f027cbcb700 | 2019-06-21, 02:15:07.865521 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.cc, 48) Allocated zone_id: 17 extent: (17, 2) 0x7ea0e04804c8
0000116 | T.0x00007f027cbcb700 | 2019-06-21, 02:15:07.865524 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x22004804c8) size: 294840
0000117 | T.0x00007f027cbcb700 | 2019-06-21, 02:15:07.865528 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 296610
0000118 | T.0x00007f027cbcb700 | 2019-06-21, 02:15:07.865532 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 296610 ig: 0
0000119 | T.0x00007f027cbcb700 | 2019-06-21, 02:15:07.865535 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 296610
0000120 | T.0x00007f027cbcb700 | 2019-06-21, 02:15:07.865538 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000121 | T.0x00007f027cbcb700 | 2019-06-21, 02:15:07.865541 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (21, 32745)
0000122 | T.0x00007f027cbcb700 | 2019-06-21, 02:15:07.865544 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.cc, 48) Allocated zone_id: 17 extent: (19, 2) 0x7ea0e05004c8
0000123 | T.0x00007f027cbcb700 | 2019-06-21, 02:15:07.865547 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x22005004c8) size: 296610
0000124 | T.0x00007f027cbcb700 | 2019-06-21, 02:15:07.865551 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 300930
0000125 | T.0x00007f027cbcb700 | 2019-06-21, 02:15:07.865554 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 300930 ig: 0
0000126 | T.0x00007f027cbcb700 | 2019-06-21, 02:15:07.865558 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 300930
0000127 | T.0x00007f027cbcb700 | 2019-06-21, 02:15:07.865561 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000128 | T.0x00007f027cbcb700 | 2019-06-21, 02:15:07.865565 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (23, 32743)
