0000001 | T.0x00007fae545f6700 | 2019-06-21, 02:16:20.739803 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 153) Open heap path: /lfs/spark_global0 
0000002 | T.0x00007fae545f6700 | 2019-06-21, 02:16:20.740075 [info] - (/home/ghosdebd/sparkle/alps/src/pegasus/lfs_region_file.cc, 64) Open LFS region file path: "/lfs/spark_global0" flags: O_RDWR
0000004 | T.0x00007fae545f6700 | 2019-06-21, 02:16:20.749369 [info] - (/home/ghosdebd/sparkle/alps/src/pegasus/segmap.cc, 39) map region  base_addr: 0x7f2ce8000000 size: 549755813888 addr_range: 0x7f2ce8000000--7face8000000
0000005 | T.0x00007fae545f6700 | 2019-06-21, 02:16:20.749396 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 158) Opened heap path: /lfs/spark_global0  size: 549755813888
0000006 | T.0x00007fae4fdfd700 | 2019-06-21, 02:16:22.661718 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 4012
0000007 | T.0x00007fae4fdfd700 | 2019-06-21, 02:16:22.661814 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 4012 ig: 0
0000008 | T.0x00007fae4fdfd700 | 2019-06-21, 02:16:22.662096 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 4012
0000009 | T.0x00007fae4fdfd700 | 2019-06-21, 02:16:22.662113 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/process_slab_heap.cc, 30) acquire_slab
0000010 | T.0x00007fae4fdfd700 | 2019-06-21, 02:16:22.662118 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/process_slab_heap.cc, 33) acquire_slab: locked
0000011 | T.0x00007fae4fdfd700 | 2019-06-21, 02:16:22.662123 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000012 | T.0x00007fae4fdfd700 | 2019-06-21, 02:16:22.662550 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.hh, 40) NVZONE: 0x7f5ee8000400
0000013 | T.0x00007fae4fdfd700 | 2019-06-21, 02:16:22.662565 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.hh, 41) NVZONE: ID: 25
0000014 | T.0x00007fae4fdfd700 | 2019-06-21, 02:16:22.664684 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (0, 32766)
0000015 | T.0x00007fae4fdfd700 | 2019-06-21, 02:16:22.664711 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone_heap.hh, 153) Acquired zone: 25
0000016 | T.0x00007fae4fdfd700 | 2019-06-21, 02:16:22.664716 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.hh, 72) Enumerate zone: 25
0000017 | T.0x00007fae4fdfd700 | 2019-06-21, 02:16:22.666215 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000018 | T.0x00007fae4fdfd700 | 2019-06-21, 02:16:22.666236 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (1, 32765)
0000019 | T.0x00007fae4fdfd700 | 2019-06-21, 02:16:22.666242 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.cc, 48) Allocated zone_id: 25 extent: (0, 1) 0x7f5ee80404c8
0000020 | T.0x00007fae4fdfd700 | 2019-06-21, 02:16:22.666262 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/process_slab_heap.cc, 50) acquire_slab: unlock 2
0000021 | T.0x00007fae4fdfd700 | 2019-06-21, 02:16:22.666274 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab.cc, 56) Allocate block: nvslab: (0xbeef, 0x32000404c8) block: 0
0000022 | T.0x00007fae4fdfd700 | 2019-06-21, 02:16:22.666283 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab_heap.cc, 40) Allocate block: new_fullness: 0 old_fullness: 0
0000023 | T.0x00007fae4fdfd700 | 2019-06-21, 02:16:22.666289 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x3200040508) size: 4012
0000024 | T.0x00007fae4fdfd700 | 2019-06-21, 02:16:22.675200 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 298710
