0000001 | T.0x00007efe402d3700 | 2019-06-21, 02:19:48.889258 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 153) Open heap path: /lfs/spark_global0 
0000002 | T.0x00007efe402d3700 | 2019-06-21, 02:19:48.889701 [info] - (/home/ghosdebd/sparkle/alps/src/pegasus/lfs_region_file.cc, 64) Open LFS region file path: "/lfs/spark_global0" flags: O_RDWR
0000004 | T.0x00007efe402d3700 | 2019-06-21, 02:19:48.909275 [info] - (/home/ghosdebd/sparkle/alps/src/pegasus/segmap.cc, 39) map region  base_addr: 0x7e7ce4000000 size: 549755813888 addr_range: 0x7e7ce4000000--7efce4000000
0000005 | T.0x00007efe402d3700 | 2019-06-21, 02:19:48.909355 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 158) Opened heap path: /lfs/spark_global0  size: 549755813888
0000006 | T.0x00007efe386ee700 | 2019-06-21, 02:19:49.224052 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 412
0000007 | T.0x00007efe386ee700 | 2019-06-21, 02:19:49.224101 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 412 ig: 0
0000008 | T.0x00007efe386ee700 | 2019-06-21, 02:19:49.224335 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 412
0000009 | T.0x00007efe386ee700 | 2019-06-21, 02:19:49.224345 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/process_slab_heap.cc, 30) acquire_slab
0000010 | T.0x00007efe386ee700 | 2019-06-21, 02:19:49.224350 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/process_slab_heap.cc, 33) acquire_slab: locked
0000011 | T.0x00007efe386ee700 | 2019-06-21, 02:19:49.224354 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000012 | T.0x00007efe386ee700 | 2019-06-21, 02:19:49.224404 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.hh, 40) NVZONE: 0x7e84e4000400
0000013 | T.0x00007efe386ee700 | 2019-06-21, 02:19:49.224411 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.hh, 41) NVZONE: ID: 4
0000014 | T.0x00007efe386ee700 | 2019-06-21, 02:19:49.226264 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (0, 32766)
0000015 | T.0x00007efe386ee700 | 2019-06-21, 02:19:49.226307 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone_heap.hh, 153) Acquired zone: 4
0000016 | T.0x00007efe386ee700 | 2019-06-21, 02:19:49.226333 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.hh, 72) Enumerate zone: 4
0000017 | T.0x00007efe386ee700 | 2019-06-21, 02:19:49.227975 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000018 | T.0x00007efe386ee700 | 2019-06-21, 02:19:49.227984 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (1, 32765)
