0000001 | T.0x00007f37325fa700 | 2019-06-21, 02:20:16.381557 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 153) Open heap path: /lfs/spark_global0 
0000002 | T.0x00007f37325fa700 | 2019-06-21, 02:20:16.382403 [info] - (/home/ghosdebd/sparkle/alps/src/pegasus/lfs_region_file.cc, 64) Open LFS region file path: "/lfs/spark_global0" flags: O_RDWR
0000004 | T.0x00007f37325fa700 | 2019-06-21, 02:20:16.394231 [info] - (/home/ghosdebd/sparkle/alps/src/pegasus/segmap.cc, 39) map region  base_addr: 0x7eb5f112f000 size: 549755813888 addr_range: 0x7eb5f112f000--7f35f112f000
0000005 | T.0x00007f37325fa700 | 2019-06-21, 02:20:16.394264 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 158) Opened heap path: /lfs/spark_global0  size: 549755813888
0000006 | T.0x00007f37325fa700 | 2019-06-21, 02:20:16.737952 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 412
0000007 | T.0x00007f37307e6700 | 2019-06-21, 02:20:16.737962 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 412
0000008 | T.0x00007f37325fa700 | 2019-06-21, 02:20:16.737986 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 412 ig: 0
0000009 | T.0x00007f37307e6700 | 2019-06-21, 02:20:16.737999 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 412 ig: 0
0000011 | T.0x00007f37307e6700 | 2019-06-21, 02:20:16.738168 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 412
0000010 | T.0x00007f37325fa700 | 2019-06-21, 02:20:16.738166 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 412
0000012 | T.0x00007f37307e6700 | 2019-06-21, 02:20:16.738183 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/process_slab_heap.cc, 30) acquire_slab
0000013 | T.0x00007f37307e6700 | 2019-06-21, 02:20:16.738192 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/process_slab_heap.cc, 33) acquire_slab: locked
0000014 | T.0x00007f37307e6700 | 2019-06-21, 02:20:16.738198 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000015 | T.0x00007f37307e6700 | 2019-06-21, 02:20:16.738345 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.hh, 40) NVZONE: 0x7ee5f112f400
0000016 | T.0x00007f37307e6700 | 2019-06-21, 02:20:16.738356 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.hh, 41) NVZONE: ID: 24
0000017 | T.0x00007f37307e6700 | 2019-06-21, 02:20:16.739978 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (0, 32766)
0000018 | T.0x00007f37307e6700 | 2019-06-21, 02:20:16.739992 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone_heap.hh, 153) Acquired zone: 24
0000019 | T.0x00007f37307e6700 | 2019-06-21, 02:20:16.739998 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.hh, 72) Enumerate zone: 24
0000020 | T.0x00007f37307e6700 | 2019-06-21, 02:20:16.741530 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000021 | T.0x00007f37307e6700 | 2019-06-21, 02:20:16.741541 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (1, 32765)
0000022 | T.0x00007f37307e6700 | 2019-06-21, 02:20:16.741546 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.cc, 48) Allocated zone_id: 24 extent: (0, 1) 0x7ee5f116f4c8
0000023 | T.0x00007f37307e6700 | 2019-06-21, 02:20:16.741573 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/process_slab_heap.cc, 50) acquire_slab: unlock 2
0000024 | T.0x00007f37307e6700 | 2019-06-21, 02:20:16.741589 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab.cc, 56) Allocate block: nvslab: (0xbeef, 0x30000404c8) block: 0
0000025 | T.0x00007f37307e6700 | 2019-06-21, 02:20:16.741597 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab_heap.cc, 40) Allocate block: new_fullness: 0 old_fullness: 0
0000026 | T.0x00007f37307e6700 | 2019-06-21, 02:20:16.741607 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x3000040548) size: 412
0000027 | T.0x00007f37307e6700 | 2019-06-21, 02:20:16.741626 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 30
0000028 | T.0x00007f37307e6700 | 2019-06-21, 02:20:16.741634 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 30 ig: 0
0000029 | T.0x00007f37307e6700 | 2019-06-21, 02:20:16.741641 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 30
0000030 | T.0x00007f37325fa700 | 2019-06-21, 02:20:16.741652 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab.cc, 56) Allocate block: nvslab: (0xbeef, 0x30000404c8) block: 1
0000031 | T.0x00007f37325fa700 | 2019-06-21, 02:20:16.741693 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab_heap.cc, 40) Allocate block: new_fullness: 0 old_fullness: 0
0000032 | T.0x00007f37325fa700 | 2019-06-21, 02:20:16.741716 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x30000406e8) size: 412
0000033 | T.0x00007f37307e6700 | 2019-06-21, 02:20:16.741717 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/process_slab_heap.cc, 30) acquire_slab
0000034 | T.0x00007f37307e6700 | 2019-06-21, 02:20:16.741739 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/process_slab_heap.cc, 33) acquire_slab: locked
0000035 | T.0x00007f37325fa700 | 2019-06-21, 02:20:16.741744 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 60
0000036 | T.0x00007f37307e6700 | 2019-06-21, 02:20:16.741747 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000037 | T.0x00007f37325fa700 | 2019-06-21, 02:20:16.741756 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 60 ig: 0
0000038 | T.0x00007f37307e6700 | 2019-06-21, 02:20:16.741763 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (2, 32764)
0000040 | T.0x00007f37307e6700 | 2019-06-21, 02:20:16.741780 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.cc, 48) Allocated zone_id: 24 extent: (1, 1) 0x7ee5f11af4c8
0000039 | T.0x00007f37325fa700 | 2019-06-21, 02:20:16.741771 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 60
0000041 | T.0x00007f37307e6700 | 2019-06-21, 02:20:16.742008 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/process_slab_heap.cc, 50) acquire_slab: unlock 2
0000042 | T.0x00007f37307e6700 | 2019-06-21, 02:20:16.742016 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab.cc, 56) Allocate block: nvslab: (0xbeef, 0x30000804c8) block: 0
0000043 | T.0x00007f37307e6700 | 2019-06-21, 02:20:16.742024 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab_heap.cc, 40) Allocate block: new_fullness: 0 old_fullness: 0
0000044 | T.0x00007f37307e6700 | 2019-06-21, 02:20:16.742034 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x3000080908) size: 30
0000045 | T.0x00007f37325fa700 | 2019-06-21, 02:20:16.742036 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/process_slab_heap.cc, 30) acquire_slab
0000046 | T.0x00007f37307e6700 | 2019-06-21, 02:20:16.742041 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 60
0000047 | T.0x00007f37325fa700 | 2019-06-21, 02:20:16.742050 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/process_slab_heap.cc, 33) acquire_slab: locked
0000048 | T.0x00007f37307e6700 | 2019-06-21, 02:20:16.742055 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 60 ig: 0
0000049 | T.0x00007f37325fa700 | 2019-06-21, 02:20:16.742065 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000050 | T.0x00007f37307e6700 | 2019-06-21, 02:20:16.742073 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 60
0000051 | T.0x00007f37325fa700 | 2019-06-21, 02:20:16.742084 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (3, 32763)
0000052 | T.0x00007f37325fa700 | 2019-06-21, 02:20:16.742133 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.cc, 48) Allocated zone_id: 24 extent: (2, 1) 0x7ee5f11ef4c8
0000053 | T.0x00007f37325fa700 | 2019-06-21, 02:20:16.742304 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/process_slab_heap.cc, 50) acquire_slab: unlock 2
0000054 | T.0x00007f37325fa700 | 2019-06-21, 02:20:16.742314 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab.cc, 56) Allocate block: nvslab: (0xbeef, 0x30000c04c8) block: 0
0000055 | T.0x00007f37325fa700 | 2019-06-21, 02:20:16.742323 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab_heap.cc, 40) Allocate block: new_fullness: 0 old_fullness: 0
0000056 | T.0x00007f37325fa700 | 2019-06-21, 02:20:16.742330 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x30000c0708) size: 60
0000057 | T.0x00007f37307e6700 | 2019-06-21, 02:20:16.742332 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab.cc, 56) Allocate block: nvslab: (0xbeef, 0x30000c04c8) block: 1
0000058 | T.0x00007f37325fa700 | 2019-06-21, 02:20:16.742340 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 60
0000059 | T.0x00007f37307e6700 | 2019-06-21, 02:20:16.742348 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab_heap.cc, 40) Allocate block: new_fullness: 0 old_fullness: 0
0000060 | T.0x00007f37325fa700 | 2019-06-21, 02:20:16.742353 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 60 ig: 0
0000061 | T.0x00007f37307e6700 | 2019-06-21, 02:20:16.742364 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x30000c0748) size: 60
0000062 | T.0x00007f37325fa700 | 2019-06-21, 02:20:16.742374 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 60
0000063 | T.0x00007f37307e6700 | 2019-06-21, 02:20:16.742380 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 30
0000064 | T.0x00007f37325fa700 | 2019-06-21, 02:20:16.742391 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab.cc, 56) Allocate block: nvslab: (0xbeef, 0x30000c04c8) block: 2
0000065 | T.0x00007f37307e6700 | 2019-06-21, 02:20:16.742400 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 30 ig: 0
0000066 | T.0x00007f37325fa700 | 2019-06-21, 02:20:16.742410 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab_heap.cc, 40) Allocate block: new_fullness: 0 old_fullness: 0
0000068 | T.0x00007f37325fa700 | 2019-06-21, 02:20:16.742427 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x30000c0788) size: 60
0000067 | T.0x00007f37307e6700 | 2019-06-21, 02:20:16.742419 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 30
0000069 | T.0x00007f37325fa700 | 2019-06-21, 02:20:16.742437 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 30
0000070 | T.0x00007f37307e6700 | 2019-06-21, 02:20:16.742443 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab.cc, 56) Allocate block: nvslab: (0xbeef, 0x30000804c8) block: 1
0000071 | T.0x00007f37325fa700 | 2019-06-21, 02:20:16.742451 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 30 ig: 0
0000072 | T.0x00007f37307e6700 | 2019-06-21, 02:20:16.742456 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab_heap.cc, 40) Allocate block: new_fullness: 0 old_fullness: 0
0000073 | T.0x00007f37325fa700 | 2019-06-21, 02:20:16.742466 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 30
0000074 | T.0x00007f37307e6700 | 2019-06-21, 02:20:16.742472 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x3000080928) size: 30
0000075 | T.0x00007f37325fa700 | 2019-06-21, 02:20:16.742483 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab.cc, 56) Allocate block: nvslab: (0xbeef, 0x30000804c8) block: 2
