0000001 | T.0x00007f8e910f4700 | 2019-06-21, 02:20:33.969800 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 153) Open heap path: /lfs/spark_global0 
0000002 | T.0x00007f8e910f4700 | 2019-06-21, 02:20:33.970181 [info] - (/home/ghosdebd/sparkle/alps/src/pegasus/lfs_region_file.cc, 64) Open LFS region file path: "/lfs/spark_global0" flags: O_RDWR
0000004 | T.0x00007f8e910f4700 | 2019-06-21, 02:20:33.983370 [info] - (/home/ghosdebd/sparkle/alps/src/pegasus/segmap.cc, 39) map region  base_addr: 0x7f0d44000000 size: 549755813888 addr_range: 0x7f0d44000000--7f8d44000000
0000005 | T.0x00007f8e910f4700 | 2019-06-21, 02:20:33.983397 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 158) Opened heap path: /lfs/spark_global0  size: 549755813888
0000006 | T.0x00007f8e910f4700 | 2019-06-21, 02:20:34.322433 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 412
0000007 | T.0x00007f8e911f5700 | 2019-06-21, 02:20:34.322445 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 412
0000008 | T.0x00007f8e910f4700 | 2019-06-21, 02:20:34.322479 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 412 ig: 0
0000009 | T.0x00007f8e911f5700 | 2019-06-21, 02:20:34.322485 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 412 ig: 0
0000011 | T.0x00007f8e911f5700 | 2019-06-21, 02:20:34.322603 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 412
0000010 | T.0x00007f8e910f4700 | 2019-06-21, 02:20:34.322601 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 412
0000012 | T.0x00007f8e911f5700 | 2019-06-21, 02:20:34.322614 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/process_slab_heap.cc, 30) acquire_slab
0000013 | T.0x00007f8e911f5700 | 2019-06-21, 02:20:34.322619 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/process_slab_heap.cc, 33) acquire_slab: locked
