0000001 | T.0x00007f7cc0cec700 | 2019-06-21, 02:23:10.546425 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 153) Open heap path: /lfs/spark_global0 
0000002 | T.0x00007f7cc0cec700 | 2019-06-21, 02:23:10.547454 [info] - (/home/ghosdebd/sparkle/alps/src/pegasus/lfs_region_file.cc, 64) Open LFS region file path: "/lfs/spark_global0" flags: O_RDWR
0000004 | T.0x00007f7cc0cec700 | 2019-06-21, 02:23:10.550548 [info] - (/home/ghosdebd/sparkle/alps/src/pegasus/segmap.cc, 39) map region  base_addr: 0x7ef944000000 size: 549755813888 addr_range: 0x7ef944000000--7f7944000000
0000005 | T.0x00007f7cc0cec700 | 2019-06-21, 02:23:10.550563 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 158) Opened heap path: /lfs/spark_global0  size: 549755813888
0000006 | T.0x00007f7cc0fef700 | 2019-06-21, 02:23:11.440187 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 4012
0000007 | T.0x00007f7cc0fef700 | 2019-06-21, 02:23:11.440242 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 4012 ig: 0
0000008 | T.0x00007f7cc0fef700 | 2019-06-21, 02:23:11.440514 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 4012
0000009 | T.0x00007f7cc0fef700 | 2019-06-21, 02:23:11.440527 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/process_slab_heap.cc, 30) acquire_slab
0000010 | T.0x00007f7cc0fef700 | 2019-06-21, 02:23:11.440535 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/process_slab_heap.cc, 33) acquire_slab: locked
0000011 | T.0x00007f7cc0fef700 | 2019-06-21, 02:23:11.440543 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000012 | T.0x00007f7cc0fef700 | 2019-06-21, 02:23:11.443843 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.hh, 40) NVZONE: 0x7f1544000400
0000013 | T.0x00007f7cc0fef700 | 2019-06-21, 02:23:11.443857 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.hh, 41) NVZONE: ID: 14
0000014 | T.0x00007f7a4cedd700 | 2019-06-21, 02:23:11.447182 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 4012
0000015 | T.0x00007f7a4cedd700 | 2019-06-21, 02:23:11.447217 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 4012 ig: 0
0000016 | T.0x00007f7a4cedd700 | 2019-06-21, 02:23:11.447222 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 4012
0000017 | T.0x00007f7a4f4f4700 | 2019-06-21, 02:23:11.448963 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 4012
0000018 | T.0x00007f7a4f4f4700 | 2019-06-21, 02:23:11.448991 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 4012 ig: 0
0000019 | T.0x00007f7a4f4f4700 | 2019-06-21, 02:23:11.448996 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 4012
0000020 | T.0x00007f7cc0fef700 | 2019-06-21, 02:23:11.453676 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (0, 32766)
