0000001 | T.0x00007f54dfdfd700 | 2019-06-21, 02:36:33.431633 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 153) Open heap path: /lfs/spark_global0 
0000002 | T.0x00007f54dfdfd700 | 2019-06-21, 02:36:33.432334 [info] - (/home/ghosdebd/sparkle/alps/src/pegasus/lfs_region_file.cc, 64) Open LFS region file path: "/lfs/spark_global0" flags: O_RDWR
0000004 | T.0x00007f54dfdfd700 | 2019-06-21, 02:36:33.443411 [info] - (/home/ghosdebd/sparkle/alps/src/pegasus/segmap.cc, 39) map region  base_addr: 0x7ed38b8d9000 size: 549755813888 addr_range: 0x7ed38b8d9000--7f538b8d9000
0000005 | T.0x00007f54dfdfd700 | 2019-06-21, 02:36:33.443484 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 158) Opened heap path: /lfs/spark_global0  size: 549755813888
0000006 | T.0x00007f54e41f2700 | 2019-06-21, 02:36:35.300414 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 4012
0000007 | T.0x00007f54e41f2700 | 2019-06-21, 02:36:35.300508 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 4012 ig: 0
0000008 | T.0x00007f54e41f2700 | 2019-06-21, 02:36:35.300832 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 4012
0000009 | T.0x00007f54e41f2700 | 2019-06-21, 02:36:35.300855 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/process_slab_heap.cc, 30) acquire_slab
0000010 | T.0x00007f54e41f2700 | 2019-06-21, 02:36:35.300865 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/process_slab_heap.cc, 33) acquire_slab: locked
0000011 | T.0x00007f54e41f2700 | 2019-06-21, 02:36:35.300878 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000012 | T.0x00007f54e41f2700 | 2019-06-21, 02:36:35.300960 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.hh, 40) NVZONE: 0x7ed78b8d9400
0000013 | T.0x00007f54e41f2700 | 2019-06-21, 02:36:35.300982 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.hh, 41) NVZONE: ID: 2
0000014 | T.0x00007f54e41f2700 | 2019-06-21, 02:36:35.303223 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (0, 32766)
0000015 | T.0x00007f54e41f2700 | 2019-06-21, 02:36:35.303260 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone_heap.hh, 153) Acquired zone: 2
0000016 | T.0x00007f54e41f2700 | 2019-06-21, 02:36:35.303272 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.hh, 72) Enumerate zone: 2
0000017 | T.0x00007f54e41f2700 | 2019-06-21, 02:36:35.304762 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000018 | T.0x00007f54e41f2700 | 2019-06-21, 02:36:35.304795 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (1, 32765)
0000019 | T.0x00007f54e41f2700 | 2019-06-21, 02:36:35.304804 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.cc, 48) Allocated zone_id: 2 extent: (0, 1) 0x7ed78b9194c8
0000020 | T.0x00007f54e41f2700 | 2019-06-21, 02:36:35.304828 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/process_slab_heap.cc, 50) acquire_slab: unlock 2
0000021 | T.0x00007f54e41f2700 | 2019-06-21, 02:36:35.304851 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab.cc, 56) Allocate block: nvslab: (0xbeef, 0x4000404c8) block: 0
0000022 | T.0x00007f54e41f2700 | 2019-06-21, 02:36:35.304863 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab_heap.cc, 40) Allocate block: new_fullness: 0 old_fullness: 0
0000023 | T.0x00007f54e41f2700 | 2019-06-21, 02:36:35.304872 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x400040508) size: 4012
0000024 | T.0x00007f54e41f2700 | 2019-06-21, 02:36:35.319592 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 347700
0000025 | T.0x00007f54e41f2700 | 2019-06-21, 02:36:35.319646 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 347700 ig: 0
