0000001 | T.0x00007faf312f2700 | 2019-06-21, 02:46:06.293699 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 153) Open heap path: /lfs/spark_global0 
0000002 | T.0x00007faf312f2700 | 2019-06-21, 02:46:06.294055 [info] - (/home/ghosdebd/sparkle/alps/src/pegasus/lfs_region_file.cc, 64) Open LFS region file path: "/lfs/spark_global0" flags: O_RDWR
0000004 | T.0x00007faf312f2700 | 2019-06-21, 02:46:06.311493 [info] - (/home/ghosdebd/sparkle/alps/src/pegasus/segmap.cc, 39) map region  base_addr: 0x7f2de1f18000 size: 549755813888 addr_range: 0x7f2de1f18000--7fade1f18000
0000005 | T.0x00007faf312f2700 | 2019-06-21, 02:46:06.311530 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 158) Opened heap path: /lfs/spark_global0  size: 549755813888
0000006 | T.0x00007faf315f5700 | 2019-06-21, 02:46:09.092977 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 4012
0000007 | T.0x00007faf315f5700 | 2019-06-21, 02:46:09.093035 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 4012 ig: 0
0000008 | T.0x00007faf315f5700 | 2019-06-21, 02:46:09.093331 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 4012
0000009 | T.0x00007faf315f5700 | 2019-06-21, 02:46:09.093344 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/process_slab_heap.cc, 30) acquire_slab
0000010 | T.0x00007faf315f5700 | 2019-06-21, 02:46:09.093349 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/process_slab_heap.cc, 33) acquire_slab: locked
0000011 | T.0x00007faf315f5700 | 2019-06-21, 02:46:09.093355 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000012 | T.0x00007faf315f5700 | 2019-06-21, 02:46:09.093562 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.hh, 40) NVZONE: 0x7f47e1f18400
0000013 | T.0x00007faf315f5700 | 2019-06-21, 02:46:09.093574 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.hh, 41) NVZONE: ID: 13
0000014 | T.0x00007faf315f5700 | 2019-06-21, 02:46:09.095411 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (0, 32766)
0000015 | T.0x00007faf315f5700 | 2019-06-21, 02:46:09.095433 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone_heap.hh, 153) Acquired zone: 13
0000016 | T.0x00007faf315f5700 | 2019-06-21, 02:46:09.095439 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.hh, 72) Enumerate zone: 13
0000017 | T.0x00007faf315f5700 | 2019-06-21, 02:46:09.096940 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000018 | T.0x00007faf315f5700 | 2019-06-21, 02:46:09.096955 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (1, 32765)
0000019 | T.0x00007faf315f5700 | 2019-06-21, 02:46:09.096959 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.cc, 48) Allocated zone_id: 13 extent: (0, 1) 0x7f47e1f584c8
0000020 | T.0x00007faf315f5700 | 2019-06-21, 02:46:09.096973 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/process_slab_heap.cc, 50) acquire_slab: unlock 2
0000021 | T.0x00007faf315f5700 | 2019-06-21, 02:46:09.096984 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab.cc, 56) Allocate block: nvslab: (0xbeef, 0x1a000404c8) block: 0
0000022 | T.0x00007faf315f5700 | 2019-06-21, 02:46:09.096990 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab_heap.cc, 40) Allocate block: new_fullness: 0 old_fullness: 0
0000023 | T.0x00007faf315f5700 | 2019-06-21, 02:46:09.096996 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x1a00040508) size: 4012
0000024 | T.0x00007faf315f5700 | 2019-06-21, 02:46:09.105732 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 341040
