0000001 | T.0x00007efe40af9700 | 2019-06-21, 01:50:06.315062 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 153) Open heap path: /lfs/spark_global0 
0000002 | T.0x00007efe40af9700 | 2019-06-21, 01:50:06.315828 [info] - (/home/ghosdebd/sparkle/alps/src/pegasus/lfs_region_file.cc, 64) Open LFS region file path: "/lfs/spark_global0" flags: O_RDWR
0000004 | T.0x00007efe40af9700 | 2019-06-21, 01:50:06.319284 [info] - (/home/ghosdebd/sparkle/alps/src/pegasus/segmap.cc, 39) map region  base_addr: 0x7e7ccc000000 size: 549755813888 addr_range: 0x7e7ccc000000--7efccc000000
0000005 | T.0x00007efe40af9700 | 2019-06-21, 01:50:06.319312 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 158) Opened heap path: /lfs/spark_global0  size: 549755813888
0000006 | T.0x00007efe40bfa700 | 2019-06-21, 01:50:07.118965 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 4012
0000007 | T.0x00007efe40bfa700 | 2019-06-21, 01:50:07.119023 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 4012 ig: 0
0000008 | T.0x00007efe408f7700 | 2019-06-21, 01:50:07.119138 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 4012
0000009 | T.0x00007efe408f7700 | 2019-06-21, 01:50:07.119170 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 4012 ig: 0
0000010 | T.0x00007efe40bfa700 | 2019-06-21, 01:50:07.119297 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 4012
0000011 | T.0x00007efe408f7700 | 2019-06-21, 01:50:07.119299 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 4012
0000012 | T.0x00007efe40bfa700 | 2019-06-21, 01:50:07.119311 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/process_slab_heap.cc, 30) acquire_slab
0000013 | T.0x00007efe40bfa700 | 2019-06-21, 01:50:07.119316 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/process_slab_heap.cc, 33) acquire_slab: locked
0000014 | T.0x00007efe40bfa700 | 2019-06-21, 01:50:07.119321 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000015 | T.0x00007efe40bfa700 | 2019-06-21, 01:50:07.119434 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.hh, 40) NVZONE: 0x7e8acc000400
0000016 | T.0x00007efe40bfa700 | 2019-06-21, 01:50:07.119442 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.hh, 41) NVZONE: ID: 7
0000017 | T.0x00007efe40bfa700 | 2019-06-21, 01:50:07.122011 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (0, 32766)
0000018 | T.0x00007efe40bfa700 | 2019-06-21, 01:50:07.122037 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone_heap.hh, 153) Acquired zone: 7
0000019 | T.0x00007efe40bfa700 | 2019-06-21, 01:50:07.122042 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.hh, 72) Enumerate zone: 7
0000020 | T.0x00007efe407f6700 | 2019-06-21, 01:50:07.122079 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 4012
