0000001 | T.0x00007fd2fddf2700 | 2019-06-21, 02:09:41.302259 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 153) Open heap path: /lfs/spark_global0 
0000002 | T.0x00007fd2fddf2700 | 2019-06-21, 02:09:41.303312 [info] - (/home/ghosdebd/sparkle/alps/src/pegasus/lfs_region_file.cc, 64) Open LFS region file path: "/lfs/spark_global0" flags: O_RDWR
0000004 | T.0x00007fd2fddf2700 | 2019-06-21, 02:09:41.312752 [info] - (/home/ghosdebd/sparkle/alps/src/pegasus/segmap.cc, 39) map region  base_addr: 0x7f51a6921000 size: 549755813888 addr_range: 0x7f51a6921000--7fd1a6921000
0000005 | T.0x00007fd2fddf2700 | 2019-06-21, 02:09:41.312765 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 158) Opened heap path: /lfs/spark_global0  size: 549755813888
0000006 | T.0x00007fd2fdff4700 | 2019-06-21, 02:09:43.527266 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 4012
0000007 | T.0x00007fd2fe4f9700 | 2019-06-21, 02:09:43.527296 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 4012
0000008 | T.0x00007fd2fdff4700 | 2019-06-21, 02:09:43.527339 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 4012 ig: 0
0000009 | T.0x00007fd2fe4f9700 | 2019-06-21, 02:09:43.527351 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 4012 ig: 0
0000010 | T.0x00007fd2fe4f9700 | 2019-06-21, 02:09:43.527876 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 4012
0000011 | T.0x00007fd2fdff4700 | 2019-06-21, 02:09:43.527877 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 4012
0000012 | T.0x00007fd2fe4f9700 | 2019-06-21, 02:09:43.527890 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/process_slab_heap.cc, 30) acquire_slab
0000013 | T.0x00007fd2fe4f9700 | 2019-06-21, 02:09:43.527898 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/process_slab_heap.cc, 33) acquire_slab: locked
0000014 | T.0x00007fd2fe4f9700 | 2019-06-21, 02:09:43.527903 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000015 | T.0x00007fd2fe4f9700 | 2019-06-21, 02:09:43.528353 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.hh, 40) NVZONE: 0x7faba6921400
0000016 | T.0x00007fd2fe4f9700 | 2019-06-21, 02:09:43.528366 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.hh, 41) NVZONE: ID: 45
