0000001 | T.0x00007fc7e8acf700 | 2019-06-21, 02:16:20.726046 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 153) Open heap path: /lfs/spark_global0 
0000002 | T.0x00007fc7e8acf700 | 2019-06-21, 02:16:20.726774 [info] - (/home/ghosdebd/sparkle/alps/src/pegasus/lfs_region_file.cc, 64) Open LFS region file path: "/lfs/spark_global0" flags: O_RDWR
0000004 | T.0x00007fc7e8acf700 | 2019-06-21, 02:16:20.746987 [info] - (/home/ghosdebd/sparkle/alps/src/pegasus/segmap.cc, 39) map region  base_addr: 0x7f449e130000 size: 549755813888 addr_range: 0x7f449e130000--7fc49e130000
0000005 | T.0x00007fc7e8acf700 | 2019-06-21, 02:16:20.747037 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 158) Opened heap path: /lfs/spark_global0  size: 549755813888
0000006 | T.0x00007fc7ea5ea700 | 2019-06-21, 02:16:22.604476 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 4012
0000007 | T.0x00007fc7ea5ea700 | 2019-06-21, 02:16:22.604577 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 4012 ig: 0
0000008 | T.0x00007fc7ea5ea700 | 2019-06-21, 02:16:22.604853 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 4012
0000009 | T.0x00007fc7ea5ea700 | 2019-06-21, 02:16:22.604867 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/process_slab_heap.cc, 30) acquire_slab
0000010 | T.0x00007fc7ea5ea700 | 2019-06-21, 02:16:22.604872 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/process_slab_heap.cc, 33) acquire_slab: locked
0000011 | T.0x00007fc7ea5ea700 | 2019-06-21, 02:16:22.604878 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000012 | T.0x00007fc7ea5ea700 | 2019-06-21, 02:16:22.605171 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.hh, 40) NVZONE: 0x7f6e9e130400
0000013 | T.0x00007fc7ea5ea700 | 2019-06-21, 02:16:22.605183 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.hh, 41) NVZONE: ID: 21
0000014 | T.0x00007fc7ea5ea700 | 2019-06-21, 02:16:22.607901 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (0, 32766)
0000015 | T.0x00007fc7ea5ea700 | 2019-06-21, 02:16:22.607923 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone_heap.hh, 153) Acquired zone: 21
0000016 | T.0x00007fc7ea5ea700 | 2019-06-21, 02:16:22.607929 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.hh, 72) Enumerate zone: 21
0000017 | T.0x00007fc7ea5ea700 | 2019-06-21, 02:16:22.609475 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000018 | T.0x00007fc7ea5ea700 | 2019-06-21, 02:16:22.609489 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (1, 32765)
0000019 | T.0x00007fc7ea5ea700 | 2019-06-21, 02:16:22.609493 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.cc, 48) Allocated zone_id: 21 extent: (0, 1) 0x7f6e9e1704c8
0000020 | T.0x00007fc7ea5ea700 | 2019-06-21, 02:16:22.609514 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/process_slab_heap.cc, 50) acquire_slab: unlock 2
0000021 | T.0x00007fc7ea5ea700 | 2019-06-21, 02:16:22.609527 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab.cc, 56) Allocate block: nvslab: (0xbeef, 0x2a000404c8) block: 0
0000022 | T.0x00007fc7ea5ea700 | 2019-06-21, 02:16:22.609534 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab_heap.cc, 40) Allocate block: new_fullness: 0 old_fullness: 0
0000023 | T.0x00007fc7ea5ea700 | 2019-06-21, 02:16:22.609543 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x2a00040508) size: 4012
0000024 | T.0x00007fc7ea5ea700 | 2019-06-21, 02:16:22.618304 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 302700
0000025 | T.0x00007fc7ea5ea700 | 2019-06-21, 02:16:22.618366 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 302700 ig: 0
0000026 | T.0x00007fc7ea5ea700 | 2019-06-21, 02:16:22.618374 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 302700
0000027 | T.0x00007fc7ea5ea700 | 2019-06-21, 02:16:22.618396 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000028 | T.0x00007fc7ea5ea700 | 2019-06-21, 02:16:22.618407 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (3, 32763)
0000029 | T.0x00007fc7ea5ea700 | 2019-06-21, 02:16:22.618419 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.cc, 48) Allocated zone_id: 21 extent: (1, 2) 0x7f6e9e1b04c8
0000030 | T.0x00007fc7ea5ea700 | 2019-06-21, 02:16:22.618428 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x2a000804c8) size: 302700
0000031 | T.0x00007fc7ea5ea700 | 2019-06-21, 02:16:22.618436 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 302460
0000032 | T.0x00007fc7ea5ea700 | 2019-06-21, 02:16:22.618441 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 302460 ig: 0
0000033 | T.0x00007fc7ea5ea700 | 2019-06-21, 02:16:22.618444 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 302460
0000034 | T.0x00007fc7ea5ea700 | 2019-06-21, 02:16:22.618447 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000035 | T.0x00007fc7ea5ea700 | 2019-06-21, 02:16:22.618451 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (5, 32761)
0000036 | T.0x00007fc7ea5ea700 | 2019-06-21, 02:16:22.618454 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.cc, 48) Allocated zone_id: 21 extent: (3, 2) 0x7f6e9e2304c8
0000037 | T.0x00007fc7ea5ea700 | 2019-06-21, 02:16:22.618457 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x2a001004c8) size: 302460
0000038 | T.0x00007fc7ea5ea700 | 2019-06-21, 02:16:22.618461 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 296700
0000039 | T.0x00007fc7ea5ea700 | 2019-06-21, 02:16:22.618465 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 296700 ig: 0
0000040 | T.0x00007fc7ea5ea700 | 2019-06-21, 02:16:22.618468 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 296700
0000041 | T.0x00007fc7ea5ea700 | 2019-06-21, 02:16:22.618471 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000042 | T.0x00007fc7ea5ea700 | 2019-06-21, 02:16:22.618475 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (7, 32759)
0000043 | T.0x00007fc7ea5ea700 | 2019-06-21, 02:16:22.618478 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.cc, 48) Allocated zone_id: 21 extent: (5, 2) 0x7f6e9e2b04c8
0000044 | T.0x00007fc7ea5ea700 | 2019-06-21, 02:16:22.618481 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x2a001804c8) size: 296700
0000045 | T.0x00007fc7ea5ea700 | 2019-06-21, 02:16:22.618485 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 298320
