0000001 | T.0x00007f5fba9fa700 | 2019-06-21, 02:19:48.889026 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 153) Open heap path: /lfs/spark_global0 
0000002 | T.0x00007f5fba9fa700 | 2019-06-21, 02:19:48.889740 [info] - (/home/ghosdebd/sparkle/alps/src/pegasus/lfs_region_file.cc, 64) Open LFS region file path: "/lfs/spark_global0" flags: O_RDWR
0000004 | T.0x00007f5fba9fa700 | 2019-06-21, 02:19:48.910933 [info] - (/home/ghosdebd/sparkle/alps/src/pegasus/segmap.cc, 39) map region  base_addr: 0x7edf84000000 size: 549755813888 addr_range: 0x7edf84000000--7f5f84000000
0000005 | T.0x00007f5fba9fa700 | 2019-06-21, 02:19:48.911013 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 158) Opened heap path: /lfs/spark_global0  size: 549755813888
0000006 | T.0x00007f5fba9fa700 | 2019-06-21, 02:19:49.263208 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 412
0000007 | T.0x00007f5fba9fa700 | 2019-06-21, 02:19:49.263241 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 412 ig: 0
0000008 | T.0x00007f5fba9fa700 | 2019-06-21, 02:19:49.263336 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 412
0000009 | T.0x00007f5fba9fa700 | 2019-06-21, 02:19:49.263347 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/process_slab_heap.cc, 30) acquire_slab
0000010 | T.0x00007f5fba9fa700 | 2019-06-21, 02:19:49.263352 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/process_slab_heap.cc, 33) acquire_slab: locked
0000011 | T.0x00007f5fba9fa700 | 2019-06-21, 02:19:49.263357 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000012 | T.0x00007f5fba9fa700 | 2019-06-21, 02:19:49.263432 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.hh, 40) NVZONE: 0x7ef184000400
0000013 | T.0x00007f5fba9fa700 | 2019-06-21, 02:19:49.263440 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.hh, 41) NVZONE: ID: 9
0000014 | T.0x00007f5fba9fa700 | 2019-06-21, 02:19:49.265237 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (0, 32766)
0000015 | T.0x00007f5fba9fa700 | 2019-06-21, 02:19:49.265250 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone_heap.hh, 153) Acquired zone: 9
0000016 | T.0x00007f5fba9fa700 | 2019-06-21, 02:19:49.265254 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.hh, 72) Enumerate zone: 9
