0000001 | T.0x00007f205e7fa700 | 2019-06-21, 02:20:33.967125 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 153) Open heap path: /lfs/spark_global0 
0000002 | T.0x00007f205e7fa700 | 2019-06-21, 02:20:33.968377 [info] - (/home/ghosdebd/sparkle/alps/src/pegasus/lfs_region_file.cc, 64) Open LFS region file path: "/lfs/spark_global0" flags: O_RDWR
0000004 | T.0x00007f205e7fa700 | 2019-06-21, 02:20:33.979595 [info] - (/home/ghosdebd/sparkle/alps/src/pegasus/segmap.cc, 39) map region  base_addr: 0x7ea028000000 size: 549755813888 addr_range: 0x7ea028000000--7f2028000000
0000005 | T.0x00007f205e7fa700 | 2019-06-21, 02:20:33.979648 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 158) Opened heap path: /lfs/spark_global0  size: 549755813888
0000006 | T.0x00007f205e7fa700 | 2019-06-21, 02:20:34.327108 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 412
0000008 | T.0x00007f205e7fa700 | 2019-06-21, 02:20:34.327139 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 412 ig: 0
0000007 | T.0x00007f203d8ed700 | 2019-06-21, 02:20:34.327115 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 412
0000009 | T.0x00007f203d8ed700 | 2019-06-21, 02:20:34.327155 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 412 ig: 0
0000010 | T.0x00007f205e7fa700 | 2019-06-21, 02:20:34.327484 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 412
0000012 | T.0x00007f205e7fa700 | 2019-06-21, 02:20:34.327498 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/process_slab_heap.cc, 30) acquire_slab
0000011 | T.0x00007f203d8ed700 | 2019-06-21, 02:20:34.327493 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 412
0000013 | T.0x00007f205e7fa700 | 2019-06-21, 02:20:34.327503 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/process_slab_heap.cc, 33) acquire_slab: locked
0000014 | T.0x00007f205e7fa700 | 2019-06-21, 02:20:34.327520 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000015 | T.0x00007f205e7fa700 | 2019-06-21, 02:20:34.327768 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.hh, 40) NVZONE: 0x7ef428000400
0000016 | T.0x00007f205e7fa700 | 2019-06-21, 02:20:34.327776 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.hh, 41) NVZONE: ID: 42
0000017 | T.0x00007f205e7fa700 | 2019-06-21, 02:20:34.329434 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (0, 32766)
0000018 | T.0x00007f205e7fa700 | 2019-06-21, 02:20:34.329454 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone_heap.hh, 153) Acquired zone: 42
0000019 | T.0x00007f205e7fa700 | 2019-06-21, 02:20:34.329459 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.hh, 72) Enumerate zone: 42
0000020 | T.0x00007f205e7fa700 | 2019-06-21, 02:20:34.331093 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000021 | T.0x00007f205e7fa700 | 2019-06-21, 02:20:34.331139 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (1, 32765)
0000022 | T.0x00007f205e7fa700 | 2019-06-21, 02:20:34.331148 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.cc, 48) Allocated zone_id: 42 extent: (0, 1) 0x7ef4280404c8
0000023 | T.0x00007f205e7fa700 | 2019-06-21, 02:20:34.331196 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/process_slab_heap.cc, 50) acquire_slab: unlock 2
0000024 | T.0x00007f205e7fa700 | 2019-06-21, 02:20:34.331210 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab.cc, 56) Allocate block: nvslab: (0xbeef, 0x54000404c8) block: 0
0000025 | T.0x00007f205e7fa700 | 2019-06-21, 02:20:34.331217 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab_heap.cc, 40) Allocate block: new_fullness: 0 old_fullness: 0
0000026 | T.0x00007f205e7fa700 | 2019-06-21, 02:20:34.331229 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x5400040548) size: 412
0000027 | T.0x00007f203d8ed700 | 2019-06-21, 02:20:34.331246 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab.cc, 56) Allocate block: nvslab: (0xbeef, 0x54000404c8) block: 1
0000028 | T.0x00007f205e7fa700 | 2019-06-21, 02:20:34.331265 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 60
0000029 | T.0x00007f203d8ed700 | 2019-06-21, 02:20:34.331277 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab_heap.cc, 40) Allocate block: new_fullness: 0 old_fullness: 0
0000030 | T.0x00007f205e7fa700 | 2019-06-21, 02:20:34.331282 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 60 ig: 0
0000031 | T.0x00007f203d8ed700 | 2019-06-21, 02:20:34.331293 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x54000406e8) size: 412
0000032 | T.0x00007f205e7fa700 | 2019-06-21, 02:20:34.331296 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 60
0000033 | T.0x00007f205e7fa700 | 2019-06-21, 02:20:34.331315 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/process_slab_heap.cc, 30) acquire_slab
0000034 | T.0x00007f203d8ed700 | 2019-06-21, 02:20:34.331320 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 30
0000035 | T.0x00007f205e7fa700 | 2019-06-21, 02:20:34.331321 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/process_slab_heap.cc, 33) acquire_slab: locked
0000036 | T.0x00007f203d8ed700 | 2019-06-21, 02:20:34.331330 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 30 ig: 0
0000037 | T.0x00007f205e7fa700 | 2019-06-21, 02:20:34.331338 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000038 | T.0x00007f203d8ed700 | 2019-06-21, 02:20:34.331345 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 30
0000039 | T.0x00007f205e7fa700 | 2019-06-21, 02:20:34.331352 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (2, 32764)
0000040 | T.0x00007f205e7fa700 | 2019-06-21, 02:20:34.331366 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.cc, 48) Allocated zone_id: 42 extent: (1, 1) 0x7ef4280804c8
0000041 | T.0x00007f205e7fa700 | 2019-06-21, 02:20:34.331558 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/process_slab_heap.cc, 50) acquire_slab: unlock 2
0000042 | T.0x00007f205e7fa700 | 2019-06-21, 02:20:34.331563 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab.cc, 56) Allocate block: nvslab: (0xbeef, 0x54000804c8) block: 0
0000043 | T.0x00007f205e7fa700 | 2019-06-21, 02:20:34.331567 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab_heap.cc, 40) Allocate block: new_fullness: 0 old_fullness: 0
0000044 | T.0x00007f205e7fa700 | 2019-06-21, 02:20:34.331573 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x5400080708) size: 60
0000045 | T.0x00007f205e7fa700 | 2019-06-21, 02:20:34.331578 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 30
0000046 | T.0x00007f205e7fa700 | 2019-06-21, 02:20:34.331581 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 30 ig: 0
0000048 | T.0x00007f205e7fa700 | 2019-06-21, 02:20:34.331585 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 30
0000047 | T.0x00007f203d8ed700 | 2019-06-21, 02:20:34.331583 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/process_slab_heap.cc, 30) acquire_slab
0000049 | T.0x00007f203d8ed700 | 2019-06-21, 02:20:34.331603 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/process_slab_heap.cc, 33) acquire_slab: locked
0000050 | T.0x00007f203d8ed700 | 2019-06-21, 02:20:34.331615 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
