0000001 | T.0x00007ff5d94f6700 | 2019-06-21, 02:36:33.442975 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 153) Open heap path: /lfs/spark_global0 
0000002 | T.0x00007ff5d94f6700 | 2019-06-21, 02:36:33.443394 [info] - (/home/ghosdebd/sparkle/alps/src/pegasus/lfs_region_file.cc, 64) Open LFS region file path: "/lfs/spark_global0" flags: O_RDWR
0000004 | T.0x00007ff5d94f6700 | 2019-06-21, 02:36:33.450188 [info] - (/home/ghosdebd/sparkle/alps/src/pegasus/segmap.cc, 39) map region  base_addr: 0x7f746c000000 size: 549755813888 addr_range: 0x7f746c000000--7ff46c000000
0000005 | T.0x00007ff5d94f6700 | 2019-06-21, 02:36:33.450221 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 158) Opened heap path: /lfs/spark_global0  size: 549755813888
0000006 | T.0x00007ff5d93f5700 | 2019-06-21, 02:36:35.715438 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 4012
0000007 | T.0x00007ff5d93f5700 | 2019-06-21, 02:36:35.715499 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 4012 ig: 0
0000008 | T.0x00007ff5d93f5700 | 2019-06-21, 02:36:35.715763 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 4012
0000009 | T.0x00007ff5d93f5700 | 2019-06-21, 02:36:35.715776 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/process_slab_heap.cc, 30) acquire_slab
0000010 | T.0x00007ff5d93f5700 | 2019-06-21, 02:36:35.715782 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/process_slab_heap.cc, 33) acquire_slab: locked
0000011 | T.0x00007ff5d93f5700 | 2019-06-21, 02:36:35.715788 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000012 | T.0x00007ff5d93f5700 | 2019-06-21, 02:36:35.716260 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.hh, 40) NVZONE: 0x7f8c6c000400
0000013 | T.0x00007ff5d93f5700 | 2019-06-21, 02:36:35.716274 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.hh, 41) NVZONE: ID: 12
0000014 | T.0x00007ff5d93f5700 | 2019-06-21, 02:36:35.727884 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (0, 32766)
0000015 | T.0x00007ff5d93f5700 | 2019-06-21, 02:36:35.727909 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone_heap.hh, 153) Acquired zone: 12
0000016 | T.0x00007ff5d93f5700 | 2019-06-21, 02:36:35.727915 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.hh, 72) Enumerate zone: 12
0000017 | T.0x00007ff5d93f5700 | 2019-06-21, 02:36:35.729424 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000018 | T.0x00007ff5d93f5700 | 2019-06-21, 02:36:35.729437 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (1, 32765)
0000019 | T.0x00007ff5d93f5700 | 2019-06-21, 02:36:35.729441 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.cc, 48) Allocated zone_id: 12 extent: (0, 1) 0x7f8c6c0404c8
0000020 | T.0x00007ff5d93f5700 | 2019-06-21, 02:36:35.729457 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/process_slab_heap.cc, 50) acquire_slab: unlock 2
0000021 | T.0x00007ff5d93f5700 | 2019-06-21, 02:36:35.729469 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab.cc, 56) Allocate block: nvslab: (0xbeef, 0x18000404c8) block: 0
0000022 | T.0x00007ff5d93f5700 | 2019-06-21, 02:36:35.729476 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab_heap.cc, 40) Allocate block: new_fullness: 0 old_fullness: 0
