0000001 | T.0x00007f56499f9700 | 2019-06-21, 02:46:06.286322 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 153) Open heap path: /lfs/spark_global0 
0000002 | T.0x00007f56499f9700 | 2019-06-21, 02:46:06.286769 [info] - (/home/ghosdebd/sparkle/alps/src/pegasus/lfs_region_file.cc, 64) Open LFS region file path: "/lfs/spark_global0" flags: O_RDWR
0000004 | T.0x00007f56499f9700 | 2019-06-21, 02:46:06.308753 [info] - (/home/ghosdebd/sparkle/alps/src/pegasus/segmap.cc, 39) map region  base_addr: 0x7ed4fa4a7000 size: 549755813888 addr_range: 0x7ed4fa4a7000--7f54fa4a7000
0000005 | T.0x00007f56499f9700 | 2019-06-21, 02:46:06.308802 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 158) Opened heap path: /lfs/spark_global0  size: 549755813888
0000006 | T.0x00007f5649afa700 | 2019-06-21, 02:46:09.057594 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 4012
0000007 | T.0x00007f5649afa700 | 2019-06-21, 02:46:09.057654 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 4012 ig: 0
0000008 | T.0x00007f5649afa700 | 2019-06-21, 02:46:09.057947 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 4012
0000009 | T.0x00007f5649afa700 | 2019-06-21, 02:46:09.057965 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/process_slab_heap.cc, 30) acquire_slab
0000010 | T.0x00007f5649afa700 | 2019-06-21, 02:46:09.057973 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/process_slab_heap.cc, 33) acquire_slab: locked
0000011 | T.0x00007f5649afa700 | 2019-06-21, 02:46:09.057983 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000012 | T.0x00007f5649dfd700 | 2019-06-21, 02:46:09.058118 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 4012
0000013 | T.0x00007f5649afa700 | 2019-06-21, 02:46:09.058152 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.hh, 40) NVZONE: 0x7eecfa4a7400
0000014 | T.0x00007f5649dfd700 | 2019-06-21, 02:46:09.058184 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 4012 ig: 0
0000015 | T.0x00007f5649afa700 | 2019-06-21, 02:46:09.058197 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.hh, 41) NVZONE: ID: 12
0000016 | T.0x00007f5649dfd700 | 2019-06-21, 02:46:09.058212 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 4012
0000017 | T.0x00007f56498f8700 | 2019-06-21, 02:46:09.059233 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 4012
0000018 | T.0x00007f56498f8700 | 2019-06-21, 02:46:09.059277 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 4012 ig: 0
0000019 | T.0x00007f56498f8700 | 2019-06-21, 02:46:09.059284 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 4012
0000020 | T.0x00007f5649afa700 | 2019-06-21, 02:46:09.060026 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (0, 32766)
0000021 | T.0x00007f5649afa700 | 2019-06-21, 02:46:09.060053 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone_heap.hh, 153) Acquired zone: 12
0000022 | T.0x00007f5649afa700 | 2019-06-21, 02:46:09.060064 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.hh, 72) Enumerate zone: 12
0000023 | T.0x00007f5649afa700 | 2019-06-21, 02:46:09.061579 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000024 | T.0x00007f5649afa700 | 2019-06-21, 02:46:09.061599 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (1, 32765)
0000025 | T.0x00007f5649afa700 | 2019-06-21, 02:46:09.061606 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.cc, 48) Allocated zone_id: 12 extent: (0, 1) 0x7eecfa4e74c8
0000026 | T.0x00007f5649afa700 | 2019-06-21, 02:46:09.061621 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/process_slab_heap.cc, 50) acquire_slab: unlock 2
0000027 | T.0x00007f5649afa700 | 2019-06-21, 02:46:09.061639 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab.cc, 56) Allocate block: nvslab: (0xbeef, 0x18000404c8) block: 0
0000028 | T.0x00007f5649afa700 | 2019-06-21, 02:46:09.061645 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab_heap.cc, 40) Allocate block: new_fullness: 0 old_fullness: 0
0000029 | T.0x00007f5649afa700 | 2019-06-21, 02:46:09.061657 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x1800040508) size: 4012
0000030 | T.0x00007f5649dfd700 | 2019-06-21, 02:46:09.061685 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab.cc, 56) Allocate block: nvslab: (0xbeef, 0x18000404c8) block: 1
0000031 | T.0x00007f5649dfd700 | 2019-06-21, 02:46:09.061726 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab_heap.cc, 40) Allocate block: new_fullness: 0 old_fullness: 0
0000032 | T.0x00007f5649dfd700 | 2019-06-21, 02:46:09.061742 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x1800041508) size: 4012
0000033 | T.0x00007f56498f8700 | 2019-06-21, 02:46:09.061755 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab.cc, 56) Allocate block: nvslab: (0xbeef, 0x18000404c8) block: 2
0000034 | T.0x00007f56498f8700 | 2019-06-21, 02:46:09.061784 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab_heap.cc, 40) Allocate block: new_fullness: 0 old_fullness: 0
0000035 | T.0x00007f56498f8700 | 2019-06-21, 02:46:09.061797 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x1800042508) size: 4012
0000036 | T.0x00007f5649afa700 | 2019-06-21, 02:46:09.070170 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 345030
0000037 | T.0x00007f5649afa700 | 2019-06-21, 02:46:09.070206 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 345030 ig: 0
0000038 | T.0x00007f5649afa700 | 2019-06-21, 02:46:09.070212 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 345030
0000039 | T.0x00007f5649afa700 | 2019-06-21, 02:46:09.070221 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000040 | T.0x00007f5649afa700 | 2019-06-21, 02:46:09.070230 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (3, 32763)
0000041 | T.0x00007f5649afa700 | 2019-06-21, 02:46:09.070242 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.cc, 48) Allocated zone_id: 12 extent: (1, 2) 0x7eecfa5274c8
0000042 | T.0x00007f5649afa700 | 2019-06-21, 02:46:09.070248 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x18000804c8) size: 345030
0000043 | T.0x00007f5649afa700 | 2019-06-21, 02:46:09.070257 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 271290
0000044 | T.0x00007f5649afa700 | 2019-06-21, 02:46:09.070261 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 271290 ig: 0
