0000001 | T.0x00007f04bebfc700 | 2019-06-21, 01:50:05.089653 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 153) Open heap path: /lfs/spark_global0 
0000002 | T.0x00007f04bebfc700 | 2019-06-21, 01:50:05.090879 [info] - (/home/ghosdebd/sparkle/alps/src/pegasus/lfs_region_file.cc, 64) Open LFS region file path: "/lfs/spark_global0" flags: O_RDWR
0000004 | T.0x00007f04bebfc700 | 2019-06-21, 01:50:05.100443 [info] - (/home/ghosdebd/sparkle/alps/src/pegasus/segmap.cc, 39) map region  base_addr: 0x7e837b6e4000 size: 549755813888 addr_range: 0x7e837b6e4000--7f037b6e4000
0000005 | T.0x00007f04bebfc700 | 2019-06-21, 01:50:05.100527 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 158) Opened heap path: /lfs/spark_global0  size: 549755813888
0000006 | T.0x00007f04be8f9700 | 2019-06-21, 01:50:06.926252 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 4012
0000007 | T.0x00007f04be8f9700 | 2019-06-21, 01:50:06.926318 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 4012 ig: 0
0000008 | T.0x00007f04be8f9700 | 2019-06-21, 01:50:06.926459 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 4012
0000009 | T.0x00007f04be8f9700 | 2019-06-21, 01:50:06.926480 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/process_slab_heap.cc, 30) acquire_slab
0000010 | T.0x00007f04be8f9700 | 2019-06-21, 01:50:06.926486 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/process_slab_heap.cc, 33) acquire_slab: locked
0000011 | T.0x00007f04be8f9700 | 2019-06-21, 01:50:06.926492 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000012 | T.0x00007f04be8f9700 | 2019-06-21, 01:50:06.926543 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.hh, 40) NVZONE: 0x7e857b6e4400
