0000001 | T.0x00007fd0291f1700 | 2019-06-21, 02:09:41.312174 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 153) Open heap path: /lfs/spark_global0 
0000002 | T.0x00007fd0291f1700 | 2019-06-21, 02:09:41.312585 [info] - (/home/ghosdebd/sparkle/alps/src/pegasus/lfs_region_file.cc, 64) Open LFS region file path: "/lfs/spark_global0" flags: O_RDWR
0000004 | T.0x00007fd0291f1700 | 2019-06-21, 02:09:41.315766 [info] - (/home/ghosdebd/sparkle/alps/src/pegasus/segmap.cc, 39) map region  base_addr: 0x7f4ecc000000 size: 549755813888 addr_range: 0x7f4ecc000000--7fcecc000000
0000005 | T.0x00007fd0291f1700 | 2019-06-21, 02:09:41.315784 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 158) Opened heap path: /lfs/spark_global0  size: 549755813888
0000006 | T.0x00007fd029bfb700 | 2019-06-21, 02:09:43.528351 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 4012
0000007 | T.0x00007fd029bfb700 | 2019-06-21, 02:09:43.528411 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 4012 ig: 0
0000008 | T.0x00007fd029bfb700 | 2019-06-21, 02:09:43.528751 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 4012
0000009 | T.0x00007fd029bfb700 | 2019-06-21, 02:09:43.528768 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/process_slab_heap.cc, 30) acquire_slab
0000010 | T.0x00007fd029bfb700 | 2019-06-21, 02:09:43.528775 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/process_slab_heap.cc, 33) acquire_slab: locked
0000011 | T.0x00007fd029bfb700 | 2019-06-21, 02:09:43.528782 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000012 | T.0x00007fd029bfb700 | 2019-06-21, 02:09:43.529210 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.hh, 40) NVZONE: 0x7faacc000400
0000013 | T.0x00007fd029bfb700 | 2019-06-21, 02:09:43.529232 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.hh, 41) NVZONE: ID: 46
0000014 | T.0x00007fd029bfb700 | 2019-06-21, 02:09:43.531522 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (0, 32766)
0000015 | T.0x00007fd029bfb700 | 2019-06-21, 02:09:43.531575 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone_heap.hh, 153) Acquired zone: 46
0000016 | T.0x00007fd029bfb700 | 2019-06-21, 02:09:43.531605 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.hh, 72) Enumerate zone: 46
0000017 | T.0x00007fd029bfb700 | 2019-06-21, 02:09:43.533574 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
