0000001 | T.0x00007fbf48ff3700 | 2019-06-21, 02:15:04.685648 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 153) Open heap path: /lfs/spark_global0 
0000002 | T.0x00007fbf48ff3700 | 2019-06-21, 02:15:04.686573 [info] - (/home/ghosdebd/sparkle/alps/src/pegasus/lfs_region_file.cc, 64) Open LFS region file path: "/lfs/spark_global0" flags: O_RDWR
0000004 | T.0x00007fbf48ff3700 | 2019-06-21, 02:15:04.696714 [info] - (/home/ghosdebd/sparkle/alps/src/pegasus/segmap.cc, 39) map region  base_addr: 0x7f3dec000000 size: 549755813888 addr_range: 0x7f3dec000000--7fbdec000000
0000005 | T.0x00007fbf48ff3700 | 2019-06-21, 02:15:04.696862 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 158) Opened heap path: /lfs/spark_global0  size: 549755813888
0000006 | T.0x00007fbf48df1700 | 2019-06-21, 02:15:07.483067 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 4012
0000007 | T.0x00007fbf48df1700 | 2019-06-21, 02:15:07.483169 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 4012 ig: 0
0000008 | T.0x00007fbf48df1700 | 2019-06-21, 02:15:07.483923 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 4012
0000009 | T.0x00007fbf48df1700 | 2019-06-21, 02:15:07.483947 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/process_slab_heap.cc, 30) acquire_slab
0000010 | T.0x00007fbf48df1700 | 2019-06-21, 02:15:07.483954 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/process_slab_heap.cc, 33) acquire_slab: locked
0000011 | T.0x00007fbf48df1700 | 2019-06-21, 02:15:07.483962 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000012 | T.0x00007fbf48df1700 | 2019-06-21, 02:15:07.484332 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.hh, 40) NVZONE: 0x7f5dec000400
0000013 | T.0x00007fbf48df1700 | 2019-06-21, 02:15:07.484349 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.hh, 41) NVZONE: ID: 16
0000014 | T.0x00007fbf48df1700 | 2019-06-21, 02:15:07.487907 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (0, 32766)
0000015 | T.0x00007fbf48df1700 | 2019-06-21, 02:15:07.487933 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone_heap.hh, 153) Acquired zone: 16
0000016 | T.0x00007fbf48df1700 | 2019-06-21, 02:15:07.487940 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.hh, 72) Enumerate zone: 16
0000017 | T.0x00007fbf48bef700 | 2019-06-21, 02:15:07.488713 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 4012
0000018 | T.0x00007fbf48bef700 | 2019-06-21, 02:15:07.488865 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 4012 ig: 0
0000019 | T.0x00007fbf48bef700 | 2019-06-21, 02:15:07.488874 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 4012
