0000001 | T.0x00007fef643e9700 | 2019-06-21, 02:17:18.332524 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 153) Open heap path: /lfs/spark_global0 
0000002 | T.0x00007fef643e9700 | 2019-06-21, 02:17:18.333025 [info] - (/home/ghosdebd/sparkle/alps/src/pegasus/lfs_region_file.cc, 64) Open LFS region file path: "/lfs/spark_global0" flags: O_RDWR
0000004 | T.0x00007fef643e9700 | 2019-06-21, 02:17:18.339598 [info] - (/home/ghosdebd/sparkle/alps/src/pegasus/segmap.cc, 39) map region  base_addr: 0x7f6e08000000 size: 549755813888 addr_range: 0x7f6e08000000--7fee08000000
0000005 | T.0x00007fef643e9700 | 2019-06-21, 02:17:18.339627 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 158) Opened heap path: /lfs/spark_global0  size: 549755813888
0000006 | T.0x00007fef5effe700 | 2019-06-21, 02:17:20.968362 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 4012
0000007 | T.0x00007fef5effe700 | 2019-06-21, 02:17:20.968451 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 4012 ig: 0
0000008 | T.0x00007fef5effe700 | 2019-06-21, 02:17:20.968796 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 4012
0000009 | T.0x00007fef5effe700 | 2019-06-21, 02:17:20.968811 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/process_slab_heap.cc, 30) acquire_slab
0000010 | T.0x00007fef5effe700 | 2019-06-21, 02:17:20.968816 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/process_slab_heap.cc, 33) acquire_slab: locked
0000011 | T.0x00007fef5effe700 | 2019-06-21, 02:17:20.968823 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000012 | T.0x00007fef5effe700 | 2019-06-21, 02:17:20.973080 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.hh, 40) NVZONE: 0x7fdc08000400
0000013 | T.0x00007fef5effe700 | 2019-06-21, 02:17:20.973096 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.hh, 41) NVZONE: ID: 55
0000014 | T.0x00007fef5effe700 | 2019-06-21, 02:17:20.981763 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (0, 32766)
0000015 | T.0x00007fef5effe700 | 2019-06-21, 02:17:20.981803 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone_heap.hh, 153) Acquired zone: 55
0000016 | T.0x00007fef5effe700 | 2019-06-21, 02:17:20.981809 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.hh, 72) Enumerate zone: 55
0000017 | T.0x00007fef5effe700 | 2019-06-21, 02:17:20.983317 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000018 | T.0x00007fef5effe700 | 2019-06-21, 02:17:20.983332 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (1, 32765)
0000019 | T.0x00007fef5effe700 | 2019-06-21, 02:17:20.983337 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.cc, 48) Allocated zone_id: 55 extent: (0, 1) 0x7fdc080404c8
0000020 | T.0x00007fef5effe700 | 2019-06-21, 02:17:20.983353 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/process_slab_heap.cc, 50) acquire_slab: unlock 2
0000021 | T.0x00007fef5effe700 | 2019-06-21, 02:17:20.983367 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab.cc, 56) Allocate block: nvslab: (0xbeef, 0x6e000404c8) block: 0
0000022 | T.0x00007fef5effe700 | 2019-06-21, 02:17:20.983375 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab_heap.cc, 40) Allocate block: new_fullness: 0 old_fullness: 0
0000023 | T.0x00007fef5effe700 | 2019-06-21, 02:17:20.983381 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x6e00040508) size: 4012
0000024 | T.0x00007fef5effe700 | 2019-06-21, 02:17:20.992169 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 303900
0000025 | T.0x00007fef5effe700 | 2019-06-21, 02:17:20.992191 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 303900 ig: 0
0000026 | T.0x00007fef5effe700 | 2019-06-21, 02:17:20.992197 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 303900
0000027 | T.0x00007fef5effe700 | 2019-06-21, 02:17:20.992211 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000028 | T.0x00007fef5effe700 | 2019-06-21, 02:17:20.992220 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (3, 32763)
0000029 | T.0x00007fef5effe700 | 2019-06-21, 02:17:20.992226 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.cc, 48) Allocated zone_id: 55 extent: (1, 2) 0x7fdc080804c8
0000030 | T.0x00007fef5effe700 | 2019-06-21, 02:17:20.992232 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x6e000804c8) size: 303900
0000031 | T.0x00007fef5effe700 | 2019-06-21, 02:17:20.992238 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 300300
0000032 | T.0x00007fef5effe700 | 2019-06-21, 02:17:20.992242 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 300300 ig: 0
