0000001 | T.0x00007f4c64bfa700 | 2019-06-21, 02:20:16.381554 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 153) Open heap path: /lfs/spark_global0 
0000002 | T.0x00007f4c64bfa700 | 2019-06-21, 02:20:16.382435 [info] - (/home/ghosdebd/sparkle/alps/src/pegasus/lfs_region_file.cc, 64) Open LFS region file path: "/lfs/spark_global0" flags: O_RDWR
0000004 | T.0x00007f4c64bfa700 | 2019-06-21, 02:20:16.396070 [info] - (/home/ghosdebd/sparkle/alps/src/pegasus/segmap.cc, 39) map region  base_addr: 0x7ecb08000000 size: 549755813888 addr_range: 0x7ecb08000000--7f4b08000000
0000005 | T.0x00007f4c64bfa700 | 2019-06-21, 02:20:16.396115 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 158) Opened heap path: /lfs/spark_global0  size: 549755813888
0000006 | T.0x00007f4c5cbfa700 | 2019-06-21, 02:20:16.736014 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 412
0000007 | T.0x00007f4c5cbfa700 | 2019-06-21, 02:20:16.736085 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 412 ig: 0
0000008 | T.0x00007f4c5cbfa700 | 2019-06-21, 02:20:16.736394 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 412
0000009 | T.0x00007f4c5cbfa700 | 2019-06-21, 02:20:16.736425 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/process_slab_heap.cc, 30) acquire_slab
0000010 | T.0x00007f4c5cbfa700 | 2019-06-21, 02:20:16.736431 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/process_slab_heap.cc, 33) acquire_slab: locked
0000011 | T.0x00007f4c5cbfa700 | 2019-06-21, 02:20:16.736440 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000012 | T.0x00007f4c5cbfa700 | 2019-06-21, 02:20:16.736654 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.hh, 40) NVZONE: 0x7ef908000400
