0000001 | T.0x00007f12884ec700 | 2019-06-21, 02:20:34.020587 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 153) Open heap path: /lfs/spark_global0 
0000002 | T.0x00007f12884ec700 | 2019-06-21, 02:20:34.021149 [info] - (/home/ghosdebd/sparkle/alps/src/pegasus/lfs_region_file.cc, 64) Open LFS region file path: "/lfs/spark_global0" flags: O_RDWR
0000004 | T.0x00007f12884ec700 | 2019-06-21, 02:20:34.025195 [info] - (/home/ghosdebd/sparkle/alps/src/pegasus/segmap.cc, 39) map region  base_addr: 0x7e913c000000 size: 549755813888 addr_range: 0x7e913c000000--7f113c000000
0000005 | T.0x00007f12884ec700 | 2019-06-21, 02:20:34.025222 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 158) Opened heap path: /lfs/spark_global0  size: 549755813888
0000006 | T.0x00007f12884ec700 | 2019-06-21, 02:20:34.357488 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 412
0000007 | T.0x00007f12884ec700 | 2019-06-21, 02:20:34.357536 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 412 ig: 0
0000008 | T.0x00007f12884ec700 | 2019-06-21, 02:20:34.357641 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 412
0000009 | T.0x00007f12884ec700 | 2019-06-21, 02:20:34.357656 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/process_slab_heap.cc, 30) acquire_slab
0000010 | T.0x00007f12884ec700 | 2019-06-21, 02:20:34.357662 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/process_slab_heap.cc, 33) acquire_slab: locked
0000011 | T.0x00007f12884ec700 | 2019-06-21, 02:20:34.357668 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000012 | T.0x00007f12884ec700 | 2019-06-21, 02:20:34.357968 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.hh, 40) NVZONE: 0x7ef53c000400
0000013 | T.0x00007f12884ec700 | 2019-06-21, 02:20:34.357976 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.hh, 41) NVZONE: ID: 50
0000014 | T.0x00007f12884ec700 | 2019-06-21, 02:20:34.359649 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (0, 32766)
0000015 | T.0x00007f12884ec700 | 2019-06-21, 02:20:34.359667 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone_heap.hh, 153) Acquired zone: 50
0000016 | T.0x00007f12884ec700 | 2019-06-21, 02:20:34.359672 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.hh, 72) Enumerate zone: 50
0000017 | T.0x00007f12884ec700 | 2019-06-21, 02:20:34.361168 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000018 | T.0x00007f12884ec700 | 2019-06-21, 02:20:34.361181 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (1, 32765)
0000019 | T.0x00007f12884ec700 | 2019-06-21, 02:20:34.361186 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.cc, 48) Allocated zone_id: 50 extent: (0, 1) 0x7ef53c0404c8
0000020 | T.0x00007f12884ec700 | 2019-06-21, 02:20:34.361207 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/process_slab_heap.cc, 50) acquire_slab: unlock 2
0000021 | T.0x00007f12884ec700 | 2019-06-21, 02:20:34.361216 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab.cc, 56) Allocate block: nvslab: (0xbeef, 0x64000404c8) block: 0
0000022 | T.0x00007f12884ec700 | 2019-06-21, 02:20:34.361221 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab_heap.cc, 40) Allocate block: new_fullness: 0 old_fullness: 0
0000023 | T.0x00007f12884ec700 | 2019-06-21, 02:20:34.361227 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x6400040548) size: 412
0000024 | T.0x00007f12884ec700 | 2019-06-21, 02:20:34.361240 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 30
0000025 | T.0x00007f12884ec700 | 2019-06-21, 02:20:34.361247 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 30 ig: 0
0000026 | T.0x00007f12884ec700 | 2019-06-21, 02:20:34.361251 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 30
0000027 | T.0x00007f12884ec700 | 2019-06-21, 02:20:34.361256 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/process_slab_heap.cc, 30) acquire_slab
0000028 | T.0x00007f12884ec700 | 2019-06-21, 02:20:34.361259 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/process_slab_heap.cc, 33) acquire_slab: locked
0000029 | T.0x00007f12884ec700 | 2019-06-21, 02:20:34.361263 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000030 | T.0x00007f12884ec700 | 2019-06-21, 02:20:34.361266 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (2, 32764)
0000031 | T.0x00007f12884ec700 | 2019-06-21, 02:20:34.361270 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.cc, 48) Allocated zone_id: 50 extent: (1, 1) 0x7ef53c0804c8
0000032 | T.0x00007f12884ec700 | 2019-06-21, 02:20:34.361494 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/process_slab_heap.cc, 50) acquire_slab: unlock 2
0000033 | T.0x00007f12884ec700 | 2019-06-21, 02:20:34.361505 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab.cc, 56) Allocate block: nvslab: (0xbeef, 0x64000804c8) block: 0
0000034 | T.0x00007f12884ec700 | 2019-06-21, 02:20:34.361510 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab_heap.cc, 40) Allocate block: new_fullness: 0 old_fullness: 0
0000035 | T.0x00007f12884ec700 | 2019-06-21, 02:20:34.361513 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x6400080908) size: 30
0000036 | T.0x00007f12884ec700 | 2019-06-21, 02:20:34.361517 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 30
0000037 | T.0x00007f12884ec700 | 2019-06-21, 02:20:34.361520 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 30 ig: 0
0000038 | T.0x00007f12884ec700 | 2019-06-21, 02:20:34.361524 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 30
0000039 | T.0x00007f12884ec700 | 2019-06-21, 02:20:34.361527 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab.cc, 56) Allocate block: nvslab: (0xbeef, 0x64000804c8) block: 1
0000040 | T.0x00007f12884ec700 | 2019-06-21, 02:20:34.361531 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab_heap.cc, 40) Allocate block: new_fullness: 0 old_fullness: 0
