0000001 | T.0x00007f1514bef700 | 2019-06-21, 02:27:08.206635 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 153) Open heap path: /lfs/spark_global0 
0000002 | T.0x00007f1514bef700 | 2019-06-21, 02:27:08.207408 [info] - (/home/ghosdebd/sparkle/alps/src/pegasus/lfs_region_file.cc, 64) Open LFS region file path: "/lfs/spark_global0" flags: O_RDWR
0000004 | T.0x00007f1514bef700 | 2019-06-21, 02:27:08.219843 [info] - (/home/ghosdebd/sparkle/alps/src/pegasus/segmap.cc, 39) map region  base_addr: 0x7e93baf29000 size: 549755813888 addr_range: 0x7e93baf29000--7f13baf29000
0000005 | T.0x00007f1514bef700 | 2019-06-21, 02:27:08.219890 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 158) Opened heap path: /lfs/spark_global0  size: 549755813888
0000006 | T.0x00007f1514aee700 | 2019-06-21, 02:27:10.423394 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 4012
0000007 | T.0x00007f1514aee700 | 2019-06-21, 02:27:10.423515 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 4012 ig: 0
0000008 | T.0x00007f1514aee700 | 2019-06-21, 02:27:10.423845 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 4012
0000009 | T.0x00007f1514aee700 | 2019-06-21, 02:27:10.423861 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/process_slab_heap.cc, 30) acquire_slab
0000010 | T.0x00007f1514aee700 | 2019-06-21, 02:27:10.423867 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/process_slab_heap.cc, 33) acquire_slab: locked
0000011 | T.0x00007f1514aee700 | 2019-06-21, 02:27:10.423873 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000012 | T.0x00007f1514aee700 | 2019-06-21, 02:27:10.424285 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.hh, 40) NVZONE: 0x7ee7baf29400
0000013 | T.0x00007f1514aee700 | 2019-06-21, 02:27:10.424304 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.hh, 41) NVZONE: ID: 42
0000014 | T.0x00007f1514aee700 | 2019-06-21, 02:27:10.426009 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (0, 32766)
0000015 | T.0x00007f1514aee700 | 2019-06-21, 02:27:10.426035 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone_heap.hh, 153) Acquired zone: 42
0000016 | T.0x00007f1514aee700 | 2019-06-21, 02:27:10.426040 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.hh, 72) Enumerate zone: 42
0000017 | T.0x00007f15146ea700 | 2019-06-21, 02:27:10.427020 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 4012
0000018 | T.0x00007f15146ea700 | 2019-06-21, 02:27:10.427066 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 4012 ig: 0
0000019 | T.0x00007f15146ea700 | 2019-06-21, 02:27:10.427073 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 4012
0000020 | T.0x00007f1514aee700 | 2019-06-21, 02:27:10.427519 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000021 | T.0x00007f1514aee700 | 2019-06-21, 02:27:10.427532 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (1, 32765)
0000022 | T.0x00007f1514aee700 | 2019-06-21, 02:27:10.427537 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.cc, 48) Allocated zone_id: 42 extent: (0, 1) 0x7ee7baf694c8
0000023 | T.0x00007f1514aee700 | 2019-06-21, 02:27:10.427558 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/process_slab_heap.cc, 50) acquire_slab: unlock 2
0000024 | T.0x00007f1514aee700 | 2019-06-21, 02:27:10.427570 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab.cc, 56) Allocate block: nvslab: (0xbeef, 0x54000404c8) block: 0
0000025 | T.0x00007f1514aee700 | 2019-06-21, 02:27:10.427576 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab_heap.cc, 40) Allocate block: new_fullness: 0 old_fullness: 0
0000026 | T.0x00007f1514aee700 | 2019-06-21, 02:27:10.427585 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x5400040508) size: 4012
0000027 | T.0x00007f15146ea700 | 2019-06-21, 02:27:10.427590 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab.cc, 56) Allocate block: nvslab: (0xbeef, 0x54000404c8) block: 1
0000028 | T.0x00007f15146ea700 | 2019-06-21, 02:27:10.427601 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab_heap.cc, 40) Allocate block: new_fullness: 0 old_fullness: 0
0000029 | T.0x00007f15146ea700 | 2019-06-21, 02:27:10.427606 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x5400041508) size: 4012
0000030 | T.0x00007f15141e5700 | 2019-06-21, 02:27:10.434489 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 4012
0000031 | T.0x00007f15141e5700 | 2019-06-21, 02:27:10.434601 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 4012 ig: 0
0000032 | T.0x00007f15141e5700 | 2019-06-21, 02:27:10.434609 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 4012
0000033 | T.0x00007f15141e5700 | 2019-06-21, 02:27:10.434627 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab.cc, 56) Allocate block: nvslab: (0xbeef, 0x54000404c8) block: 2
0000034 | T.0x00007f15141e5700 | 2019-06-21, 02:27:10.434635 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab_heap.cc, 40) Allocate block: new_fullness: 0 old_fullness: 0
0000035 | T.0x00007f15141e5700 | 2019-06-21, 02:27:10.434640 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x5400042508) size: 4012
0000036 | T.0x00007f1514aee700 | 2019-06-21, 02:27:10.436268 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 348120
0000037 | T.0x00007f1514aee700 | 2019-06-21, 02:27:10.436324 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 348120 ig: 0
0000038 | T.0x00007f1514aee700 | 2019-06-21, 02:27:10.436332 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 348120
0000039 | T.0x00007f1514aee700 | 2019-06-21, 02:27:10.436344 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000040 | T.0x00007f1514aee700 | 2019-06-21, 02:27:10.436355 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (3, 32763)
0000041 | T.0x00007f15146ea700 | 2019-06-21, 02:27:10.436357 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 338340
0000042 | T.0x00007f1514aee700 | 2019-06-21, 02:27:10.436366 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.cc, 48) Allocated zone_id: 42 extent: (1, 2) 0x7ee7bafa94c8
0000043 | T.0x00007f15146ea700 | 2019-06-21, 02:27:10.436384 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 338340 ig: 0
0000044 | T.0x00007f1514aee700 | 2019-06-21, 02:27:10.436390 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x54000804c8) size: 348120
0000045 | T.0x00007f15146ea700 | 2019-06-21, 02:27:10.436392 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 338340
0000046 | T.0x00007f15146ea700 | 2019-06-21, 02:27:10.436399 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000047 | T.0x00007f1514aee700 | 2019-06-21, 02:27:10.436402 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 278340
0000048 | T.0x00007f15146ea700 | 2019-06-21, 02:27:10.436405 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (5, 32761)
0000049 | T.0x00007f1514aee700 | 2019-06-21, 02:27:10.436406 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 278340 ig: 0
0000050 | T.0x00007f15146ea700 | 2019-06-21, 02:27:10.436414 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.cc, 48) Allocated zone_id: 42 extent: (3, 2) 0x7ee7bb0294c8
0000052 | T.0x00007f15146ea700 | 2019-06-21, 02:27:10.436482 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x54001004c8) size: 338340
0000051 | T.0x00007f1514aee700 | 2019-06-21, 02:27:10.436417 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 278340
0000054 | T.0x00007f1514aee700 | 2019-06-21, 02:27:10.436498 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000055 | T.0x00007f1514aee700 | 2019-06-21, 02:27:10.436503 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (7, 32759)
