0000001 | T.0x00007efcd84ea700 | 2019-06-21, 02:36:33.427983 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 153) Open heap path: /lfs/spark_global0 
0000002 | T.0x00007efcd84ea700 | 2019-06-21, 02:36:33.428505 [info] - (/home/ghosdebd/sparkle/alps/src/pegasus/lfs_region_file.cc, 64) Open LFS region file path: "/lfs/spark_global0" flags: O_RDWR
0000004 | T.0x00007efcd84ea700 | 2019-06-21, 02:36:33.441016 [info] - (/home/ghosdebd/sparkle/alps/src/pegasus/segmap.cc, 39) map region  base_addr: 0x7e7ac091f000 size: 549755813888 addr_range: 0x7e7ac091f000--7efac091f000
0000005 | T.0x00007efcd84ea700 | 2019-06-21, 02:36:33.441040 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 158) Opened heap path: /lfs/spark_global0  size: 549755813888
0000006 | T.0x00007efcd20ef700 | 2019-06-21, 02:36:35.208905 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 4012
0000007 | T.0x00007efcd20ef700 | 2019-06-21, 02:36:35.208970 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 4012 ig: 0
0000008 | T.0x00007efcd20ef700 | 2019-06-21, 02:36:35.209235 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 4012
0000009 | T.0x00007efcd20ef700 | 2019-06-21, 02:36:35.209251 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/process_slab_heap.cc, 30) acquire_slab
0000010 | T.0x00007efcd20ef700 | 2019-06-21, 02:36:35.209323 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/process_slab_heap.cc, 33) acquire_slab: locked
0000011 | T.0x00007efcd20ef700 | 2019-06-21, 02:36:35.209329 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000012 | T.0x00007efcd20ef700 | 2019-06-21, 02:36:35.209381 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.hh, 40) NVZONE: 0x7e7cc091f400
0000013 | T.0x00007efcd20ef700 | 2019-06-21, 02:36:35.209392 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.hh, 41) NVZONE: ID: 1
0000014 | T.0x00007efcd20ef700 | 2019-06-21, 02:36:35.211085 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (0, 32766)
