0000001 | T.0x00007fc9d4cf0700 | 2019-06-21, 02:46:06.298864 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 153) Open heap path: /lfs/spark_global0 
0000002 | T.0x00007fc9d4cf0700 | 2019-06-21, 02:46:06.299557 [info] - (/home/ghosdebd/sparkle/alps/src/pegasus/lfs_region_file.cc, 64) Open LFS region file path: "/lfs/spark_global0" flags: O_RDWR
0000004 | T.0x00007fc9d4cf0700 | 2019-06-21, 02:46:06.314541 [info] - (/home/ghosdebd/sparkle/alps/src/pegasus/segmap.cc, 39) map region  base_addr: 0x7f496129d000 size: 549755813888 addr_range: 0x7f496129d000--7fc96129d000
0000005 | T.0x00007fc9d4cf0700 | 2019-06-21, 02:46:06.314583 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 158) Opened heap path: /lfs/spark_global0  size: 549755813888
0000006 | T.0x00007fc9d43e7700 | 2019-06-21, 02:46:09.125218 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 4012
0000007 | T.0x00007fc9d43e7700 | 2019-06-21, 02:46:09.125330 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 4012 ig: 0
0000008 | T.0x00007fc9d43e7700 | 2019-06-21, 02:46:09.125650 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 4012
0000009 | T.0x00007fc9d43e7700 | 2019-06-21, 02:46:09.125668 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/process_slab_heap.cc, 30) acquire_slab
0000010 | T.0x00007fc9d43e7700 | 2019-06-21, 02:46:09.125674 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/process_slab_heap.cc, 33) acquire_slab: locked
0000011 | T.0x00007fc9d43e7700 | 2019-06-21, 02:46:09.125680 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000012 | T.0x00007fc9d43e7700 | 2019-06-21, 02:46:09.126039 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.hh, 40) NVZONE: 0x7f656129d400
0000013 | T.0x00007fc9d43e7700 | 2019-06-21, 02:46:09.126056 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.hh, 41) NVZONE: ID: 14
0000014 | T.0x00007fc9d43e7700 | 2019-06-21, 02:46:09.128364 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (0, 32766)
0000015 | T.0x00007fc9d43e7700 | 2019-06-21, 02:46:09.128387 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone_heap.hh, 153) Acquired zone: 14
0000016 | T.0x00007fc9d43e7700 | 2019-06-21, 02:46:09.128394 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.hh, 72) Enumerate zone: 14
0000017 | T.0x00007fc9d43e7700 | 2019-06-21, 02:46:09.129929 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000018 | T.0x00007fc9d43e7700 | 2019-06-21, 02:46:09.129943 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (1, 32765)
