0000001 | T.0x00007fb9ebdff700 | 2019-06-21, 10:07:36.133356 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 153) Open heap path: /lfs/spark_global0 
0000002 | T.0x00007fb9ebdff700 | 2019-06-21, 10:07:36.135593 [info] - (/home/ghosdebd/sparkle/alps/src/pegasus/lfs_region_file.cc, 64) Open LFS region file path: "/lfs/spark_global0" flags: O_RDWR
0000004 | T.0x00007fb9ebdff700 | 2019-06-21, 10:07:36.149251 [info] - (/home/ghosdebd/sparkle/alps/src/pegasus/segmap.cc, 39) map region  base_addr: 0x7f38ac000000 size: 549755813888 addr_range: 0x7f38ac000000--7fb8ac000000
0000005 | T.0x00007fb9ebdff700 | 2019-06-21, 10:07:36.149318 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 158) Opened heap path: /lfs/spark_global0  size: 549755813888
0000006 | T.0x00007fb9ebdff700 | 2019-06-21, 10:07:37.110998 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 4012
0000007 | T.0x00007fb9ebdff700 | 2019-06-21, 10:07:37.111046 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 4012 ig: 0
0000008 | T.0x00007fb9ebdff700 | 2019-06-21, 10:07:37.111298 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 4012
0000009 | T.0x00007fb9ebdff700 | 2019-06-21, 10:07:37.111324 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/process_slab_heap.cc, 30) acquire_slab
0000010 | T.0x00007fb9ebdff700 | 2019-06-21, 10:07:37.111331 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/process_slab_heap.cc, 33) acquire_slab: locked
0000011 | T.0x00007fb9ebdff700 | 2019-06-21, 10:07:37.111339 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000012 | T.0x00007fb9ebdff700 | 2019-06-21, 10:07:37.111406 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.hh, 40) NVZONE: 0x7f44ac000400
0000013 | T.0x00007fb9ebdff700 | 2019-06-21, 10:07:37.111418 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.hh, 41) NVZONE: ID: 6
0000014 | T.0x00007fb9ebdff700 | 2019-06-21, 10:07:37.113482 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (0, 32766)
0000015 | T.0x00007fb9ebdff700 | 2019-06-21, 10:07:37.113520 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone_heap.hh, 153) Acquired zone: 6
0000016 | T.0x00007fb9ebdff700 | 2019-06-21, 10:07:37.113528 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.hh, 72) Enumerate zone: 6
0000017 | T.0x00007fb9ebdff700 | 2019-06-21, 10:07:37.115122 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000018 | T.0x00007fb9ebdff700 | 2019-06-21, 10:07:37.115135 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (1, 32765)
