0000001 | T.0x00007f74387ed700 | 2019-06-21, 02:19:48.888609 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 153) Open heap path: /lfs/spark_global0 
0000002 | T.0x00007f74387ed700 | 2019-06-21, 02:19:48.889576 [info] - (/home/ghosdebd/sparkle/alps/src/pegasus/lfs_region_file.cc, 64) Open LFS region file path: "/lfs/spark_global0" flags: O_RDWR
0000004 | T.0x00007f74387ed700 | 2019-06-21, 02:19:48.908041 [info] - (/home/ghosdebd/sparkle/alps/src/pegasus/segmap.cc, 39) map region  base_addr: 0x7ef2fc000000 size: 549755813888 addr_range: 0x7ef2fc000000--7f72fc000000
0000005 | T.0x00007f74387ed700 | 2019-06-21, 02:19:48.908095 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 158) Opened heap path: /lfs/spark_global0  size: 549755813888
0000006 | T.0x00007f74387ed700 | 2019-06-21, 02:19:49.255081 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 412
0000007 | T.0x00007f74309ed700 | 2019-06-21, 02:19:49.255093 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 412
0000008 | T.0x00007f74387ed700 | 2019-06-21, 02:19:49.255134 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 412 ig: 0
0000009 | T.0x00007f74309ed700 | 2019-06-21, 02:19:49.255140 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 412 ig: 0
0000011 | T.0x00007f74309ed700 | 2019-06-21, 02:19:49.255253 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 412
0000010 | T.0x00007f74387ed700 | 2019-06-21, 02:19:49.255251 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 412
0000012 | T.0x00007f74309ed700 | 2019-06-21, 02:19:49.255274 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/process_slab_heap.cc, 30) acquire_slab
0000013 | T.0x00007f74309ed700 | 2019-06-21, 02:19:49.255285 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/process_slab_heap.cc, 33) acquire_slab: locked
0000014 | T.0x00007f74309ed700 | 2019-06-21, 02:19:49.255295 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000015 | T.0x00007f74309ed700 | 2019-06-21, 02:19:49.255380 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.hh, 40) NVZONE: 0x7f00fc000400
0000016 | T.0x00007f74309ed700 | 2019-06-21, 02:19:49.255397 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.hh, 41) NVZONE: ID: 7
0000017 | T.0x00007f74309ed700 | 2019-06-21, 02:19:49.257113 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (0, 32766)
0000018 | T.0x00007f74309ed700 | 2019-06-21, 02:19:49.257150 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone_heap.hh, 153) Acquired zone: 7
0000019 | T.0x00007f74309ed700 | 2019-06-21, 02:19:49.257159 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.hh, 72) Enumerate zone: 7
0000020 | T.0x00007f74309ed700 | 2019-06-21, 02:19:49.258688 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000021 | T.0x00007f74309ed700 | 2019-06-21, 02:19:49.258707 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (1, 32765)
0000022 | T.0x00007f74309ed700 | 2019-06-21, 02:19:49.258713 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.cc, 48) Allocated zone_id: 7 extent: (0, 1) 0x7f00fc0404c8
0000023 | T.0x00007f74309ed700 | 2019-06-21, 02:19:49.258734 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/process_slab_heap.cc, 50) acquire_slab: unlock 2
0000024 | T.0x00007f74309ed700 | 2019-06-21, 02:19:49.258748 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab.cc, 56) Allocate block: nvslab: (0xbeef, 0xe000404c8) block: 0
0000025 | T.0x00007f74309ed700 | 2019-06-21, 02:19:49.258758 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab_heap.cc, 40) Allocate block: new_fullness: 0 old_fullness: 0
0000026 | T.0x00007f74309ed700 | 2019-06-21, 02:19:49.258772 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0xe00040548) size: 412
0000027 | T.0x00007f74387ed700 | 2019-06-21, 02:19:49.258778 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab.cc, 56) Allocate block: nvslab: (0xbeef, 0xe000404c8) block: 1
0000028 | T.0x00007f74309ed700 | 2019-06-21, 02:19:49.258793 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 30
0000029 | T.0x00007f74387ed700 | 2019-06-21, 02:19:49.258801 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab_heap.cc, 40) Allocate block: new_fullness: 0 old_fullness: 0
