0000001 | T.0x00007f5d43bfd700 | 2019-06-21, 02:20:16.376248 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 153) Open heap path: /lfs/spark_global0 
0000002 | T.0x00007f5d43bfd700 | 2019-06-21, 02:20:16.376537 [info] - (/home/ghosdebd/sparkle/alps/src/pegasus/lfs_region_file.cc, 64) Open LFS region file path: "/lfs/spark_global0" flags: O_RDWR
0000004 | T.0x00007f5d43bfd700 | 2019-06-21, 02:20:16.392913 [info] - (/home/ghosdebd/sparkle/alps/src/pegasus/segmap.cc, 39) map region  base_addr: 0x7edbec000000 size: 549755813888 addr_range: 0x7edbec000000--7f5bec000000
0000005 | T.0x00007f5d43bfd700 | 2019-06-21, 02:20:16.393045 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 158) Opened heap path: /lfs/spark_global0  size: 549755813888
0000006 | T.0x00007f5d43bfd700 | 2019-06-21, 02:20:16.708406 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 412
0000007 | T.0x00007f5d43bfd700 | 2019-06-21, 02:20:16.708435 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 412 ig: 0
0000008 | T.0x00007f5d43bfd700 | 2019-06-21, 02:20:16.708650 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 412
0000009 | T.0x00007f5d43bfd700 | 2019-06-21, 02:20:16.708660 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/process_slab_heap.cc, 30) acquire_slab
0000010 | T.0x00007f5d43bfd700 | 2019-06-21, 02:20:16.708665 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/process_slab_heap.cc, 33) acquire_slab: locked
0000011 | T.0x00007f5d43bfd700 | 2019-06-21, 02:20:16.708669 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000012 | T.0x00007f5d43bfd700 | 2019-06-21, 02:20:16.708798 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.hh, 40) NVZONE: 0x7f07ec000400
0000013 | T.0x00007f5d43bfd700 | 2019-06-21, 02:20:16.708804 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.hh, 41) NVZONE: ID: 22
0000014 | T.0x00007f5d43bfd700 | 2019-06-21, 02:20:16.710506 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (0, 32766)
0000015 | T.0x00007f5d43bfd700 | 2019-06-21, 02:20:16.710516 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone_heap.hh, 153) Acquired zone: 22
0000016 | T.0x00007f5d43bfd700 | 2019-06-21, 02:20:16.710521 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.hh, 72) Enumerate zone: 22
0000017 | T.0x00007f5d43bfd700 | 2019-06-21, 02:20:16.712030 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000018 | T.0x00007f5d43bfd700 | 2019-06-21, 02:20:16.712037 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (1, 32765)
0000019 | T.0x00007f5d43bfd700 | 2019-06-21, 02:20:16.712041 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.cc, 48) Allocated zone_id: 22 extent: (0, 1) 0x7f07ec0404c8
