0000001 | T.0x00007f851dffd700 | 2019-06-21, 02:20:33.977362 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 153) Open heap path: /lfs/spark_global0 
0000002 | T.0x00007f851dffd700 | 2019-06-21, 02:20:33.977739 [info] - (/home/ghosdebd/sparkle/alps/src/pegasus/lfs_region_file.cc, 64) Open LFS region file path: "/lfs/spark_global0" flags: O_RDWR
0000004 | T.0x00007f851dffd700 | 2019-06-21, 02:20:33.985413 [info] - (/home/ghosdebd/sparkle/alps/src/pegasus/segmap.cc, 39) map region  base_addr: 0x7f03d8000000 size: 549755813888 addr_range: 0x7f03d8000000--7f83d8000000
0000005 | T.0x00007f851dffd700 | 2019-06-21, 02:20:33.985449 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 158) Opened heap path: /lfs/spark_global0  size: 549755813888
0000006 | T.0x00007f851ccf9700 | 2019-06-21, 02:20:34.294747 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 412
0000007 | T.0x00007f851ccf9700 | 2019-06-21, 02:20:34.294863 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 412 ig: 0
0000008 | T.0x00007f851ccf9700 | 2019-06-21, 02:20:34.295082 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 412
0000009 | T.0x00007f851ccf9700 | 2019-06-21, 02:20:34.295103 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/process_slab_heap.cc, 30) acquire_slab
0000010 | T.0x00007f851ccf9700 | 2019-06-21, 02:20:34.295110 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/process_slab_heap.cc, 33) acquire_slab: locked
0000011 | T.0x00007f851ccf9700 | 2019-06-21, 02:20:34.295121 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000012 | T.0x00007f851ccf9700 | 2019-06-21, 02:20:34.295377 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.hh, 40) NVZONE: 0x7f4dd8000400
0000013 | T.0x00007f851ccf9700 | 2019-06-21, 02:20:34.295396 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.hh, 41) NVZONE: ID: 37
