0000001 | T.0x00007fdd3e4f5700 | 2019-06-21, 02:23:09.290243 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 153) Open heap path: /lfs/spark_global0 
0000002 | T.0x00007fdd3e4f5700 | 2019-06-21, 02:23:09.291559 [info] - (/home/ghosdebd/sparkle/alps/src/pegasus/lfs_region_file.cc, 64) Open LFS region file path: "/lfs/spark_global0" flags: O_RDWR
0000004 | T.0x00007fdd3e4f5700 | 2019-06-21, 02:23:09.295560 [info] - (/home/ghosdebd/sparkle/alps/src/pegasus/segmap.cc, 39) map region  base_addr: 0x7f5cf3291000 size: 549755813888 addr_range: 0x7f5cf3291000--7fdcf3291000
0000005 | T.0x00007fdd3e4f5700 | 2019-06-21, 02:23:09.295605 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 158) Opened heap path: /lfs/spark_global0  size: 549755813888
0000006 | T.0x00007fdd3e6f7700 | 2019-06-21, 02:23:10.719600 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 4012
0000007 | T.0x00007fdd3e6f7700 | 2019-06-21, 02:23:10.719776 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 4012 ig: 0
0000008 | T.0x00007fdd3e6f7700 | 2019-06-21, 02:23:10.720153 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 4012
0000009 | T.0x00007fdd3e6f7700 | 2019-06-21, 02:23:10.720196 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/process_slab_heap.cc, 30) acquire_slab
0000010 | T.0x00007fdd3e6f7700 | 2019-06-21, 02:23:10.720219 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/process_slab_heap.cc, 33) acquire_slab: locked
0000011 | T.0x00007fdd3e6f7700 | 2019-06-21, 02:23:10.720245 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000012 | T.0x00007fdd3e6f7700 | 2019-06-21, 02:23:10.720354 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.hh, 40) NVZONE: 0x7f62f3291400
0000013 | T.0x00007fdd3e6f7700 | 2019-06-21, 02:23:10.720381 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.hh, 41) NVZONE: ID: 3
0000014 | T.0x00007fdd3e6f7700 | 2019-06-21, 02:23:10.722710 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (0, 32766)
0000015 | T.0x00007fdd3e6f7700 | 2019-06-21, 02:23:10.722778 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone_heap.hh, 153) Acquired zone: 3
0000016 | T.0x00007fdd3e6f7700 | 2019-06-21, 02:23:10.722786 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.hh, 72) Enumerate zone: 3
