0000001 | T.0x00007f786acfb700 | 2019-06-21, 02:27:08.215894 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 153) Open heap path: /lfs/spark_global0 
0000002 | T.0x00007f786acfb700 | 2019-06-21, 02:27:08.216347 [info] - (/home/ghosdebd/sparkle/alps/src/pegasus/lfs_region_file.cc, 64) Open LFS region file path: "/lfs/spark_global0" flags: O_RDWR
0000004 | T.0x00007f786acfb700 | 2019-06-21, 02:27:08.221033 [info] - (/home/ghosdebd/sparkle/alps/src/pegasus/segmap.cc, 39) map region  base_addr: 0x7ef827abd000 size: 549755813888 addr_range: 0x7ef827abd000--7f7827abd000
0000005 | T.0x00007f786acfb700 | 2019-06-21, 02:27:08.221062 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 158) Opened heap path: /lfs/spark_global0  size: 549755813888
0000006 | T.0x00007f786acfb700 | 2019-06-21, 02:27:10.422638 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 4012
0000007 | T.0x00007f786acfb700 | 2019-06-21, 02:27:10.422747 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 4012 ig: 0
0000008 | T.0x00007f786acfb700 | 2019-06-21, 02:27:10.423068 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 4012
0000009 | T.0x00007f786acfb700 | 2019-06-21, 02:27:10.423093 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/process_slab_heap.cc, 30) acquire_slab
0000010 | T.0x00007f786acfb700 | 2019-06-21, 02:27:10.423099 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/process_slab_heap.cc, 33) acquire_slab: locked
0000011 | T.0x00007f786acfb700 | 2019-06-21, 02:27:10.423105 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000012 | T.0x00007f786acfb700 | 2019-06-21, 02:27:10.423450 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.hh, 40) NVZONE: 0x7f4827abd400
0000013 | T.0x00007f786acfb700 | 2019-06-21, 02:27:10.423467 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.hh, 41) NVZONE: ID: 40
0000014 | T.0x00007f786acfb700 | 2019-06-21, 02:27:10.425251 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (0, 32766)
0000015 | T.0x00007f786acfb700 | 2019-06-21, 02:27:10.425280 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone_heap.hh, 153) Acquired zone: 40
0000016 | T.0x00007f786acfb700 | 2019-06-21, 02:27:10.425286 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.hh, 72) Enumerate zone: 40
0000017 | T.0x00007f786acfb700 | 2019-06-21, 02:27:10.426790 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000018 | T.0x00007f786acfb700 | 2019-06-21, 02:27:10.426812 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (1, 32765)
0000019 | T.0x00007f786acfb700 | 2019-06-21, 02:27:10.426816 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.cc, 48) Allocated zone_id: 40 extent: (0, 1) 0x7f4827afd4c8
0000020 | T.0x00007f786acfb700 | 2019-06-21, 02:27:10.426842 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/process_slab_heap.cc, 50) acquire_slab: unlock 2
0000021 | T.0x00007f786acfb700 | 2019-06-21, 02:27:10.426854 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab.cc, 56) Allocate block: nvslab: (0xbeef, 0x50000404c8) block: 0
0000022 | T.0x00007f786acfb700 | 2019-06-21, 02:27:10.426860 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab_heap.cc, 40) Allocate block: new_fullness: 0 old_fullness: 0
0000023 | T.0x00007f786acfb700 | 2019-06-21, 02:27:10.426868 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x5000040508) size: 4012
0000025 | T.0x00007f786acfb700 | 2019-06-21, 02:27:10.435395 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 345210
0000024 | T.0x00007f786aefd700 | 2019-06-21, 02:27:10.435372 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 4012
0000026 | T.0x00007f786acfb700 | 2019-06-21, 02:27:10.435453 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 345210 ig: 0
0000027 | T.0x00007f786aefd700 | 2019-06-21, 02:27:10.435463 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 4012 ig: 0
0000028 | T.0x00007f786acfb700 | 2019-06-21, 02:27:10.435478 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 345210
0000029 | T.0x00007f786aefd700 | 2019-06-21, 02:27:10.435480 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 4012
0000030 | T.0x00007f786acfb700 | 2019-06-21, 02:27:10.435492 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000032 | T.0x00007f786acfb700 | 2019-06-21, 02:27:10.435501 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (3, 32763)
0000031 | T.0x00007f786aefd700 | 2019-06-21, 02:27:10.435499 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab.cc, 56) Allocate block: nvslab: (0xbeef, 0x50000404c8) block: 1
0000033 | T.0x00007f786acfb700 | 2019-06-21, 02:27:10.435510 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.cc, 48) Allocated zone_id: 40 extent: (1, 2) 0x7f4827b3d4c8
0000034 | T.0x00007f786aefd700 | 2019-06-21, 02:27:10.435512 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab_heap.cc, 40) Allocate block: new_fullness: 0 old_fullness: 0
0000035 | T.0x00007f786acfb700 | 2019-06-21, 02:27:10.435519 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x50000804c8) size: 345210
0000036 | T.0x00007f786aefd700 | 2019-06-21, 02:27:10.435525 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x5000041508) size: 4012
0000037 | T.0x00007f786acfb700 | 2019-06-21, 02:27:10.435536 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 276060
0000038 | T.0x00007f786acfb700 | 2019-06-21, 02:27:10.435540 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 276060 ig: 0
0000039 | T.0x00007f786acfb700 | 2019-06-21, 02:27:10.435544 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 276060
0000040 | T.0x00007f786acfb700 | 2019-06-21, 02:27:10.435547 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000041 | T.0x00007f786acfb700 | 2019-06-21, 02:27:10.435550 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (5, 32761)
0000042 | T.0x00007f786acfb700 | 2019-06-21, 02:27:10.435554 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.cc, 48) Allocated zone_id: 40 extent: (3, 2) 0x7f4827bbd4c8
0000043 | T.0x00007f786acfb700 | 2019-06-21, 02:27:10.435557 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x50001004c8) size: 276060
0000044 | T.0x00007f786acfb700 | 2019-06-21, 02:27:10.435561 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 331050
0000045 | T.0x00007f786acfb700 | 2019-06-21, 02:27:10.435564 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 331050 ig: 0
0000046 | T.0x00007f786acfb700 | 2019-06-21, 02:27:10.435567 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 331050
0000047 | T.0x00007f786acfb700 | 2019-06-21, 02:27:10.435570 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000048 | T.0x00007f786acfb700 | 2019-06-21, 02:27:10.435573 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (7, 32759)
0000049 | T.0x00007f786acfb700 | 2019-06-21, 02:27:10.435577 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.cc, 48) Allocated zone_id: 40 extent: (5, 2) 0x7f4827c3d4c8
0000050 | T.0x00007f786acfb700 | 2019-06-21, 02:27:10.435581 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x50001804c8) size: 331050
0000051 | T.0x00007f786acfb700 | 2019-06-21, 02:27:10.435636 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 254340
0000052 | T.0x00007f786acfb700 | 2019-06-21, 02:27:10.435640 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 254340 ig: 0
0000053 | T.0x00007f786acfb700 | 2019-06-21, 02:27:10.435643 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 254340
0000054 | T.0x00007f786acfb700 | 2019-06-21, 02:27:10.435646 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000055 | T.0x00007f786acfb700 | 2019-06-21, 02:27:10.435650 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (8, 32758)
0000056 | T.0x00007f786acfb700 | 2019-06-21, 02:27:10.435653 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.cc, 48) Allocated zone_id: 40 extent: (7, 1) 0x7f4827cbd4c8
0000057 | T.0x00007f786acfb700 | 2019-06-21, 02:27:10.435657 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x50002004c8) size: 254340
0000058 | T.0x00007f786acfb700 | 2019-06-21, 02:27:10.435661 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 345300
0000059 | T.0x00007f786acfb700 | 2019-06-21, 02:27:10.435664 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 345300 ig: 0
0000060 | T.0x00007f786acfb700 | 2019-06-21, 02:27:10.435667 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 345300
0000061 | T.0x00007f786acfb700 | 2019-06-21, 02:27:10.435670 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000062 | T.0x00007f786acfb700 | 2019-06-21, 02:27:10.435674 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (10, 32756)
0000063 | T.0x00007f786acfb700 | 2019-06-21, 02:27:10.435677 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.cc, 48) Allocated zone_id: 40 extent: (8, 2) 0x7f4827cfd4c8
0000064 | T.0x00007f786acfb700 | 2019-06-21, 02:27:10.435680 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x50002404c8) size: 345300
0000065 | T.0x00007f786acfb700 | 2019-06-21, 02:27:10.435684 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 368220
0000066 | T.0x00007f786acfb700 | 2019-06-21, 02:27:10.435687 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 368220 ig: 0
0000067 | T.0x00007f786acfb700 | 2019-06-21, 02:27:10.435690 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 368220
0000068 | T.0x00007f786acfb700 | 2019-06-21, 02:27:10.435693 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000069 | T.0x00007f786acfb700 | 2019-06-21, 02:27:10.435696 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (12, 32754)
0000070 | T.0x00007f786acfb700 | 2019-06-21, 02:27:10.435700 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.cc, 48) Allocated zone_id: 40 extent: (10, 2) 0x7f4827d7d4c8
0000071 | T.0x00007f786acfb700 | 2019-06-21, 02:27:10.435703 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x50002c04c8) size: 368220
0000072 | T.0x00007f786acfb700 | 2019-06-21, 02:27:10.435707 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 263640
0000073 | T.0x00007f786acfb700 | 2019-06-21, 02:27:10.435710 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 263640 ig: 0
0000074 | T.0x00007f786acfb700 | 2019-06-21, 02:27:10.435713 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 263640
0000075 | T.0x00007f786acfb700 | 2019-06-21, 02:27:10.435716 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000076 | T.0x00007f786acfb700 | 2019-06-21, 02:27:10.435720 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (14, 32752)
0000077 | T.0x00007f786acfb700 | 2019-06-21, 02:27:10.435723 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.cc, 48) Allocated zone_id: 40 extent: (12, 2) 0x7f4827dfd4c8
0000078 | T.0x00007f786acfb700 | 2019-06-21, 02:27:10.435727 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x50003404c8) size: 263640
0000079 | T.0x00007f786acfb700 | 2019-06-21, 02:27:10.435730 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 345420
0000080 | T.0x00007f786acfb700 | 2019-06-21, 02:27:10.435734 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 345420 ig: 0
0000081 | T.0x00007f786acfb700 | 2019-06-21, 02:27:10.435737 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 345420
0000082 | T.0x00007f786acfb700 | 2019-06-21, 02:27:10.435740 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
