0000001 | T.0x00007efe20ff3700 | 2019-06-21, 02:46:06.290432 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 153) Open heap path: /lfs/spark_global0 
0000002 | T.0x00007efe20ff3700 | 2019-06-21, 02:46:06.290811 [info] - (/home/ghosdebd/sparkle/alps/src/pegasus/lfs_region_file.cc, 64) Open LFS region file path: "/lfs/spark_global0" flags: O_RDWR
0000004 | T.0x00007efe20ff3700 | 2019-06-21, 02:46:06.310162 [info] - (/home/ghosdebd/sparkle/alps/src/pegasus/segmap.cc, 39) map region  base_addr: 0x7e7cb4000000 size: 549755813888 addr_range: 0x7e7cb4000000--7efcb4000000
0000005 | T.0x00007efe20ff3700 | 2019-06-21, 02:46:06.310214 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 158) Opened heap path: /lfs/spark_global0  size: 549755813888
0000006 | T.0x00007efe20aee700 | 2019-06-21, 02:46:09.263217 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 4012
0000007 | T.0x00007efe20aee700 | 2019-06-21, 02:46:09.263281 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 4012 ig: 0
0000008 | T.0x00007efe20aee700 | 2019-06-21, 02:46:09.263640 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 4012
0000009 | T.0x00007efe20aee700 | 2019-06-21, 02:46:09.263653 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/process_slab_heap.cc, 30) acquire_slab
0000010 | T.0x00007efe20aee700 | 2019-06-21, 02:46:09.263657 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/process_slab_heap.cc, 33) acquire_slab: locked
0000011 | T.0x00007efe20aee700 | 2019-06-21, 02:46:09.263662 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000012 | T.0x00007efe20aee700 | 2019-06-21, 02:46:09.264181 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.hh, 40) NVZONE: 0x7e9cb4000400
0000013 | T.0x00007efe20aee700 | 2019-06-21, 02:46:09.264193 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.hh, 41) NVZONE: ID: 16
0000014 | T.0x00007efe20aee700 | 2019-06-21, 02:46:09.270600 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (0, 32766)
0000015 | T.0x00007efe20aee700 | 2019-06-21, 02:46:09.270620 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone_heap.hh, 153) Acquired zone: 16
0000016 | T.0x00007efe20aee700 | 2019-06-21, 02:46:09.270625 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.hh, 72) Enumerate zone: 16
0000017 | T.0x00007efe20aee700 | 2019-06-21, 02:46:09.272118 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000018 | T.0x00007efe20aee700 | 2019-06-21, 02:46:09.272131 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (1, 32765)
0000019 | T.0x00007efe20aee700 | 2019-06-21, 02:46:09.272136 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.cc, 48) Allocated zone_id: 16 extent: (0, 1) 0x7e9cb40404c8
0000020 | T.0x00007efe20aee700 | 2019-06-21, 02:46:09.272148 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/process_slab_heap.cc, 50) acquire_slab: unlock 2
0000021 | T.0x00007efe20aee700 | 2019-06-21, 02:46:09.272157 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab.cc, 56) Allocate block: nvslab: (0xbeef, 0x20000404c8) block: 0
0000022 | T.0x00007efe20aee700 | 2019-06-21, 02:46:09.272163 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab_heap.cc, 40) Allocate block: new_fullness: 0 old_fullness: 0
0000023 | T.0x00007efe20aee700 | 2019-06-21, 02:46:09.272168 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x2000040508) size: 4012
0000024 | T.0x00007efe20aee700 | 2019-06-21, 02:46:09.280953 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 345960
0000025 | T.0x00007efe20aee700 | 2019-06-21, 02:46:09.280994 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 345960 ig: 0
0000026 | T.0x00007efe20aee700 | 2019-06-21, 02:46:09.281000 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 345960
0000027 | T.0x00007efe20aee700 | 2019-06-21, 02:46:09.281014 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000028 | T.0x00007efe20aee700 | 2019-06-21, 02:46:09.281021 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (3, 32763)
0000029 | T.0x00007efe20aee700 | 2019-06-21, 02:46:09.281030 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.cc, 48) Allocated zone_id: 16 extent: (1, 2) 0x7e9cb40804c8
0000030 | T.0x00007efe20aee700 | 2019-06-21, 02:46:09.281036 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x20000804c8) size: 345960
0000031 | T.0x00007efe20aee700 | 2019-06-21, 02:46:09.281044 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 269820
0000032 | T.0x00007efe20aee700 | 2019-06-21, 02:46:09.281047 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 269820 ig: 0
0000033 | T.0x00007efe20aee700 | 2019-06-21, 02:46:09.281050 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 269820
0000034 | T.0x00007efe20aee700 | 2019-06-21, 02:46:09.281054 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000035 | T.0x00007efe20aee700 | 2019-06-21, 02:46:09.281057 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (5, 32761)
0000036 | T.0x00007efe20aee700 | 2019-06-21, 02:46:09.281062 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.cc, 48) Allocated zone_id: 16 extent: (3, 2) 0x7e9cb41004c8
0000037 | T.0x00007efe20aee700 | 2019-06-21, 02:46:09.281065 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x20001004c8) size: 269820
0000038 | T.0x00007efe20aee700 | 2019-06-21, 02:46:09.281069 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 336120
0000039 | T.0x00007efe20aee700 | 2019-06-21, 02:46:09.281072 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 336120 ig: 0
0000040 | T.0x00007efe20aee700 | 2019-06-21, 02:46:09.281075 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 336120
0000041 | T.0x00007efe20aee700 | 2019-06-21, 02:46:09.281078 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000042 | T.0x00007efe20aee700 | 2019-06-21, 02:46:09.281081 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (7, 32759)
0000043 | T.0x00007efe20aee700 | 2019-06-21, 02:46:09.281135 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.cc, 48) Allocated zone_id: 16 extent: (5, 2) 0x7e9cb41804c8
0000044 | T.0x00007efe20aee700 | 2019-06-21, 02:46:09.281139 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x20001804c8) size: 336120
0000045 | T.0x00007efe20aee700 | 2019-06-21, 02:46:09.281143 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 251550
0000046 | T.0x00007efe20aee700 | 2019-06-21, 02:46:09.281146 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 251550 ig: 0
0000047 | T.0x00007efe20aee700 | 2019-06-21, 02:46:09.281149 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 251550
0000048 | T.0x00007efe20aee700 | 2019-06-21, 02:46:09.281153 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000049 | T.0x00007efe20aee700 | 2019-06-21, 02:46:09.281156 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (8, 32758)
0000050 | T.0x00007efe20aee700 | 2019-06-21, 02:46:09.281160 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.cc, 48) Allocated zone_id: 16 extent: (7, 1) 0x7e9cb42004c8
0000051 | T.0x00007efe20aee700 | 2019-06-21, 02:46:09.281216 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x20002004c8) size: 251550
0000052 | T.0x00007efe20aee700 | 2019-06-21, 02:46:09.281220 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 344070
