0000001 | T.0x00007f9a914f8700 | 2019-06-21, 02:10:36.429988 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 153) Open heap path: /lfs/spark_global0 
0000002 | T.0x00007f9a914f8700 | 2019-06-21, 02:10:36.430712 [info] - (/home/ghosdebd/sparkle/alps/src/pegasus/lfs_region_file.cc, 64) Open LFS region file path: "/lfs/spark_global0" flags: O_RDWR
0000004 | T.0x00007f9a914f8700 | 2019-06-21, 02:10:36.436793 [info] - (/home/ghosdebd/sparkle/alps/src/pegasus/segmap.cc, 39) map region  base_addr: 0x7f1941adb000 size: 549755813888 addr_range: 0x7f1941adb000--7f9941adb000
0000005 | T.0x00007f9a914f8700 | 2019-06-21, 02:10:36.436917 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 158) Opened heap path: /lfs/spark_global0  size: 549755813888
0000006 | T.0x00007f9a914f8700 | 2019-06-21, 02:10:38.525583 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 4012
0000007 | T.0x00007f9a914f8700 | 2019-06-21, 02:10:38.525626 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 4012 ig: 0
0000008 | T.0x00007f9a914f8700 | 2019-06-21, 02:10:38.525970 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 4012
0000009 | T.0x00007f9a914f8700 | 2019-06-21, 02:10:38.525990 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/process_slab_heap.cc, 30) acquire_slab
0000010 | T.0x00007f9a914f8700 | 2019-06-21, 02:10:38.525996 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/process_slab_heap.cc, 33) acquire_slab: locked
0000011 | T.0x00007f9a914f8700 | 2019-06-21, 02:10:38.526001 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000012 | T.0x00007f9a914f8700 | 2019-06-21, 02:10:38.526536 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.hh, 40) NVZONE: 0x7f9341adb400
0000013 | T.0x00007f9a914f8700 | 2019-06-21, 02:10:38.526545 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.hh, 41) NVZONE: ID: 61
0000014 | T.0x00007f9a914f8700 | 2019-06-21, 02:10:38.528375 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (0, 32766)
