0000001 | T.0x00007fde7bafc700 | 2019-06-21, 02:17:18.321328 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 153) Open heap path: /lfs/spark_global0 
0000002 | T.0x00007fde7bafc700 | 2019-06-21, 02:17:18.321715 [info] - (/home/ghosdebd/sparkle/alps/src/pegasus/lfs_region_file.cc, 64) Open LFS region file path: "/lfs/spark_global0" flags: O_RDWR
0000004 | T.0x00007fde7bafc700 | 2019-06-21, 02:17:18.332881 [info] - (/home/ghosdebd/sparkle/alps/src/pegasus/segmap.cc, 39) map region  base_addr: 0x7f5d14000000 size: 549755813888 addr_range: 0x7f5d14000000--7fdd14000000
0000005 | T.0x00007fde7bafc700 | 2019-06-21, 02:17:18.332967 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 158) Opened heap path: /lfs/spark_global0  size: 549755813888
0000006 | T.0x00007fde7b5f7700 | 2019-06-21, 02:17:20.914968 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 4012
0000007 | T.0x00007fde7b5f7700 | 2019-06-21, 02:17:20.915034 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 4012 ig: 0
0000008 | T.0x00007fde7b5f7700 | 2019-06-21, 02:17:20.915275 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 4012
0000009 | T.0x00007fde7b5f7700 | 2019-06-21, 02:17:20.915289 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/process_slab_heap.cc, 30) acquire_slab
0000010 | T.0x00007fde7b5f7700 | 2019-06-21, 02:17:20.915294 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/process_slab_heap.cc, 33) acquire_slab: locked
0000011 | T.0x00007fde7b5f7700 | 2019-06-21, 02:17:20.915299 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000012 | T.0x00007fde7b5f7700 | 2019-06-21, 02:17:20.919123 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.hh, 40) NVZONE: 0x7fc514000400
0000013 | T.0x00007fde7b5f7700 | 2019-06-21, 02:17:20.919134 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.hh, 41) NVZONE: ID: 52
0000014 | T.0x00007fde7b7f9700 | 2019-06-21, 02:17:20.921210 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 4012
0000015 | T.0x00007fde7b7f9700 | 2019-06-21, 02:17:20.921249 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 4012 ig: 0
0000016 | T.0x00007fde7b7f9700 | 2019-06-21, 02:17:20.921254 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 4012
0000017 | T.0x00007fde7b2f4700 | 2019-06-21, 02:17:20.922202 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 4012
0000018 | T.0x00007fde7b2f4700 | 2019-06-21, 02:17:20.922227 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 4012 ig: 0
0000019 | T.0x00007fde7b2f4700 | 2019-06-21, 02:17:20.922232 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 4012
0000020 | T.0x00007fde7b4f6700 | 2019-06-21, 02:17:20.923364 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 4012
0000021 | T.0x00007fde7b4f6700 | 2019-06-21, 02:17:20.923420 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 4012 ig: 0
