0000001 | T.0x00007f68b41da700 | 2019-06-21, 02:19:48.891682 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 153) Open heap path: /lfs/spark_global0 
0000002 | T.0x00007f68b41da700 | 2019-06-21, 02:19:48.892014 [info] - (/home/ghosdebd/sparkle/alps/src/pegasus/lfs_region_file.cc, 64) Open LFS region file path: "/lfs/spark_global0" flags: O_RDWR
0000004 | T.0x00007f68b41da700 | 2019-06-21, 02:19:48.911630 [info] - (/home/ghosdebd/sparkle/alps/src/pegasus/segmap.cc, 39) map region  base_addr: 0x7ee783e00000 size: 549755813888 addr_range: 0x7ee783e00000--7f6783e00000
0000005 | T.0x00007f68b41da700 | 2019-06-21, 02:19:48.911663 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 158) Opened heap path: /lfs/spark_global0  size: 549755813888
0000006 | T.0x00007f68b41da700 | 2019-06-21, 02:19:49.260127 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 412
0000007 | T.0x00007f67a44ec700 | 2019-06-21, 02:19:49.260137 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 412
0000008 | T.0x00007f68b41da700 | 2019-06-21, 02:19:49.260156 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 412 ig: 0
0000009 | T.0x00007f67a44ec700 | 2019-06-21, 02:19:49.260168 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 412 ig: 0
0000011 | T.0x00007f67a44ec700 | 2019-06-21, 02:19:49.260421 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 412
0000010 | T.0x00007f68b41da700 | 2019-06-21, 02:19:49.260420 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 412
0000012 | T.0x00007f67a44ec700 | 2019-06-21, 02:19:49.260432 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/process_slab_heap.cc, 30) acquire_slab
0000013 | T.0x00007f67a44ec700 | 2019-06-21, 02:19:49.260436 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/process_slab_heap.cc, 33) acquire_slab: locked
0000014 | T.0x00007f67a44ec700 | 2019-06-21, 02:19:49.260441 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000015 | T.0x00007f67a44ec700 | 2019-06-21, 02:19:49.260506 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.hh, 40) NVZONE: 0x7ef783e00400
0000016 | T.0x00007f67a44ec700 | 2019-06-21, 02:19:49.260513 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.hh, 41) NVZONE: ID: 8
0000017 | T.0x00007f67a44ec700 | 2019-06-21, 02:19:49.262162 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (0, 32766)
0000018 | T.0x00007f67a44ec700 | 2019-06-21, 02:19:49.262178 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone_heap.hh, 153) Acquired zone: 8
0000019 | T.0x00007f67a44ec700 | 2019-06-21, 02:19:49.262182 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.hh, 72) Enumerate zone: 8
0000020 | T.0x00007f67a44ec700 | 2019-06-21, 02:19:49.263795 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000021 | T.0x00007f67a44ec700 | 2019-06-21, 02:19:49.263823 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (1, 32765)
0000022 | T.0x00007f67a44ec700 | 2019-06-21, 02:19:49.263829 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.cc, 48) Allocated zone_id: 8 extent: (0, 1) 0x7ef783e404c8
0000023 | T.0x00007f67a44ec700 | 2019-06-21, 02:19:49.263858 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/process_slab_heap.cc, 50) acquire_slab: unlock 2
0000024 | T.0x00007f67a44ec700 | 2019-06-21, 02:19:49.263868 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab.cc, 56) Allocate block: nvslab: (0xbeef, 0x10000404c8) block: 0
0000025 | T.0x00007f67a44ec700 | 2019-06-21, 02:19:49.263873 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab_heap.cc, 40) Allocate block: new_fullness: 0 old_fullness: 0
0000026 | T.0x00007f67a44ec700 | 2019-06-21, 02:19:49.263880 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x1000040548) size: 412
0000027 | T.0x00007f68b41da700 | 2019-06-21, 02:19:49.263883 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab.cc, 56) Allocate block: nvslab: (0xbeef, 0x10000404c8) block: 1
0000028 | T.0x00007f68b41da700 | 2019-06-21, 02:19:49.263891 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab_heap.cc, 40) Allocate block: new_fullness: 0 old_fullness: 0
0000029 | T.0x00007f68b41da700 | 2019-06-21, 02:19:49.263895 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x10000406e8) size: 412
0000030 | T.0x00007f67a44ec700 | 2019-06-21, 02:19:49.263901 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 30
0000031 | T.0x00007f68b41da700 | 2019-06-21, 02:19:49.263905 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 30
0000032 | T.0x00007f67a44ec700 | 2019-06-21, 02:19:49.263906 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 30 ig: 0
0000033 | T.0x00007f68b41da700 | 2019-06-21, 02:19:49.263912 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 30 ig: 0
0000034 | T.0x00007f67a44ec700 | 2019-06-21, 02:19:49.263917 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 30
0000035 | T.0x00007f68b41da700 | 2019-06-21, 02:19:49.263922 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 30
0000036 | T.0x00007f67a44ec700 | 2019-06-21, 02:19:49.263927 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/process_slab_heap.cc, 30) acquire_slab
0000037 | T.0x00007f67a44ec700 | 2019-06-21, 02:19:49.263932 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/process_slab_heap.cc, 33) acquire_slab: locked
0000038 | T.0x00007f67a44ec700 | 2019-06-21, 02:19:49.263936 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000039 | T.0x00007f67a44ec700 | 2019-06-21, 02:19:49.263939 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (2, 32764)
0000040 | T.0x00007f67a44ec700 | 2019-06-21, 02:19:49.263943 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.cc, 48) Allocated zone_id: 8 extent: (1, 1) 0x7ef783e804c8
0000041 | T.0x00007f67a44ec700 | 2019-06-21, 02:19:49.264187 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/process_slab_heap.cc, 50) acquire_slab: unlock 2
