0000001 | T.0x00007f936a7fa700 | 2019-06-21, 02:20:33.996570 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 153) Open heap path: /lfs/spark_global0 
0000002 | T.0x00007f936a7fa700 | 2019-06-21, 02:20:33.997272 [info] - (/home/ghosdebd/sparkle/alps/src/pegasus/lfs_region_file.cc, 64) Open LFS region file path: "/lfs/spark_global0" flags: O_RDWR
0000004 | T.0x00007f936a7fa700 | 2019-06-21, 02:20:34.001426 [info] - (/home/ghosdebd/sparkle/alps/src/pegasus/segmap.cc, 39) map region  base_addr: 0x7f121c000000 size: 549755813888 addr_range: 0x7f121c000000--7f921c000000
0000005 | T.0x00007f936a7fa700 | 2019-06-21, 02:20:34.001463 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 158) Opened heap path: /lfs/spark_global0  size: 549755813888
0000006 | T.0x00007f936a7fa700 | 2019-06-21, 02:20:34.312624 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 412
0000007 | T.0x00007f936a7fa700 | 2019-06-21, 02:20:34.312681 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 412 ig: 0
0000008 | T.0x00007f936a7fa700 | 2019-06-21, 02:20:34.312889 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 412
0000009 | T.0x00007f936a7fa700 | 2019-06-21, 02:20:34.312916 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/process_slab_heap.cc, 30) acquire_slab
0000010 | T.0x00007f936a7fa700 | 2019-06-21, 02:20:34.312926 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/process_slab_heap.cc, 33) acquire_slab: locked
0000011 | T.0x00007f936a7fa700 | 2019-06-21, 02:20:34.312939 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000012 | T.0x00007f936a7fa700 | 2019-06-21, 02:20:34.313184 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.hh, 40) NVZONE: 0x7f5e1c000400
0000013 | T.0x00007f936a7fa700 | 2019-06-21, 02:20:34.313198 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.hh, 41) NVZONE: ID: 38
0000014 | T.0x00007f936a7fa700 | 2019-06-21, 02:20:34.314852 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (0, 32766)
0000015 | T.0x00007f936a7fa700 | 2019-06-21, 02:20:34.314881 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone_heap.hh, 153) Acquired zone: 38
0000016 | T.0x00007f936a7fa700 | 2019-06-21, 02:20:34.314892 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.hh, 72) Enumerate zone: 38
0000017 | T.0x00007f936a7fa700 | 2019-06-21, 02:20:34.316428 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000018 | T.0x00007f936a7fa700 | 2019-06-21, 02:20:34.316446 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (1, 32765)
0000019 | T.0x00007f936a7fa700 | 2019-06-21, 02:20:34.316450 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.cc, 48) Allocated zone_id: 38 extent: (0, 1) 0x7f5e1c0404c8
0000020 | T.0x00007f936a7fa700 | 2019-06-21, 02:20:34.316482 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/process_slab_heap.cc, 50) acquire_slab: unlock 2
0000021 | T.0x00007f936a7fa700 | 2019-06-21, 02:20:34.316501 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab.cc, 56) Allocate block: nvslab: (0xbeef, 0x4c000404c8) block: 0
0000022 | T.0x00007f936a7fa700 | 2019-06-21, 02:20:34.316507 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab_heap.cc, 40) Allocate block: new_fullness: 0 old_fullness: 0
0000023 | T.0x00007f936a7fa700 | 2019-06-21, 02:20:34.316517 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x4c00040548) size: 412
0000024 | T.0x00007f936a7fa700 | 2019-06-21, 02:20:34.316537 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 30
0000025 | T.0x00007f936a7fa700 | 2019-06-21, 02:20:34.316541 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 30 ig: 0
0000026 | T.0x00007f936a7fa700 | 2019-06-21, 02:20:34.316549 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 30
0000027 | T.0x00007f936a7fa700 | 2019-06-21, 02:20:34.316559 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/process_slab_heap.cc, 30) acquire_slab
0000028 | T.0x00007f936a7fa700 | 2019-06-21, 02:20:34.316565 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/process_slab_heap.cc, 33) acquire_slab: locked
0000029 | T.0x00007f936a7fa700 | 2019-06-21, 02:20:34.316572 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
