0000001 | T.0x00007fc7a5afa700 | 2019-06-21, 02:23:09.294341 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 153) Open heap path: /lfs/spark_global0 
0000002 | T.0x00007fc7a5afa700 | 2019-06-21, 02:23:09.294727 [info] - (/home/ghosdebd/sparkle/alps/src/pegasus/lfs_region_file.cc, 64) Open LFS region file path: "/lfs/spark_global0" flags: O_RDWR
0000004 | T.0x00007fc7a5afa700 | 2019-06-21, 02:23:09.300433 [info] - (/home/ghosdebd/sparkle/alps/src/pegasus/segmap.cc, 39) map region  base_addr: 0x7f4638000000 size: 549755813888 addr_range: 0x7f4638000000--7fc638000000
0000005 | T.0x00007fc7a5afa700 | 2019-06-21, 02:23:09.300462 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 158) Opened heap path: /lfs/spark_global0  size: 549755813888
0000006 | T.0x00007fc7a51f1700 | 2019-06-21, 02:23:10.665776 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 4012
0000007 | T.0x00007fc7a51f1700 | 2019-06-21, 02:23:10.665856 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 4012 ig: 0
0000008 | T.0x00007fc7a51f1700 | 2019-06-21, 02:23:10.666131 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 4012
0000009 | T.0x00007fc7a51f1700 | 2019-06-21, 02:23:10.666146 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/process_slab_heap.cc, 30) acquire_slab
0000010 | T.0x00007fc7a51f1700 | 2019-06-21, 02:23:10.666152 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/process_slab_heap.cc, 33) acquire_slab: locked
0000011 | T.0x00007fc7a51f1700 | 2019-06-21, 02:23:10.666158 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000012 | T.0x00007fc7a51f1700 | 2019-06-21, 02:23:10.666216 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.hh, 40) NVZONE: 0x7f4838000400
0000013 | T.0x00007fc7a51f1700 | 2019-06-21, 02:23:10.666227 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.hh, 41) NVZONE: ID: 1
0000014 | T.0x00007fc7a51f1700 | 2019-06-21, 02:23:10.668670 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (0, 32766)
0000015 | T.0x00007fc7a51f1700 | 2019-06-21, 02:23:10.668699 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone_heap.hh, 153) Acquired zone: 1
0000016 | T.0x00007fc7a51f1700 | 2019-06-21, 02:23:10.668704 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.hh, 72) Enumerate zone: 1
0000017 | T.0x00007fc7a51f1700 | 2019-06-21, 02:23:10.670217 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000018 | T.0x00007fc7a51f1700 | 2019-06-21, 02:23:10.670234 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (1, 32765)
0000019 | T.0x00007fc7a51f1700 | 2019-06-21, 02:23:10.670239 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.cc, 48) Allocated zone_id: 1 extent: (0, 1) 0x7f48380404c8
0000020 | T.0x00007fc7a51f1700 | 2019-06-21, 02:23:10.670254 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/process_slab_heap.cc, 50) acquire_slab: unlock 2
0000021 | T.0x00007fc7a51f1700 | 2019-06-21, 02:23:10.670265 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab.cc, 56) Allocate block: nvslab: (0xbeef, 0x2000404c8) block: 0
0000022 | T.0x00007fc7a51f1700 | 2019-06-21, 02:23:10.670271 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab_heap.cc, 40) Allocate block: new_fullness: 0 old_fullness: 0
0000023 | T.0x00007fc7a51f1700 | 2019-06-21, 02:23:10.670278 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x200040508) size: 4012
0000024 | T.0x00007fc7a51f1700 | 2019-06-21, 02:23:10.678977 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 299280
0000025 | T.0x00007fc7a51f1700 | 2019-06-21, 02:23:10.679029 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 299280 ig: 0
0000026 | T.0x00007fc7a51f1700 | 2019-06-21, 02:23:10.679035 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 299280
0000027 | T.0x00007fc7a51f1700 | 2019-06-21, 02:23:10.679045 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000028 | T.0x00007fc7a51f1700 | 2019-06-21, 02:23:10.679054 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (3, 32763)
0000029 | T.0x00007fc7a51f1700 | 2019-06-21, 02:23:10.679065 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.cc, 48) Allocated zone_id: 1 extent: (1, 2) 0x7f48380804c8
