0000001 | T.0x00007f01a5ff0700 | 2019-06-21, 02:24:27.738597 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 153) Open heap path: /lfs/spark_global0 
0000002 | T.0x00007f01a5ff0700 | 2019-06-21, 02:24:27.739539 [info] - (/home/ghosdebd/sparkle/alps/src/pegasus/lfs_region_file.cc, 64) Open LFS region file path: "/lfs/spark_global0" flags: O_RDWR
0000004 | T.0x00007f01a5ff0700 | 2019-06-21, 02:24:27.743248 [info] - (/home/ghosdebd/sparkle/alps/src/pegasus/segmap.cc, 39) map region  base_addr: 0x7e7f15aa5000 size: 549755813888 addr_range: 0x7e7f15aa5000--7eff15aa5000
0000005 | T.0x00007f01a5ff0700 | 2019-06-21, 02:24:27.743279 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 158) Opened heap path: /lfs/spark_global0  size: 549755813888
0000006 | T.0x00007efffcfde700 | 2019-06-21, 02:24:28.696450 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 4012
0000007 | T.0x00007efffcfde700 | 2019-06-21, 02:24:28.696488 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 4012 ig: 0
0000008 | T.0x00007efffcfde700 | 2019-06-21, 02:24:28.696717 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 4012
0000009 | T.0x00007efffcfde700 | 2019-06-21, 02:24:28.696728 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/process_slab_heap.cc, 30) acquire_slab
0000010 | T.0x00007efffcfde700 | 2019-06-21, 02:24:28.696733 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/process_slab_heap.cc, 33) acquire_slab: locked
0000011 | T.0x00007efffcfde700 | 2019-06-21, 02:24:28.696738 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000012 | T.0x00007efffcfde700 | 2019-06-21, 02:24:28.700139 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.hh, 40) NVZONE: 0x7ec315aa5400
0000013 | T.0x00007efffcfde700 | 2019-06-21, 02:24:28.700154 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.hh, 41) NVZONE: ID: 34
0000014 | T.0x00007f00ecaca700 | 2019-06-21, 02:24:28.702612 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 4012
0000015 | T.0x00007f00ecaca700 | 2019-06-21, 02:24:28.702640 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 4012 ig: 0
0000016 | T.0x00007f00ecaca700 | 2019-06-21, 02:24:28.702645 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 4012
0000017 | T.0x00007efffffff700 | 2019-06-21, 02:24:28.704287 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 4012
0000018 | T.0x00007efffffff700 | 2019-06-21, 02:24:28.704340 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 4012 ig: 0
0000019 | T.0x00007efffffff700 | 2019-06-21, 02:24:28.704346 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 4012
0000020 | T.0x00007f01a58e9700 | 2019-06-21, 02:24:28.709723 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 4012
0000021 | T.0x00007f01a58e9700 | 2019-06-21, 02:24:28.709766 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 4012 ig: 0
0000022 | T.0x00007f01a58e9700 | 2019-06-21, 02:24:28.709772 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 4012
0000023 | T.0x00007efffcfde700 | 2019-06-21, 02:24:28.710422 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (0, 32766)
0000024 | T.0x00007efffcfde700 | 2019-06-21, 02:24:28.710445 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone_heap.hh, 153) Acquired zone: 34
0000025 | T.0x00007efffcfde700 | 2019-06-21, 02:24:28.710451 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.hh, 72) Enumerate zone: 34
0000026 | T.0x00007efffd1e0700 | 2019-06-21, 02:24:28.711498 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 4012
0000027 | T.0x00007efffd1e0700 | 2019-06-21, 02:24:28.711526 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 4012 ig: 0
0000028 | T.0x00007efffd1e0700 | 2019-06-21, 02:24:28.711531 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 4012
0000029 | T.0x00007efffcfde700 | 2019-06-21, 02:24:28.711969 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000030 | T.0x00007efffcfde700 | 2019-06-21, 02:24:28.711980 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (1, 32765)
0000031 | T.0x00007efffcfde700 | 2019-06-21, 02:24:28.711985 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.cc, 48) Allocated zone_id: 34 extent: (0, 1) 0x7ec315ae54c8
0000032 | T.0x00007efffcfde700 | 2019-06-21, 02:24:28.711996 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/process_slab_heap.cc, 50) acquire_slab: unlock 2
0000033 | T.0x00007efffcfde700 | 2019-06-21, 02:24:28.712005 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab.cc, 56) Allocate block: nvslab: (0xbeef, 0x44000404c8) block: 0
