0000001 | T.0x00007fb8e5bf9700 | 2019-06-21, 02:28:28.857470 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 153) Open heap path: /lfs/spark_global0 
0000002 | T.0x00007fb8e5bf9700 | 2019-06-21, 02:28:28.858068 [info] - (/home/ghosdebd/sparkle/alps/src/pegasus/lfs_region_file.cc, 64) Open LFS region file path: "/lfs/spark_global0" flags: O_RDWR
0000004 | T.0x00007fb8e5bf9700 | 2019-06-21, 02:28:28.863447 [info] - (/home/ghosdebd/sparkle/alps/src/pegasus/segmap.cc, 39) map region  base_addr: 0x7f3769920000 size: 549755813888 addr_range: 0x7f3769920000--7fb769920000
0000005 | T.0x00007fb8e5bf9700 | 2019-06-21, 02:28:28.863479 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 158) Opened heap path: /lfs/spark_global0  size: 549755813888
0000006 | T.0x00007fb8e5cfa700 | 2019-06-21, 02:28:30.165621 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 4012
0000007 | T.0x00007fb8e5cfa700 | 2019-06-21, 02:28:30.165702 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 4012 ig: 0
0000008 | T.0x00007fb8e5cfa700 | 2019-06-21, 02:28:30.166046 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 4012
0000009 | T.0x00007fb8e5cfa700 | 2019-06-21, 02:28:30.166059 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/process_slab_heap.cc, 30) acquire_slab
0000010 | T.0x00007fb8e5cfa700 | 2019-06-21, 02:28:30.166064 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/process_slab_heap.cc, 33) acquire_slab: locked
0000011 | T.0x00007fb8e5cfa700 | 2019-06-21, 02:28:30.166070 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000012 | T.0x00007fb8e5cfa700 | 2019-06-21, 02:28:30.167075 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.hh, 40) NVZONE: 0x7fab69920400
0000013 | T.0x00007fb8e5cfa700 | 2019-06-21, 02:28:30.167094 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.hh, 41) NVZONE: ID: 58
0000014 | T.0x00007fb8e5cfa700 | 2019-06-21, 02:28:30.169656 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (0, 32766)
0000015 | T.0x00007fb8e5cfa700 | 2019-06-21, 02:28:30.169678 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone_heap.hh, 153) Acquired zone: 58
0000016 | T.0x00007fb8e5cfa700 | 2019-06-21, 02:28:30.169683 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.hh, 72) Enumerate zone: 58
0000017 | T.0x00007fb8e5cfa700 | 2019-06-21, 02:28:30.171154 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000018 | T.0x00007fb8e5cfa700 | 2019-06-21, 02:28:30.171166 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (1, 32765)
0000019 | T.0x00007fb8e5cfa700 | 2019-06-21, 02:28:30.171171 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.cc, 48) Allocated zone_id: 58 extent: (0, 1) 0x7fab699604c8
0000020 | T.0x00007fb8e5cfa700 | 2019-06-21, 02:28:30.171184 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/process_slab_heap.cc, 50) acquire_slab: unlock 2
0000021 | T.0x00007fb8e5cfa700 | 2019-06-21, 02:28:30.171195 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab.cc, 56) Allocate block: nvslab: (0xbeef, 0x74000404c8) block: 0
0000022 | T.0x00007fb8e5cfa700 | 2019-06-21, 02:28:30.171201 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab_heap.cc, 40) Allocate block: new_fullness: 0 old_fullness: 0
0000023 | T.0x00007fb8e5cfa700 | 2019-06-21, 02:28:30.171207 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x7400040508) size: 4012
0000024 | T.0x00007fb8e5cfa700 | 2019-06-21, 02:28:30.180449 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 341700
0000025 | T.0x00007fb8e5cfa700 | 2019-06-21, 02:28:30.180508 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 341700 ig: 0
0000026 | T.0x00007fb8e5cfa700 | 2019-06-21, 02:28:30.180515 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 341700
0000027 | T.0x00007fb8e5cfa700 | 2019-06-21, 02:28:30.180535 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000028 | T.0x00007fb8e5cfa700 | 2019-06-21, 02:28:30.180544 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (3, 32763)
0000029 | T.0x00007fb8e5cfa700 | 2019-06-21, 02:28:30.180555 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.cc, 48) Allocated zone_id: 58 extent: (1, 2) 0x7fab699a04c8
0000030 | T.0x00007fb8e5cfa700 | 2019-06-21, 02:28:30.180562 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x74000804c8) size: 341700
0000031 | T.0x00007fb8e5cfa700 | 2019-06-21, 02:28:30.180570 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 275130
0000032 | T.0x00007fb8e5cfa700 | 2019-06-21, 02:28:30.180573 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 275130 ig: 0
0000033 | T.0x00007fb8e5cfa700 | 2019-06-21, 02:28:30.180576 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 275130
0000034 | T.0x00007fb8e5cfa700 | 2019-06-21, 02:28:30.180580 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000035 | T.0x00007fb8e5cfa700 | 2019-06-21, 02:28:30.180583 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (5, 32761)
0000036 | T.0x00007fb8e5cfa700 | 2019-06-21, 02:28:30.180586 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.cc, 48) Allocated zone_id: 58 extent: (3, 2) 0x7fab69a204c8
0000037 | T.0x00007fb8e5cfa700 | 2019-06-21, 02:28:30.180589 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x74001004c8) size: 275130
0000038 | T.0x00007fb8e5cfa700 | 2019-06-21, 02:28:30.180593 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 332400
0000039 | T.0x00007fb8e5cfa700 | 2019-06-21, 02:28:30.180596 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 332400 ig: 0
0000040 | T.0x00007fb8e5cfa700 | 2019-06-21, 02:28:30.180599 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 332400
0000041 | T.0x00007fb8e5cfa700 | 2019-06-21, 02:28:30.180602 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000042 | T.0x00007fb8e5cfa700 | 2019-06-21, 02:28:30.180605 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (7, 32759)
0000043 | T.0x00007fb8e5cfa700 | 2019-06-21, 02:28:30.180608 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.cc, 48) Allocated zone_id: 58 extent: (5, 2) 0x7fab69aa04c8
0000044 | T.0x00007fb8e5cfa700 | 2019-06-21, 02:28:30.180612 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x74001804c8) size: 332400
0000045 | T.0x00007fb8e5cfa700 | 2019-06-21, 02:28:30.180615 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 247770
0000046 | T.0x00007fb8e5cfa700 | 2019-06-21, 02:28:30.180619 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 247770 ig: 0
