0000001 | T.0x00007f9a36af9700 | 2019-06-21, 02:46:06.285062 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 153) Open heap path: /lfs/spark_global0 
0000002 | T.0x00007f9a36af9700 | 2019-06-21, 02:46:06.286483 [info] - (/home/ghosdebd/sparkle/alps/src/pegasus/lfs_region_file.cc, 64) Open LFS region file path: "/lfs/spark_global0" flags: O_RDWR
0000004 | T.0x00007f9a36af9700 | 2019-06-21, 02:46:06.300747 [info] - (/home/ghosdebd/sparkle/alps/src/pegasus/segmap.cc, 39) map region  base_addr: 0x7f19e8000000 size: 549755813888 addr_range: 0x7f19e8000000--7f99e8000000
0000005 | T.0x00007f9a36af9700 | 2019-06-21, 02:46:06.300800 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 158) Opened heap path: /lfs/spark_global0  size: 549755813888
0000006 | T.0x00007f9a36dfc700 | 2019-06-21, 02:46:08.978428 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 4012
0000007 | T.0x00007f9a36dfc700 | 2019-06-21, 02:46:08.978520 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 4012 ig: 0
0000008 | T.0x00007f9a36dfc700 | 2019-06-21, 02:46:08.978665 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 4012
0000009 | T.0x00007f9a36dfc700 | 2019-06-21, 02:46:08.978680 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/process_slab_heap.cc, 30) acquire_slab
0000010 | T.0x00007f9a36dfc700 | 2019-06-21, 02:46:08.978685 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/process_slab_heap.cc, 33) acquire_slab: locked
0000011 | T.0x00007f9a36dfc700 | 2019-06-21, 02:46:08.978691 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000012 | T.0x00007f9a36dfc700 | 2019-06-21, 02:46:08.978832 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.hh, 40) NVZONE: 0x7f2fe8000400
0000013 | T.0x00007f9a36dfc700 | 2019-06-21, 02:46:08.978846 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.hh, 41) NVZONE: ID: 11
0000014 | T.0x00007f9a36dfc700 | 2019-06-21, 02:46:08.980553 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (0, 32766)
0000015 | T.0x00007f9a36dfc700 | 2019-06-21, 02:46:08.980575 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone_heap.hh, 153) Acquired zone: 11
0000016 | T.0x00007f9a36dfc700 | 2019-06-21, 02:46:08.980581 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.hh, 72) Enumerate zone: 11
0000017 | T.0x00007f9a36dfc700 | 2019-06-21, 02:46:08.982067 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000018 | T.0x00007f9a36dfc700 | 2019-06-21, 02:46:08.982085 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (1, 32765)
0000019 | T.0x00007f9a36dfc700 | 2019-06-21, 02:46:08.982089 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.cc, 48) Allocated zone_id: 11 extent: (0, 1) 0x7f2fe80404c8
0000020 | T.0x00007f9a36dfc700 | 2019-06-21, 02:46:08.982107 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/process_slab_heap.cc, 50) acquire_slab: unlock 2
0000021 | T.0x00007f9a36dfc700 | 2019-06-21, 02:46:08.982121 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab.cc, 56) Allocate block: nvslab: (0xbeef, 0x16000404c8) block: 0
0000022 | T.0x00007f9a36dfc700 | 2019-06-21, 02:46:08.982127 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab_heap.cc, 40) Allocate block: new_fullness: 0 old_fullness: 0
0000023 | T.0x00007f9a36dfc700 | 2019-06-21, 02:46:08.982133 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x1600040508) size: 4012
0000024 | T.0x00007f9a36dfc700 | 2019-06-21, 02:46:08.991443 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 343350
0000025 | T.0x00007f9a36dfc700 | 2019-06-21, 02:46:08.991506 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 343350 ig: 0
