Filesystem                                           Size  Used Avail Use% Mounted on
devtmpfs                                             2.9T  4.0K  2.9T   1% /dev
tmpfs                                                2.9T     0  2.9T   0% /dev/shm
tmpfs                                                2.9T   24M  2.9T   1% /run
tmpfs                                                2.9T     0  2.9T   0% /sys/fs/cgroup
/dev/mapper/360002ac00000000000000099000099c6-part3   40G  8.3G   32G  21% /
/dev/mapper/360002ac00000000000000099000099c6-part3   40G  8.3G   32G  21% /tmp
/dev/mapper/360002ac00000000000000099000099c6-part3   40G  8.3G   32G  21% /var/crash
/dev/mapper/360002ac00000000000000099000099c6-part1  144M  4.6M  140M   4% /boot/efi
/dev/mapper/360002ac00000000000000099000099c6-part3   40G  8.3G   32G  21% /var/spool
/dev/mapper/360002ac00000000000000099000099c6-part3   40G  8.3G   32G  21% /var/lib/machines
/dev/mapper/360002ac00000000000000099000099c6-part3   40G  8.3G   32G  21% /var/lib/mysql
/dev/mapper/360002ac00000000000000099000099c6-part3   40G  8.3G   32G  21% /srv
/dev/mapper/360002ac00000000000000099000099c6-part4  158G   82G   77G  52% /home
/dev/mapper/360002ac00000000000000099000099c6-part3   40G  8.3G   32G  21% /var/lib/named
/dev/mapper/360002ac00000000000000099000099c6-part3   40G  8.3G   32G  21% /var/lib/libvirt/images
/dev/mapper/360002ac00000000000000099000099c6-part3   40G  8.3G   32G  21% /usr/local
/dev/mapper/360002ac00000000000000099000099c6-part3   40G  8.3G   32G  21% /var/lib/mailman
/dev/mapper/360002ac00000000000000099000099c6-part3   40G  8.3G   32G  21% /var/cache
/dev/mapper/360002ac00000000000000099000099c6-part3   40G  8.3G   32G  21% /opt
/dev/mapper/360002ac00000000000000099000099c6-part3   40G  8.3G   32G  21% /var/opt
/dev/mapper/360002ac00000000000000099000099c6-part3   40G  8.3G   32G  21% /var/lib/pgsql
/dev/mapper/360002ac00000000000000099000099c6-part3   40G  8.3G   32G  21% /boot/grub2/i386-pc
/dev/mapper/360002ac00000000000000099000099c6-part3   40G  8.3G   32G  21% /boot/grub2/x86_64-efi
/dev/mapper/360002ac00000000000000099000099c6-part3   40G  8.3G   32G  21% /.snapshots
/dev/mapper/360002ac00000000000000099000099c6-part3   40G  8.3G   32G  21% /var/log
/dev/mapper/360002ac00000000000000099000099c6-part3   40G  8.3G   32G  21% /var/lib/mariadb
/dev/mapper/360002ac00000000000000099000099c6-part3   40G  8.3G   32G  21% /var/tmp
tmpfs                                                587G     0  587G   0% /run/user/482
/dev/mapper/360002ac0000000000000009c000099c6-part1  6.0T   56M  5.9T   1% /data
tmpfs                                                587G     0  587G   0% /run/user/120133486
